date,travel booking
2004-01-01,18.731712962962966
2004-02-01,15.86219739292365
2004-03-01,14.545765027322405
2004-04-01,17.9038081107814
2004-05-01,15.167378917378919
2004-06-01,14.272788203753352
2004-07-01,14.449533502968618
2004-08-01,16.485200364298727
2004-09-01,14.444282945736433
2004-10-01,16.482198142414862
2004-11-01,11.653980099502489
2004-12-01,11.059726156751651
2005-01-01,18.731712962962966
2005-02-01,16.853584729981378
2005-03-01,17.454918032786885
2005-04-01,15.79747774480712
2005-05-01,15.167378917378919
2005-06-01,16.175826630920465
2005-07-01,13.54643765903308
2005-08-01,14.545765027322405
2005-09-01,11.34907945736434
2005-10-01,15.383384932920539
2005-11-01,14.832338308457713
2005-12-01,11.059726156751651
2006-01-01,14.788194444444446
2006-02-01,13.879422718808193
2006-03-01,14.545765027322405
2006-04-01,13.691147378832838
2006-05-01,15.167378917378919
2006-06-01,15.22430741733691
2006-07-01,9.934054283290925
2006-08-01,15.515482695810565
2006-09-01,12.38081395348837
2006-10-01,14.284571723426215
2006-11-01,11.653980099502489
2006-12-01,11.059726156751651
2007-01-01,13.802314814814816
2007-02-01,18.836359404096832
2007-03-01,13.576047358834245
2007-04-01,16.85064292779426
2007-05-01,17.189696106362774
2007-06-01,13.321268990169795
2007-07-01,14.449533502968618
2007-08-01,13.576047358834245
2007-09-01,15.476017441860463
2007-10-01,15.383384932920539
2007-11-01,13.772885572139305
2007-12-01,13.070585457979226
2008-01-01,14.788194444444446
2008-02-01,14.87081005586592
2008-03-01,15.515482695810565
2008-04-01,16.85064292779426
2008-05-01,16.178537511870847
2008-06-01,14.272788203753352
2008-07-01,13.54643765903308
2008-08-01,13.576047358834245
2008-09-01,12.38081395348837
2008-10-01,14.284571723426215
2008-11-01,11.653980099502489
2008-12-01,12.06515580736544
2009-01-01,13.802314814814816
2009-02-01,14.87081005586592
2009-03-01,15.515482695810565
2009-04-01,13.691147378832838
2009-05-01,13.145061728395063
2009-06-01,14.272788203753352
2009-07-01,12.643341815097541
2009-08-01,11.636612021857925
2009-09-01,11.34907945736434
2009-10-01,12.086945304437565
2009-11-01,12.713432835820896
2009-12-01,12.06515580736544
2010-01-01,12.816435185185187
2010-02-01,12.888035381750464
2010-03-01,15.515482695810565
2010-04-01,13.691147378832838
2010-05-01,14.156220322886991
2010-06-01,13.321268990169795
2010-07-01,11.740245971162002
2010-08-01,11.636612021857925
2010-09-01,11.34907945736434
2010-10-01,9.889318885448917
2010-11-01,9.535074626865672
2010-12-01,9.048866855524079
2011-01-01,12.816435185185187
2011-02-01,10.905260707635009
2011-03-01,11.636612021857925
2011-04-01,10.531651829871414
2011-05-01,11.122744539411206
2011-06-01,11.418230563002682
2011-07-01,10.837150127226463
2011-08-01,8.727459016393443
2011-09-01,10.317344961240309
2011-10-01,9.889318885448917
2011-11-01,8.475621890547265
2011-12-01,8.043437204910292
2012-01-01,9.858796296296298
2012-02-01,8.922486033519553
2012-03-01,8.727459016393443
2012-04-01,9.478486646884273
2012-05-01,9.100427350427351
2012-06-01,9.51519213583557
2012-07-01,9.934054283290925
2012-08-01,9.697176684881603
2012-09-01,10.317344961240309
2012-10-01,7.691692466460269
2012-11-01,7.416169154228856
2012-12-01,8.043437204910292
2013-01-01,9.858796296296298
2013-02-01,10.905260707635009
2013-03-01,10.666894353369763
2013-04-01,10.531651829871414
2013-05-01,11.122744539411206
2013-06-01,10.466711349419125
2013-07-01,10.837150127226463
2013-08-01,10.666894353369763
2013-09-01,10.317344961240309
2013-10-01,10.988132094943241
2013-11-01,9.535074626865672
2013-12-01,9.048866855524079
2014-01-01,12.816435185185187
2014-02-01,11.896648044692737
2014-03-01,12.606329690346085
2014-04-01,12.637982195845696
2014-05-01,12.133903133903136
2014-06-01,13.321268990169795
2014-07-01,13.54643765903308
2014-08-01,12.606329690346085
2014-09-01,12.38081395348837
2014-10-01,12.086945304437565
2014-11-01,9.535074626865672
2014-12-01,10.054296506137865
2015-01-01,12.816435185185187
2015-02-01,12.888035381750464
2015-03-01,13.576047358834245
2015-04-01,13.691147378832838
2015-05-01,14.156220322886991
2015-06-01,13.321268990169795
2015-07-01,14.449533502968618
2015-08-01,12.606329690346085
2015-09-01,12.38081395348837
2015-10-01,13.18575851393189
2015-11-01,11.653980099502489
2015-12-01,11.059726156751651
2016-01-01,11.830555555555556
2016-02-01,12.888035381750464
2016-03-01,12.606329690346085
2016-04-01,11.584817012858554
2016-05-01,13.145061728395063
2016-06-01,12.36974977658624
2016-07-01,11.740245971162002
2016-08-01,11.636612021857925
2016-09-01,11.34907945736434
2016-10-01,12.086945304437565
2016-11-01,12.713432835820896
2016-12-01,10.054296506137865
2017-01-01,15.774074074074075
2017-02-01,15.86219739292365
2017-03-01,15.515482695810565
2017-04-01,15.79747774480712
2017-05-01,15.167378917378919
2017-06-01,14.272788203753352
2017-07-01,14.449533502968618
2017-08-01,13.576047358834245
2017-09-01,12.38081395348837
2017-10-01,13.18575851393189
2017-11-01,12.713432835820896
2017-12-01,11.059726156751651
2018-01-01,14.788194444444446
2018-02-01,14.87081005586592
2018-03-01,15.515482695810565
2018-04-01,15.79747774480712
2018-05-01,15.167378917378919
2018-06-01,14.272788203753352
2018-07-01,14.449533502968618
2018-08-01,14.545765027322405
2018-09-01,14.444282945736433
2018-10-01,13.18575851393189
2018-11-01,12.713432835820896
2018-12-01,11.059726156751651
2019-01-01,14.788194444444446
