date,guided tours
2004-01-01,64.17220172201722
2004-02-01,59.049800491098836
2004-03-01,60.544429708222815
2004-04-01,58.911472448057815
2004-05-01,64.10021367521368
2004-06-01,70.54704402515723
2004-07-01,64.64041850220265
2004-08-01,58.326873935264054
2004-09-01,52.523586456278764
2004-10-01,64.07087719298246
2004-11-01,67.3430400660884
2004-12-01,65.24109643857543
2005-01-01,63.1695110701107
2005-02-01,64.05402087170043
2005-03-01,64.38852048334807
2005-04-01,65.7844775669979
2005-05-01,59.45527065527066
2005-06-01,68.90641509433962
2005-07-01,58.25617963778757
2005-08-01,59.252697331061896
2005-09-01,63.242685733070346
2005-10-01,49.197280701754394
2005-11-01,53.874432052870716
2005-12-01,50.88805522208884
2006-01-01,67.18027367773678
2006-02-01,58.04895641497851
2006-03-01,51.895225464190986
2006-04-01,62.838903944595
2006-05-01,53.88133903133904
2006-06-01,52.50012578616352
2006-07-01,55.064060205580034
2006-08-01,53.697756956274844
2006-09-01,58.95504602235371
2006-10-01,52.629649122807024
2006-11-01,48.486988847583646
2006-12-01,56.10734293717487
2007-01-01,55.14798585485855
2007-02-01,56.04726826273787
2007-03-01,53.81727085175361
2007-04-01,53.020325203252035
2007-05-01,55.739316239316246
2007-06-01,54.140754716981135
2007-07-01,50.27588105726873
2007-08-01,49.99446337308348
2007-09-01,45.02021696252465
2007-10-01,52.629649122807024
2007-11-01,48.486988847583646
2007-12-01,52.19287715086034
2008-01-01,57.153367158671585
2008-02-01,51.04304788213628
2008-03-01,49.01215738284704
2008-04-01,41.23803071364047
2008-05-01,50.16538461538462
2008-06-01,45.11729559748428
2008-07-01,44.689672050905536
2008-08-01,50.92028676888132
2008-09-01,40.73257725180802
2008-10-01,41.18842105263158
2008-11-01,35.01838083436597
2008-12-01,35.23019207683073
2009-01-01,42.1130073800738
2009-02-01,44.037139349294044
2009-03-01,46.1290893015031
2009-04-01,43.20174646190907
2009-05-01,46.4494301994302
2009-06-01,47.57823899371069
2009-07-01,47.083761625061186
2009-08-01,43.513699602498576
2009-09-01,46.09212689020381
2009-10-01,44.62078947368421
2009-11-01,47.14012804626188
2009-12-01,45.6687675070028
2010-01-01,44.11838868388684
2010-02-01,41.03460712093309
2010-03-01,45.168066607721784
2010-04-01,48.11103583258055
2010-05-01,48.30740740740741
2010-06-01,44.29698113207547
2010-07-01,42.29558247674988
2010-08-01,43.513699602498576
2010-09-01,41.804487179487175
2010-10-01,36.61192982456141
2010-11-01,43.099545642296576
2010-12-01,37.83983593437375
2011-01-01,41.110316728167284
2011-02-01,44.037139349294044
2011-03-01,43.24602122015916
2011-04-01,41.23803071364047
2011-05-01,43.66246438746439
2011-06-01,41.015723270440255
2011-07-01,44.689672050905536
2011-08-01,39.81040601930721
2011-09-01,40.73257725180802
2011-10-01,38.9001754385965
2011-11-01,39.05896323833127
2011-12-01,36.53501400560224
2012-01-01,38.102244772447726
2012-02-01,38.03207489257213
2012-03-01,38.44090775125258
2012-04-01,42.21988858777477
2012-05-01,42.73347578347579
2012-06-01,37.73446540880503
2012-07-01,42.29558247674988
2012-08-01,43.513699602498576
2012-09-01,41.804487179487175
2012-10-01,36.61192982456141
2012-11-01,35.01838083436597
2012-12-01,37.83983593437375
2013-01-01,44.11838868388684
2013-02-01,42.035451197053405
2013-03-01,45.168066607721784
2013-04-01,44.18360433604336
2013-05-01,40.875498575498575
2013-06-01,41.015723270440255
2013-07-01,40.69952276064611
2013-08-01,44.439522998296425
2013-09-01,39.66066732412886
2013-10-01,41.18842105263158
2013-11-01,39.05896323833127
2013-12-01,41.754301720688275
2014-01-01,42.1130073800738
2014-02-01,38.03207489257213
2014-03-01,43.24602122015916
2014-04-01,44.18360433604336
2014-05-01,42.73347578347579
2014-06-01,46.757924528301885
2014-07-01,43.09361233480176
2014-08-01,43.513699602498576
2014-09-01,42.87639710716633
2014-10-01,37.75605263157895
2014-11-01,41.75268484097481
2014-12-01,43.059123649459785
2015-01-01,44.11838868388684
2015-02-01,37.03123081645181
2015-03-01,48.05113468906573
2015-04-01,47.12917795844625
2015-05-01,46.4494301994302
2015-06-01,45.937610062893086
2015-07-01,44.689672050905536
2015-08-01,48.14281658148779
2015-09-01,48.235946745562124
2015-10-01,45.76491228070176
2015-11-01,39.05896323833127
2015-12-01,40.449479791916765
2016-01-01,45.12107933579336
2016-02-01,44.037139349294044
2016-03-01,49.01215738284704
2016-04-01,48.11103583258055
2016-05-01,47.3784188034188
2016-06-01,43.47666666666667
2016-07-01,47.083761625061186
2016-08-01,45.36534639409427
2016-09-01,46.09212689020381
2016-10-01,52.629649122807024
2016-11-01,49.833849648905414
2016-12-01,50.88805522208884
