date,adventure travel
2004-01-01,78.55325336241367
2004-02-01,76.05461165048544
2004-03-01,66.96325807879593
2004-04-01,82.4415832141154
2004-05-01,76.3989898989899
2004-06-01,86.13710030661409
2004-07-01,84.57739665787159
2004-08-01,77.17857142857143
2004-09-01,72.03333333333333
2004-10-01,72.26645091693635
2004-11-01,80.80662393162392
2004-12-01,75.08360477741584
2005-01-01,69.12686295892402
2005-02-01,63.81593851132686
2005-03-01,70.78972996901284
2005-04-01,68.0143061516452
2005-05-01,74.41460055096418
2005-06-01,66.25930792816469
2005-07-01,72.22339489885664
2005-08-01,64.83
2005-09-01,65.38410256410256
2005-10-01,65.27292340884574
2005-11-01,71.57158119658119
2005-12-01,58.659066232356125
2006-01-01,58.91494002181025
2006-02-01,61.193365695792885
2006-03-01,57.397078353253654
2006-04-01,61.83118741058655
2006-05-01,59.531680440771346
2006-06-01,56.79369250985545
2006-07-01,53.217238346525946
2006-08-01,57.626666666666665
2006-09-01,54.30205128205128
2006-10-01,60.61057173678533
2006-11-01,56.56463675213675
2006-12-01,51.61997828447339
2007-01-01,47.917484551072334
2007-02-01,48.954692556634306
2007-03-01,50.70075254537406
2007-04-01,54.61754887935145
2007-05-01,51.5941230486685
2007-06-01,50.16776171703898
2007-07-01,53.217238346525946
2007-08-01,53.51047619047619
2007-09-01,53.19384615384615
2007-10-01,55.94822006472492
2007-11-01,48.48397435897436
2007-12-01,51.61997828447339
2008-01-01,47.1319520174482
2008-02-01,46.33211974110033
2008-03-01,42.09119079238601
2008-04-01,44.31235097758702
2008-05-01,46.63314967860422
2008-06-01,41.64870784056066
2008-07-01,43.7141600703606
2008-08-01,41.16190476190476
2008-09-01,53.19384615384615
2008-10-01,41.96116504854369
2008-11-01,42.71207264957265
2008-12-01,44.580890336590656
2009-01-01,36.92002908033442
2009-02-01,39.33859223300971
2009-03-01,34.43824701195219
2009-04-01,38.129232236528374
2009-05-01,38.69559228650137
2009-06-01,41.64870784056066
2009-07-01,38.96262093227792
2009-08-01,42.19095238095238
2009-09-01,42.11179487179487
2009-10-01,45.457928802588995
2009-11-01,41.55769230769231
2009-12-01,37.54180238870792
2010-01-01,36.92002908033442
2010-02-01,34.967637540453076
2010-03-01,39.22133687472333
2010-04-01,36.06819265617548
2010-05-01,34.72681359044995
2010-06-01,33.129653964082344
2010-07-01,30.409850483729112
2010-08-01,31.900476190476187
2010-09-01,32.13794871794872
2010-10-01,32.63646170442287
2010-11-01,34.631410256410255
2010-12-01,34.022258414766554
2011-01-01,36.92002908033442
2011-02-01,34.09344660194175
2011-03-01,38.2647189021691
2011-04-01,31.946113495469717
2011-05-01,33.7346189164371
2011-06-01,35.969338589575116
2011-07-01,31.360158311345646
2011-08-01,32.92952380952381
2011-09-01,32.13794871794872
2011-10-01,30.305285868392666
2011-11-01,30.013888888888886
2011-12-01,29.329533116178062
2012-01-01,30.63576881134133
2012-02-01,27.97411003236246
2012-03-01,26.78530323151837
2012-04-01,26.793514544587502
2012-05-01,26.789256198347104
2012-06-01,24.610600087604027
2012-07-01,24.708003518029905
2012-08-01,24.697142857142858
2012-09-01,24.38051282051282
2012-10-01,23.31175836030205
2012-11-01,24.24198717948718
2012-12-01,25.809989142236695
2013-01-01,27.493638676844782
2013-02-01,22.728964401294498
2013-03-01,24.872067286409916
2013-04-01,23.701955174058178
2013-05-01,24.804866850321396
2013-06-01,25.55716162943495
2013-07-01,23.757695690413367
2013-08-01,26.755238095238095
2013-09-01,23.27230769230769
2013-10-01,25.642934196332256
2013-11-01,23.087606837606835
2013-12-01,28.15635179153094
2014-01-01,26.708106143220647
2014-02-01,25.35153721682848
2014-03-01,25.828685258964143
2014-04-01,24.73247496423462
2014-05-01,24.804866850321396
2014-06-01,22.71747700394218
2014-07-01,23.757695690413367
2014-08-01,24.697142857142858
2014-09-01,24.38051282051282
