date,camping trip
2004-01-01,31.783678160919543
2004-02-01,22.711840986394563
2004-03-01,34.58961128310973
2004-04-01,31.76907169117647
2004-05-01,39.36012526096034
2004-06-01,36.828118792212955
2004-07-01,40.93931649629184
2004-08-01,41.92891968180652
2004-09-01,35.69471068512602
2004-10-01,28.272172236503856
2004-11-01,30.311093247588424
2004-12-01,49.96195343554798
2005-01-01,31.783678160919543
2005-02-01,38.743728741496604
2005-03-01,36.751461988304094
2005-04-01,46.20955882352941
2005-05-01,37.17345163535143
2005-06-01,36.20391338895511
2005-07-01,40.30948085788735
2005-08-01,38.7036181678214
2005-09-01,21.193734469293574
2005-10-01,29.618466152527848
2005-11-01,30.311093247588424
2005-12-01,21.41226575809199
2006-01-01,24.560114942528738
2006-02-01,29.391794217687078
2006-03-01,20.537581699346404
2006-04-01,33.6944699754902
2006-05-01,37.17345163535143
2006-06-01,36.828118792212955
2006-07-01,35.900631389055924
2006-08-01,32.253015139851165
2006-09-01,33.463791267305645
2006-10-01,29.618466152527848
2006-11-01,28.6271436227224
2006-12-01,16.059199318568993
2007-01-01,28.894252873563218
2007-02-01,21.375850340136058
2007-03-01,38.91331269349845
2007-04-01,35.61986825980392
2007-05-01,37.90234284388773
2007-06-01,41.82176201827573
2007-07-01,34.640960112246944
2007-08-01,36.28464203233256
2007-09-01,32.34833155839546
2007-10-01,30.96476006855184
2007-11-01,33.67899249732047
2007-12-01,28.54968767745599
2008-01-01,34.67310344827587
2008-02-01,33.39976615646259
2008-03-01,37.83238734090127
2008-04-01,35.61986825980392
2008-05-01,40.81790767803294
2008-06-01,38.700735001986494
2008-07-01,39.679645219482865
2008-08-01,37.09096741082884
2008-09-01,34.57925097621583
2008-10-01,29.618466152527848
2008-11-01,33.67899249732047
2008-12-01,30.33404315729699
2009-01-01,34.67310344827587
2009-02-01,36.0717474489796
2009-03-01,41.07516339869281
2009-04-01,41.396063112745104
2009-05-01,46.64903734632336
2009-06-01,46.19119984108065
2009-07-01,47.86750851874123
2009-08-01,42.735245060302795
2009-09-01,40.156549520766774
2009-10-01,39.0425235646958
