keyword,intercept,slope,r_squared,p_value,std_error,n_obs
safari_tour,-0.003933924906393614,-1.0078464261886917e-05,0.00010143108237037312,0.8713610042137228,6.217802477385663e-05,261
beach_vacation,-0.02516925710728286,0.004403654373533361,0.05581799734617305,0.00011656512204049505,0.0011253926568412127,261
hostel,-0.0028032457954265027,-0.001425562440768745,0.0017522119973903767,0.5007506991316296,0.0021142786091522467,261
luxury_travel,-0.0073638885952020065,0.0013331843607491975,0.001414928773585315,0.5451823672302002,0.0022007239699446245,261
backpacking_trip,-0.006088693913243688,9.64009696757672e-06,9.63674270307806e-05,0.874585969490219,6.101624280518895e-05,261
tourist_attractions,-0.009794716148579696,0.0047377064058099225,0.012386504310319926,0.0726583868321375,0.002628678003254085,261
wedding_locations,-0.005740293275084108,0.0008448264760451345,0.0005523505542238432,0.7054911849966427,0.002233007913398775,261
hotels_near_me,-0.024113706277906162,0.008944148236084021,0.034412044215495055,0.002623728308983177,0.002943945665281044,261
flight_deals,-0.007737749578869536,0.001012660895043228,0.001366706029344448,0.5521183396923941,0.0017009032967839736,261
RV_rental,-0.036847594404720324,0.012105682320496056,0.21274863953634943,3.729673658157515e-15,0.0014469805883319685,261
cheap_flights,-0.009294705381436348,0.005538924841617228,0.01121772488251303,0.08769525673172661,0.003231272125308295,261
things_to_do,-0.016287214801946164,0.00769620599969213,0.02332779926399187,0.013505035932618528,0.003094313628362552,261
hotel_deals,-0.011799683160354697,0.007211138429124347,0.02380128286802946,0.012581169417335608,0.0028696100454415653,261
road_trip,-0.0170004260685639,0.007483238114366168,0.031853278213366226,0.0038185920087902025,0.00256349930906731,261
Mediterranean_cruise,-0.00550880972947305,0.00019547529219359302,4.384068244421138e-05,0.915219795584492,0.0018343990460272755,261
guided_tours,-0.01028272322284814,0.0037849036596453818,0.008240284402632286,0.14360059279211135,0.002580103208158507,261
cruise,-0.003967524001287242,-0.0006694617036423705,0.00031341003746351766,0.7759072857452769,0.0023493695677157455,261
travel_booking,-0.003966027691826967,-0.0005659327312187271,0.0001660751255621411,0.8358494712271424,0.0027285164091024145,261
vacation_rentals,-0.02491918562082983,0.007992061141653808,0.10844616449576527,5.1124300675547545e-08,0.0014238872582826461,261
Caribbean_cruise,-0.0016412113011399138,-0.0014294256994518502,0.0020663765971983194,0.46463247200533403,0.0019519010352548733,261
cruise_deals,-0.00877883532308304,0.00114516854324064,0.002100683190552131,0.4609450121796761,0.0015508957658629838,261
honeymoon_destinations,-0.005676192284595696,0.0004202509070799086,0.00016879683374135376,0.8345290370819898,0.002009740445338534,261
cruise_line,-0.0011131148895210012,-0.001442419148204769,0.0029995752659923826,0.37819611635111783,0.0016340275959373935,261
Disney_tickets,-0.0036610247187805283,-0.0009695604918866942,0.0004568031395232388,0.7310925589164691,0.002818131614943201,261
destination_wedding,-0.004464413313936829,-0.00015408324358549312,5.7811400104265026e-05,0.9027021805502786,0.0012591754057164005,261
last_minute_travel,-0.01687094612397182,0.004693948684164565,0.032233019729080305,0.003611427514666499,0.001598171414506059,261
mountain_vacation,-0.023680173618995597,0.013576920723297447,0.15610896467050053,3.496779190280745e-11,0.0019614654606284576,261
eco_tourism,-0.005524058280060881,8.702811998549795e-06,7.362137708390949e-05,0.890275179123802,6.30219394630588e-05,261
engagement_trip,-0.004762418088706036,-3.148704805194031e-06,7.925275571795256e-06,0.9638980617596749,6.949813620346522e-05,261
