month,mean,diff_from_grand_mean,pct_vs_avg
Jan,33.810439059938055,0.8920947956519072,2.7100232881997073
Feb,33.39825104754964,0.4799067832634947,1.4578703576660639
Mar,33.36573146292585,0.4473871986397029,1.3590817176217558
Apr,33.255419930770636,0.3370756664844876,1.0239751543342008
May,32.93067954089998,0.012335276613832491,0.037472348289446955
Jun,33.60357077791947,0.6852265136333244,2.081594712455639
Jul,34.724357806522136,1.8060135422359878,5.486343807988461
Aug,33.55565676808162,0.6373125037954708,1.936040581746104
Sep,31.897340134815085,-1.0210041294710628,-3.1016266227544538
Oct,32.041901985789764,-0.8764422784963841,-2.6624737607087243
Nov,31.415558389506284,-1.502785874779864,-4.565192777360525
Dec,31.021224266715247,-1.8971199975709006,-5.7631088074776855
