date,good credit score
2004-01-01,3.900900900900901
2004-02-01,6.70575221238938
2004-03-01,6.497320471597
2004-04-01,6.661538461538461
2004-05-01,6.943871706758306
2004-06-01,8.94833524684271
2004-07-01,6.857466063348417
2004-08-01,10.046403712296986
2004-09-01,9.158636897767334
2004-10-01,8.267303102625299
2004-11-01,9.803773584905663
2004-12-01,8.848020434227331
2005-01-01,11.702702702702704
2005-02-01,14.369469026548673
2005-03-01,15.779206859592714
2005-04-01,13.323076923076922
2005-05-01,17.855670103092788
2005-06-01,19.885189437428245
2005-07-01,20.57239819004525
2005-08-01,20.09280742459397
2005-09-01,15.264394829612222
2005-10-01,15.501193317422434
2005-11-01,14.16100628930818
2005-12-01,12.166028097062581
2006-01-01,17.554054054054056
2006-02-01,15.327433628318584
2006-03-01,15.779206859592714
2006-04-01,16.178021978021977
2006-05-01,14.879725085910655
2006-06-01,16.902411021814007
2006-07-01,17.63348416289593
2006-08-01,18.083526682134572
2006-09-01,14.246768507638073
2006-10-01,14.467780429594272
2006-11-01,14.16100628930818
2006-12-01,13.272030651340998
2007-01-01,17.554054054054056
2007-02-01,13.41150442477876
2007-03-01,14.851018220793142
2007-04-01,17.12967032967033
2007-05-01,17.855670103092788
2007-06-01,17.89667049368542
2007-07-01,18.613122171945705
2007-08-01,19.088167053364273
2007-09-01,17.29964747356052
2007-10-01,16.534606205250597
2007-11-01,15.250314465408808
2007-12-01,16.590038314176248
2008-01-01,20.47972972972973
2008-02-01,21.075221238938052
2008-03-01,21.34833869239014
2008-04-01,20.936263736263736
2008-05-01,20.83161512027492
2008-06-01,20.879448909299654
2008-07-01,21.552036199095024
2008-08-01,22.102088167053367
2008-09-01,21.37015276145711
2008-10-01,20.668257756563246
2008-11-01,19.607547169811326
2008-12-01,24.332056194125162
2009-01-01,27.306306306306308
2009-02-01,28.738938053097346
2009-03-01,27.84565916398714
2009-04-01,29.5010989010989
2009-05-01,27.775486827033223
2009-06-01,29.827784156142364
2009-07-01,28.40950226244344
2009-08-01,29.134570765661255
2009-09-01,27.475910693302
2009-10-01,26.868735083532222
2009-11-01,26.1433962264151
2009-12-01,24.332056194125162
2010-01-01,30.23198198198198
2010-02-01,28.738938053097346
2010-03-01,28.77384780278671
2010-04-01,29.5010989010989
2010-05-01,27.775486827033223
2010-06-01,27.83926521239954
2010-07-01,30.36877828054299
2010-08-01,30.139211136890957
2010-09-01,55.96944770857815
2010-10-01,46.5035799522673
2010-11-01,30.500628930817616
2010-12-01,25.438058748403577
2011-01-01,35.10810810810811
2011-02-01,34.48672566371681
2011-03-01,33.41479099678457
2011-04-01,33.30769230769231
2011-05-01,39.67926689576175
2011-06-01,51.701492537313435
2011-07-01,52.90045248868779
2011-08-01,61.28306264501161
2011-09-01,92.60399529964748
2011-10-01,102.30787589498807
2011-11-01,104.5735849056604
2011-12-01,98.43422733077907
2012-01-01,97.52252252252252
2012-02-01,91.0066371681416
2012-03-01,77.03965702036443
2012-04-01,39.96923076923077
2012-05-01,39.67926689576175
2012-06-01,39.77037887485649
2012-07-01,40.165158371040725
2012-08-01,40.18561484918794
2012-09-01,40.70505287896593
2012-10-01,38.236276849642
2012-11-01,42.483018867924535
2012-12-01,35.392081736909326
2013-01-01,37.05855855855856
2013-02-01,35.44469026548673
2013-03-01,37.127545551982855
2013-04-01,35.21098901098901
2013-05-01,37.69530355097366
2013-06-01,36.78760045924225
2013-07-01,40.165158371040725
2013-08-01,40.18561484918794
2013-09-01,33.58166862514689
2013-10-01,32.03579952267303
2013-11-01,33.7685534591195
2013-12-01,38.710089399744575
2014-01-01,37.05855855855856
2014-02-01,34.48672566371681
2014-03-01,37.127545551982855
2014-04-01,39.96923076923077
2014-05-01,38.6872852233677
2014-06-01,39.77037887485649
2014-07-01,37.22624434389141
2014-08-01,40.18561484918794
2014-09-01,35.61692126909519
2014-10-01,32.03579952267303
2014-11-01,34.85786163522013
2014-12-01,34.28607918263091
2015-01-01,38.03378378378378
2015-02-01,39.27654867256637
2015-03-01,38.983922829582
2015-04-01,40.92087912087912
