date,minimum payment
2004-01-01,6.119827586206896
2004-02-01,0.0
2004-03-01,10.112535612535613
2004-04-01,10.199712643678161
2004-05-01,7.733115468409586
2004-06-01,0.0
2004-07-01,6.183797909407666
2004-08-01,7.626304481276856
2004-09-01,7.303497942386832
2004-10-01,6.74443539630836
2004-11-01,4.658136482939633
2004-12-01,7.453018372703412
2005-01-01,9.179741379310345
2005-02-01,7.2144308943089435
2005-03-01,10.112535612535613
2005-04-01,9.27246603970742
2005-05-01,25.132625272331154
2005-06-01,18.55519680196802
2005-07-01,29.88835656213705
2005-08-01,25.057857581338244
2005-09-01,36.51748971193416
2005-10-01,33.7221769815418
2005-11-01,31.675328083989502
2005-12-01,40.99160104986877
2006-01-01,55.078448275862065
2006-02-01,16.490127758420442
2006-03-01,15.16880341880342
2006-04-01,11.126959247648902
2006-05-01,15.466230936819173
2006-06-01,13.097785977859779
2006-07-01,14.428861788617887
2006-08-01,13.07366482504604
2006-09-01,10.433568489124045
2006-10-01,9.634907709011943
2006-11-01,12.111154855643045
2006-12-01,9.316272965879266
2007-01-01,13.259626436781609
2007-02-01,12.367595818815332
2007-03-01,12.135042735042736
2007-04-01,12.981452455590386
2007-05-01,12.566312636165577
2007-06-01,13.097785977859779
2007-07-01,13.39822880371661
2007-08-01,14.163136893799877
2007-09-01,10.433568489124045
2007-10-01,11.561889250814332
2007-11-01,12.111154855643045
2007-12-01,11.179527559055119
2008-01-01,13.259626436781609
2008-02-01,13.39822880371661
2008-03-01,13.146296296296297
2008-04-01,12.981452455590386
2008-05-01,12.566312636165577
2008-06-01,15.280750307503075
2008-07-01,12.367595818815332
2008-08-01,15.252608962553712
2008-09-01,11.47692533803645
2008-10-01,11.561889250814332
2008-11-01,12.111154855643045
2008-12-01,12.111154855643045
2009-01-01,15.29956896551724
2009-02-01,18.551393728222997
2009-03-01,16.180056980056982
2009-04-01,16.690438871473354
2009-05-01,16.43287037037037
2009-06-01,29.4700184501845
2009-07-01,26.79645760743322
2009-08-01,27.236801718845914
2009-09-01,18.780423280423282
2009-10-01,16.379343105320302
2009-11-01,13.974409448818898
2009-12-01,13.042782152230972
2010-01-01,16.319540229885057
2010-02-01,18.551393728222997
2010-03-01,17.191310541310543
2010-04-01,14.83594566353187
