date,refinance loan
2004-01-01,24.668189730200176
2004-02-01,20.128717265867735
2004-03-01,22.42274412855377
2004-04-01,23.117242907801423
2004-05-01,20.128717265867735
2004-06-01,24.04050042408821
2004-07-01,14.605475040257652
2004-08-01,19.668525402726146
2004-09-01,18.945690413368517
2004-10-01,17.410794941282745
2004-11-01,18.18546365914787
2004-12-01,16.057157309054123
2005-01-01,14.800913838120104
2005-02-01,19.122281402574348
2005-03-01,14.948496085702514
2005-04-01,13.066267730496456
2005-05-01,16.102973812694188
2005-06-01,20.1940203562341
2005-07-01,19.169685990338166
2005-08-01,19.668525402726146
2005-09-01,16.951407211961303
2005-10-01,18.434959349593495
2005-11-01,15.912280701754387
2005-12-01,13.763277693474963
2006-01-01,15.787641427328111
2006-02-01,17.109409675987575
2006-03-01,15.882777091058921
2006-04-01,18.091755319148938
2006-05-01,20.128717265867735
2006-06-01,21.155640373197627
2006-07-01,18.256843800322066
2006-08-01,18.731928954977285
2006-09-01,16.951407211961303
2006-10-01,18.434959349593495
2006-11-01,19.322055137844615
2006-12-01,19.497976732422863
2007-01-01,19.73455178416014
2007-02-01,21.13515312916112
2007-03-01,18.68562010712814
2007-04-01,22.112145390070925
2007-05-01,29.186640035508216
2007-06-01,25.96374045801527
2007-07-01,21.908212560386477
2007-08-01,20.60512185047501
2007-09-01,21.937115215479334
2007-10-01,21.507452574525743
2007-11-01,21.595238095238095
2007-12-01,17.204097116843705
2008-01-01,32.56201044386423
2008-02-01,28.18020417221483
2008-03-01,23.357025133910177
2008-04-01,22.112145390070925
2008-05-01,23.148024855747895
2008-06-01,21.155640373197627
2008-07-01,20.08252818035427
2008-08-01,18.731928954977285
2008-09-01,21.937115215479334
2008-10-01,20.483288166214994
2008-11-01,21.595238095238095
2008-12-01,43.58371269600405
2009-01-01,44.402741514360315
2009-02-01,36.23169107856192
2009-03-01,41.10836423568191
2009-04-01,41.208998226950364
2009-05-01,31.19951176209499
2009-06-01,28.848600508905854
2009-07-01,29.210950080515303
2009-08-01,25.288104089219335
2009-09-01,23.931398416886548
2009-10-01,25.604110207768745
2009-11-01,26.141604010025063
2009-12-01,24.085735963581186
2010-01-01,21.708006962576153
2010-02-01,22.14158899245451
2010-03-01,22.42274412855377
2010-04-01,21.107047872340427
2010-05-01,23.148024855747895
2010-06-01,25.96374045801527
2010-07-01,26.472423510466992
2010-08-01,30.90768277571252
2010-09-01,27.919964819700972
2010-10-01,25.604110207768745
2010-11-01,26.141604010025063
2010-12-01,18.351036924633284
2011-01-01,20.721279373368148
2011-02-01,19.122281402574348
2011-03-01,17.751339101771734
2011-04-01,19.096852836879435
2011-05-01,20.128717265867735
2011-06-01,21.155640373197627
2011-07-01,20.08252818035427
2011-08-01,28.097893432465927
2011-09-01,28.91710642040458
2011-10-01,31.749096657633242
2011-11-01,28.41478696741855
2011-12-01,25.232675771370765
2012-01-01,28.615100087032204
2012-02-01,32.205947625388376
2012-03-01,28.028430160692213
2012-04-01,28.142730496453904
2012-05-01,30.193075898801602
2012-06-01,31.73346055979644
2012-07-01,31.03663446054751
2012-08-01,28.097893432465927
2012-09-01,30.91138962181179
2012-10-01,28.676603432700993
2012-11-01,27.278195488721806
2012-12-01,26.379615579160347
2013-01-01,29.60182767624021
2013-02-01,31.19951176209499
2013-03-01,25.225587144622992
2013-04-01,29.1478280141844
2013-05-01,29.186640035508216
2013-06-01,25.96374045801527
2013-07-01,24.64673913043479
2013-08-01,23.414911193721604
2013-09-01,20.939973614775727
2013-10-01,22.531616982836493
2013-11-01,22.73182957393484
2013-12-01,21.791856348002025
2014-01-01,22.69473455178416
2014-02-01,24.154460719041282
2014-03-01,23.357025133910177
2014-04-01,24.122340425531917
2014-05-01,28.18020417221483
2014-06-01,25.96374045801527
2014-07-01,26.472423510466992
2014-08-01,25.288104089219335
2014-09-01,25.92568161829376
2014-10-01,26.628274616079494
2014-11-01,27.278195488721806
2014-12-01,26.379615579160347
2015-01-01,30.588555265448214
2015-02-01,31.19951176209499
2015-03-01,28.96271116604862
2015-04-01,28.142730496453904
2015-05-01,30.193075898801602
2015-06-01,31.73346055979644
2015-07-01,30.123792270531407
2015-08-01,29.971086327963654
2015-09-01,29.914248021108182
2015-10-01,27.652439024390244
2015-11-01,28.41478696741855
2015-12-01,28.673495194739505
2016-01-01,27.628372497824195
2016-02-01,32.205947625388376
2016-03-01,28.028430160692213
2016-04-01,30.1529255319149
2016-05-01,32.205947625388376
2016-06-01,30.771840542832912
2016-07-01,32.86231884057972
2016-08-01,29.03448988021479
2016-09-01,28.91710642040458
2016-10-01,33.797425474254744
2016-11-01,35.234335839599
2016-12-01,30.967374810318667
2017-01-01,35.52219321148825
2017-02-01,32.205947625388376
2017-03-01,31.765554182117842
2017-04-01,35.178413120567384
2017-05-01,36.23169107856192
2017-06-01,36.54156064461408
2017-07-01,36.51368760064413
2017-08-01,38.40045435770343
2017-09-01,35.89709762532982
2017-10-01,39.94241192411924
2017-11-01,38.64411027568923
2017-12-01,36.70207384926657
2018-01-01,37.49564838990426
2018-02-01,38.244562805148696
2018-03-01,37.37124021425628
2018-04-01,39.19880319148937
2018-05-01,41.26387039502886
2018-06-01,37.50318066157761
2018-07-01,39.25221417069244
2018-08-01,39.33705080545229
2018-09-01,35.89709762532982
2018-10-01,36.86991869918699
2018-11-01,36.37092731829574
2018-12-01,37.84901365705615
2019-01-01,41.442558746736296
2019-02-01,41.26387039502886
2019-03-01,38.30552121961269
2019-04-01,43.21919326241135
2019-05-01,43.27674212161563
2019-06-01,50.00424088210348
2019-07-01,48.38063607085347
2019-08-01,52.44940107393639
2019-09-01,50.85422163588391
2019-10-01,52.232384823848236
2019-11-01,51.14661654135339
2019-12-01,45.877592311583214
2020-01-01,51.30983463881636
2020-02-01,58.37328007101643
2020-03-01,93.42810053564071
2020-04-01,67.34153368794327
2020-05-01,62.39902352418998
