date,debt consolidation
2004-01-01,92.69925213675214
2004-02-01,89.2043426021284
2004-03-01,91.4864084267754
2004-04-01,74.75814778960957
2004-05-01,82.68003220611917
2004-06-01,82.36433940445215
2004-07-01,87.25907939189189
2004-08-01,78.7264619883041
2004-09-01,80.57434108527131
2004-10-01,81.96727330779055
2004-11-01,79.5111111111111
2004-12-01,83.96647509578543
2005-01-01,72.63034188034189
2005-02-01,83.83058702368693
2005-03-01,72.33809038396194
2005-04-01,69.70692158760892
2005-05-01,71.58880837359098
2005-06-01,73.3133130962706
2005-07-01,77.56362612612612
2005-08-01,75.98019005847952
2005-09-01,76.69124031007752
2005-10-01,70.97166347381865
2005-11-01,64.05061728395061
2005-12-01,74.37030651340996
2006-01-01,73.58600427350427
2006-02-01,69.85882251973912
2006-03-01,70.21049949031601
2006-04-01,69.70692158760892
2006-05-01,69.57222222222222
2006-06-01,72.40821046545244
2006-07-01,88.14048423423422
2006-08-01,83.30358187134503
2006-09-01,74.74968992248061
2006-10-01,78.96847062579822
2006-11-01,86.13703703703703
2006-12-01,86.36551724137931
2007-01-01,82.18696581196582
2007-02-01,77.38208032955717
2007-03-01,85.10363574583758
2007-04-01,84.86060019361085
2007-05-01,88.72979066022543
2007-06-01,85.07964729690663
2007-07-01,82.85205518018017
2007-08-01,82.38815789473684
2007-09-01,80.57434108527131
2007-10-01,82.966874201788
2007-11-01,86.13703703703703
2007-12-01,81.56743295019156
2008-01-01,82.18696581196582
2008-02-01,73.083075866804
2008-03-01,74.46568127760789
2008-04-01,64.65569538560827
2008-05-01,61.50587761674718
2008-06-01,61.54697889563458
2008-07-01,66.10536317567568
2008-08-01,75.98019005847952
2008-09-01,77.66201550387596
2008-10-01,73.97046615581098
2008-11-01,81.71975308641976
2008-12-01,86.36551724137931
2009-01-01,72.63034188034189
2009-02-01,66.63456917267423
2009-03-01,68.08290859667007
2009-04-01,60.61471442400775
2009-05-01,67.55563607085345
2009-06-01,67.88269731136167
2009-07-01,65.22395833333333
2009-08-01,69.57222222222222
2009-09-01,62.12961240310077
2009-10-01,59.97605363984675
2009-11-01,61.84197530864198
2009-12-01,55.177969348659
2010-01-01,55.42841880341881
2010-02-01,53.7375557844147
2010-03-01,52.12597689432552
2010-04-01,44.45079057760569
2010-05-01,43.35660225442834
2010-06-01,41.63472101763516
2010-07-01,37.90040822072072
2010-08-01,34.78611111111111
2010-09-01,35.91868217054263
2010-10-01,33.98643039591315
2010-11-01,34.23395061728395
2010-12-01,31.187547892720303
2011-01-01,32.49252136752137
2011-02-01,34.39203570202541
2011-03-01,31.913863404689092
2011-04-01,30.307357212003875
2011-05-01,33.27367149758454
2011-06-01,28.05818155536282
2011-07-01,30.84916948198198
2011-08-01,32.955263157894734
2011-09-01,30.094031007751937
2011-10-01,33.98643039591315
2011-11-01,30.92098765432099
2011-12-01,29.98802681992337
2012-01-01,29.62553418803419
2012-02-01,29.01828012358394
2012-03-01,27.658681617397214
2012-04-01,29.297111971603748
2012-05-01,32.26537842190016
2012-06-01,30.77348944781729
2012-07-01,28.204954954954953
2012-08-01,30.208991228070175
2012-09-01,33.00635658914729
2012-10-01,30.98762771392082
2012-11-01,28.712345679012344
2012-12-01,28.788505747126436
2013-01-01,28.669871794871796
2013-02-01,26.86877789220735
2013-03-01,28.722477064220183
2013-04-01,26.266376250403358
2013-05-01,28.23220611916264
2013-06-01,27.153078924544666
2013-07-01,28.204954954954953
2013-08-01,27.462719298245613
2013-09-01,30.094031007751937
2013-10-01,29.988026819923373
2013-11-01,27.608024691358025
2013-12-01,27.5889846743295
2014-01-01,30.581196581196583
2014-02-01,27.943529007895645
2014-03-01,26.594886170574245
2014-04-01,27.27662149080349
2014-05-01,27.22391304347826
2014-06-01,28.05818155536282
2014-07-01,29.967764639639636
2014-08-01,28.378143274853798
2014-09-01,27.181705426356586
2014-10-01,28.988425925925927
2014-11-01,27.608024691358025
2014-12-01,26.389463601532565
2015-01-01,25.802884615384617
2015-02-01,27.943529007895645
2015-03-01,26.594886170574245
2015-04-01,28.286866731203617
2015-05-01,27.22391304347826
2015-06-01,27.153078924544666
2015-07-01,29.967764639639636
2015-08-01,32.039839181286546
2015-09-01,30.094031007751937
2015-10-01,29.988026819923373
2015-11-01,30.92098765432099
2015-12-01,28.788505747126436
2016-01-01,26.75854700854701
2016-02-01,36.541537933402
2016-03-01,34.04145429833503
2016-04-01,49.50201677960633
2016-05-01,49.40636070853462
2016-06-01,38.01431049436253
2016-07-01,42.30743243243243
2016-08-01,37.53238304093567
2016-09-01,39.801782945736434
2016-10-01,32.98682950191571
2016-11-01,38.651234567901234
2016-12-01,38.38467432950191
2017-01-01,34.40384615384615
2017-02-01,37.61628904909029
2017-03-01,45.7432042133877
2017-04-01,41.420054856405294
2017-05-01,44.36489533011272
2017-06-01,42.539823648453314
2017-07-01,44.07024211711711
2017-08-01,43.940350877192984
2017-09-01,46.59720930232558
2017-10-01,44.98204022988506
2017-11-01,44.172839506172835
2017-12-01,38.38467432950191
2018-01-01,37.270833333333336
2018-02-01,35.466786817713704
2018-03-01,36.16904519198097
2018-04-01,42.430300096805425
2018-05-01,37.306843800322056
2018-06-01,35.299002601908064
2018-07-01,37.90040822072072
2018-08-01,38.44780701754386
2018-09-01,37.860232558139536
2018-10-01,38.98443486590038
2018-11-01,38.651234567901234
2018-12-01,40.78371647509578
2019-01-01,44.916132478632484
2019-02-01,38.691040164778585
2019-03-01,38.296636085626915
2019-04-01,40.40980961600517
2019-05-01,42.34830917874396
2019-06-01,41.63472101763516
2019-07-01,44.95164695945946
2019-08-01,46.68662280701754
2019-09-01,45.62643410852713
2019-10-01,40.983636653895275
2019-11-01,43.068518518518516
2019-12-01,44.38227969348659
2020-01-01,46.82745726495727
2020-02-01,47.28904909028494
2020-03-01,36.16904519198097
2020-04-01,26.266376250403358
2020-05-01,25.2073268921095
2020-06-01,26.247976293726513
2020-07-01,27.32355011261261
2020-08-01,29.293567251461987
2020-09-01,31.064806201550386
2020-10-01,34.9860312899106
2020-11-01,34.23395061728395
2020-12-01,34.78611111111111
2021-01-01,27.714209401709404
2021-02-01,30.093031239272236
2021-03-01,27.658681617397214
2021-04-01,26.266376250403358
2021-05-01,30.2487922705314
2021-06-01,29.868386816999134
2021-07-01,24.679335585585584
2021-08-01,26.547295321637424
2021-09-01,29.123255813953488
2021-10-01,30.98762771392082
2021-11-01,32.02530864197531
2021-12-01,31.187547892720303
2022-01-01,25.802884615384617
2022-02-01,34.39203570202541
2022-03-01,36.16904519198097
2022-04-01,33.338092933204265
2022-05-01,34.28196457326892
2022-06-01,35.299002601908064
2022-07-01,35.25619369369369
2022-08-01,37.53238304093567
2022-09-01,36.889457364341084
2022-10-01,37.98483397190294
2022-11-01,38.651234567901234
2022-12-01,37.18515325670498
2023-01-01,40.13782051282052
2023-02-01,41.915293511843466
2023-03-01,54.253567787971456
2023-04-01,90.92207163601162
2023-05-01,64.53075684380032
2023-06-01,86.88985255854294
