date,installment loan
2004-01-01,22.865731462925854
2004-02-01,0.0
2004-03-01,29.80223880597015
2004-04-01,23.12837837837838
2004-05-01,22.090067340067343
2004-06-01,18.851304347826087
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,15.874782608695654
2004-10-01,15.57991967871486
2004-11-01,14.818181818181818
2004-12-01,21.979061976549414
2005-01-01,19.435871743486974
2005-02-01,25.19558359621451
2005-03-01,21.287313432835823
2005-04-01,24.09206081081081
2005-05-01,15.367003367003369
2005-06-01,15.874782608695654
2005-07-01,23.711554447215295
2005-08-01,23.327111111111115
2005-09-01,15.874782608695654
2005-10-01,17.41285140562249
2005-11-01,16.670454545454547
2005-12-01,19.11222780569514
2006-01-01,25.15230460921844
2006-02-01,23.99579390115668
2006-03-01,23.416044776119403
2006-04-01,14.455236486486488
2006-05-01,19.20875420875421
2006-06-01,17.85913043478261
2006-07-01,18.969243557772238
2006-08-01,19.270222222222223
2006-09-01,20.835652173913047
2006-10-01,17.41285140562249
2006-11-01,14.818181818181818
2006-12-01,12.422948073701843
2007-01-01,22.865731462925854
2007-02-01,16.797055730809674
2007-03-01,26.609141791044777
2007-04-01,24.09206081081081
2007-05-01,29.773569023569028
2007-06-01,29.76521739130435
2007-07-01,28.453865336658357
2007-08-01,35.497777777777785
2007-09-01,25.796521739130437
2007-10-01,25.661044176706827
2007-11-01,25.00568181818182
2007-12-01,23.89028475711893
2008-01-01,25.15230460921844
2008-02-01,29.99474237644585
2008-03-01,36.1884328358209
2008-04-01,26.019425675675677
2008-05-01,23.050505050505052
2008-06-01,24.80434782608696
2008-07-01,27.505403158769745
2008-08-01,30.42666666666667
2008-09-01,28.773043478260874
2008-10-01,28.410441767068274
2008-11-01,19.448863636363637
2008-12-01,25.801507537688444
2009-01-01,28.582164328657317
2009-02-01,29.99474237644585
2009-03-01,25.544776119402986
2009-04-01,29.874155405405407
2009-05-01,24.971380471380474
2009-06-01,24.80434782608696
2009-07-01,26.556940980881134
2009-08-01,26.36977777777778
2009-09-01,22.82
2009-10-01,29.32690763052209
2009-11-01,28.710227272727273
2009-12-01,24.845896147403685
2010-01-01,27.438877755511022
2010-02-01,32.39432176656152
2010-03-01,29.80223880597015
2010-04-01,29.874155405405407
2010-05-01,30.734006734006737
2010-06-01,30.757391304347827
2010-07-01,31.29925187032419
2010-08-01,32.455111111111115
2010-09-01,29.76521739130435
2010-10-01,26.577510040160643
2010-11-01,25.00568181818182
2010-12-01,25.801507537688444
2011-01-01,30.868737474949903
2011-02-01,31.194532071503684
2011-03-01,34.059701492537314
2011-04-01,36.619932432432435
2011-05-01,35.53619528619529
2011-06-01,36.7104347826087
2011-07-01,36.99002493765586
