date,APR
2004-01-01,34.90348742903487
2004-02-01,33.09188773548635
2004-03-01,30.750982493747767
2004-04-01,28.08090976882923
2004-05-01,32.09029284164859
2004-06-01,35.40514905149052
2004-07-01,35.53841072102681
2004-08-01,32.660497453975715
2004-09-01,33.68979797979797
2004-10-01,31.027346857597454
2004-11-01,32.25119904076739
2004-12-01,29.80967604433077
2005-01-01,31.63128548256285
2005-02-01,34.1260092272203
2005-03-01,33.63388710253662
2005-04-01,29.41809594829729
2005-05-01,33.06272595806218
2005-06-01,36.44647696476965
2005-07-01,33.50764439411099
2005-08-01,32.660497453975715
2005-09-01,33.68979797979797
2005-10-01,29.957438345266507
2005-11-01,30.101119104716226
2005-12-01,30.9562020460358
2006-01-01,33.81275344687753
2006-02-01,32.057766243752404
2006-03-01,33.63388710253662
2006-04-01,30.08668903803132
2006-05-01,32.09029284164859
2006-06-01,34.363821138211385
2006-07-01,38.58456021140053
2006-08-01,37.928319623971795
2006-09-01,35.86333333333333
2006-10-01,35.30698090692124
2006-11-01,35.476318944844124
2006-12-01,34.395780051150886
2007-01-01,38.175689375506884
2007-02-01,37.22837370242215
2007-03-01,34.59485530546624
2007-04-01,30.08668903803132
2007-05-01,36.95245842371656
2007-06-01,40.611788617886184
2007-07-01,38.58456021140053
2007-08-01,37.928319623971795
2007-09-01,39.12363636363636
2007-10-01,36.37688941925219
2007-11-01,35.476318944844124
2007-12-01,34.395780051150886
2008-01-01,40.35715733982157
2008-02-01,36.1942522106882
2008-03-01,33.63388710253662
2008-04-01,30.755282127765348
2008-05-01,34.03515907447578
2008-06-01,31.239837398373986
2008-07-01,30.46149490373726
2008-08-01,33.71406188797493
2008-09-01,31.516262626262623
2008-10-01,31.027346857597454
2008-11-01,31.176159072741807
2008-12-01,32.102728047740825
2009-01-01,31.63128548256285
2009-02-01,32.057766243752404
2009-03-01,29.79001429081815
2009-04-01,36.772619935371615
2009-05-01,31.117859725234997
2009-06-01,34.363821138211385
2009-07-01,29.446111740279353
2009-08-01,31.606933019976495
2009-09-01,30.429494949494945
