date,fico score
2004-01-01,44.35008741258741
2004-02-01,35.025374376039935
2004-03-01,41.41755102040816
2004-04-01,39.68086883876358
2004-05-01,49.94128113879003
2004-06-01,51.404761904761905
2004-07-01,57.01924798567592
2004-08-01,59.30214152700186
2004-09-01,58.32161060142711
2004-10-01,47.90350877192982
2004-11-01,60.55447680690399
2004-12-01,61.26560726447219
2005-01-01,50.0118006993007
2005-02-01,57.477537437604
2005-03-01,68.73551020408163
2005-04-01,55.913951545530495
2005-05-01,52.82250889679715
2005-06-01,64.98337825696316
2005-07-01,66.68352730528201
2005-08-01,68.34823091247671
2005-09-01,63.8236493374108
2005-10-01,59.0438596491228
2005-11-01,53.56742179072276
2005-12-01,51.46311010215664
2006-01-01,48.12456293706294
2006-02-01,43.108153078203
2006-03-01,46.704897959183675
2006-04-01,45.9937343358396
2006-05-01,43.21841637010676
2006-06-01,46.55525606469003
2006-07-01,51.22068039391227
2006-08-01,47.24068901303538
2006-09-01,44.01630988786952
2006-10-01,44.561403508771924
2006-11-01,46.58036677454153
2006-12-01,44.111237230419974
2007-01-01,45.29370629370629
2007-02-01,89.80865224625624
2007-03-01,48.46734693877551
2007-04-01,45.09189640768588
2007-05-01,44.1788256227758
2007-06-01,48.495058400718776
2007-07-01,46.38854073410923
2007-08-01,52.26629422718808
2007-09-01,47.31753312945973
2007-10-01,52.359649122807014
2007-11-01,60.55447680690399
2007-12-01,50.2377979568672
2008-01-01,66.99694055944056
2008-02-01,51.190931780366064
2008-03-01,46.704897959183675
2008-04-01,47.797410192147034
2008-05-01,47.06005338078292
2008-06-01,45.58535489667565
2008-07-01,45.42211280214862
2008-08-01,43.22020484171322
2008-09-01,45.11671763506626
2008-10-01,52.359649122807014
2008-11-01,43.086839266450916
2008-12-01,51.46311010215664
2009-01-01,68.88417832167832
2009-02-01,64.6622296173045
2009-03-01,54.63591836734694
2009-04-01,54.11027568922306
2009-05-01,52.82250889679715
2009-06-01,44.61545372866127
2009-07-01,39.62354521038496
2009-08-01,42.215083798882674
2009-09-01,38.51427115188583
2009-10-01,36.76315789473684
2009-11-01,36.099784250269686
