date,prequalified credit card
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,0.0
2010-04-01,0.0
2010-05-01,0.0
2010-06-01,0.0
2010-07-01,0.0
2010-08-01,0.0
2010-09-01,0.0
2010-10-01,0.0
2010-11-01,0.0
2010-12-01,0.0
2011-01-01,0.0
2011-02-01,0.0
2011-03-01,0.0
2011-04-01,0.0
2011-05-01,0.0
2011-06-01,0.0
2011-07-01,0.0
2011-08-01,0.0
2011-09-01,0.0
2011-10-01,0.0
2011-11-01,0.0
2011-12-01,0.0
2012-01-01,0.0
2012-02-01,0.0
2012-03-01,0.0
2012-04-01,0.0
2012-05-01,0.0
2012-06-01,0.0
2012-07-01,0.0
2012-08-01,21.092261904761905
2012-09-01,0.0
2012-10-01,0.0
2012-11-01,22.086856368563687
2012-12-01,0.0
2013-01-01,0.0
2013-02-01,0.0
2013-03-01,0.0
2013-04-01,0.0
2013-05-01,24.683823529411764
2013-06-01,0.0
2013-07-01,21.183046389287423
2013-08-01,0.0
2013-09-01,34.33624031007752
2013-10-01,0.0
2013-11-01,24.007452574525743
2013-12-01,21.236729452054792
2014-01-01,42.18452380952381
2014-02-01,31.861913937058446
2014-03-01,40.88653846153846
2014-04-01,32.34643698468787
2014-05-01,39.31127450980392
2014-06-01,48.30388374485597
2014-07-01,49.99198947871832
2014-08-01,35.47334956709957
2014-09-01,28.450027685492802
2014-10-01,57.28065774804905
2014-11-01,29.769241192411926
2014-12-01,44.49600456621004
2015-01-01,65.75822829131653
2015-02-01,44.37909441233141
2015-03-01,36.34358974358974
2015-04-01,58.43227326266196
2015-05-01,53.93872549019608
2015-06-01,61.06340020576132
2015-07-01,61.00717360114778
2015-08-01,53.68939393939394
2015-09-01,58.86212624584717
2015-10-01,66.16903567447045
2015-11-01,47.05460704607046
2015-12-01,67.75527968036529
2016-01-01,65.75822829131653
2016-02-01,77.37893384714194
2016-03-01,67.00849358974358
2016-04-01,76.17064193168434
2016-05-01,74.05147058823529
2016-06-01,56.506430041152264
2016-07-01,55.923242467718794
2016-08-01,62.31804653679654
2016-09-01,56.900055370985605
2016-10-01,87.8961817168339
2016-11-01,86.42682926829268
2016-12-01,58.653824200913235
2017-01-01,54.59173669467787
2017-02-01,43.24116891457932
2017-03-01,68.14423076923076
2017-04-01,70.95347467608953
2017-05-01,53.93872549019608
2017-06-01,75.6457047325103
2017-07-01,65.24378287900525
2017-08-01,67.11174242424242
2017-09-01,62.78626799557032
2017-10-01,70.11942586399108
2017-11-01,65.30027100271002
2017-12-01,71.8003710045662
2018-01-01,49.628851540616246
2018-02-01,71.6893063583815
2018-03-01,80.63733974358973
2018-04-01,74.08377502944641
2018-05-01,80.45098039215686
2018-06-01,61.97479423868313
2018-07-01,84.73218555714969
2018-08-01,68.0704816017316
2018-09-01,60.824197120708746
2018-10-01,70.11942586399108
2018-11-01,55.697289972899725
2018-12-01,59.66509703196346
2019-01-01,55.83245798319328
2019-02-01,64.86175337186899
2019-03-01,61.32980769230768
2019-04-01,63.649440518256775
2019-05-01,60.338235294117645
2019-06-01,72.91152263374487
2019-07-01,56.77056432329029
2019-08-01,74.78165584415585
2019-09-01,58.86212624584717
2019-10-01,50.367474916387955
2019-11-01,51.85609756097561
2019-12-01,45.50727739726027
2020-01-01,81.88760504201682
2020-02-01,58.034200385356456
2020-03-01,49.97243589743589
2020-04-01,39.650471142520615
2020-05-01,34.740196078431374
2020-06-01,25.5190329218107
2020-07-01,44.06073648971784
2020-08-01,32.59713203463203
2020-09-01,49.051771871539316
2020-10-01,42.46669453734671
2020-11-01,38.41192411924119
2020-12-01,33.37200342465753
2021-01-01,44.66596638655462
2021-02-01,51.206647398843934
2021-03-01,45.429487179487175
2021-04-01,32.34643698468787
2021-05-01,41.13970588235294
2021-06-01,43.74691358024692
2021-07-01,35.58751793400287
2021-08-01,39.308306277056275
2021-09-01,44.146594684385384
2021-10-01,34.56591415830546
2021-11-01,48.014905149051486
2021-12-01,42.473458904109584
2022-01-01,27.295868347338935
2022-02-01,45.5170199100835
2022-03-01,39.75080128205128
2022-04-01,38.60703769140165
2022-05-01,39.31127450980392
2022-06-01,35.54436728395062
2022-07-01,39.82412721186035
2022-08-01,34.51461038961039
2022-09-01,26.48795681063123
2022-10-01,21.727146042363433
2022-11-01,26.888346883468834
2022-12-01,23.259275114155248
2023-01-01,29.77731092436975
2023-02-01,29.58606294155427
2023-03-01,30.66490384615384
2023-04-01,26.08583627797409
2023-05-01,29.254901960784313
2023-06-01,34.63297325102881
2023-07-01,21.183046389287423
2023-08-01,30.67965367965368
2023-09-01,29.431063122923586
2023-10-01,19.75195094760312
2023-11-01,27.848644986449862
2023-12-01,25.281820776255703
2024-01-01,31.018032212885156
2024-02-01,45.5170199100835
2024-03-01,24.986217948717947
2024-04-01,27.129269729093053
2024-05-01,23.769607843137255
2024-06-01,32.81018518518519
2024-07-01,26.266977522716402
2024-08-01,26.84469696969697
2024-09-01,35.317275747508305
2024-10-01,32.59071906354515
2024-11-01,29.769241192411926
2024-12-01,32.3607305936073
2025-01-01,42.18452380952381
2025-02-01,27.310211946050096
2025-03-01,45.429487179487175
2025-04-01,51.12823910482921
2025-05-01,35.654411764705884
2025-06-01,41.92412551440329
2025-07-01,28.808943089430894
2025-08-01,44.10200216450217
2025-09-01,45.12763012181617
2025-10-01,37.52870680044593
2025-11-01,37.451626016260164
2025-12-01,64.7214611872146
