date,bankruptcy
2004-01-01,56.52245250431779
2004-02-01,61.41496598639456
2004-03-01,59.67843739338111
2004-04-01,57.93121149897331
2004-05-01,55.024379432624116
2004-06-01,58.896731690622865
2004-07-01,62.3109921848454
2004-08-01,59.66084229390682
2004-09-01,61.882865875584336
2004-10-01,55.84658890067161
2004-11-01,59.70899470899471
2004-12-01,61.381876026272586
2005-01-01,59.446027633851465
2005-02-01,61.41496598639456
2005-03-01,75.07932446264074
2005-04-01,78.20713552361397
2005-05-01,66.02925531914893
2005-06-01,63.72433264887064
2005-07-01,59.43510023785253
2005-08-01,71.79525089605735
2005-09-01,82.1723300970874
2005-10-01,89.75344644750795
2005-11-01,57.576530612244895
2005-12-01,56.749281609195414
2006-01-01,51.64982728842833
2006-02-01,47.98044217687075
2006-03-01,49.0903275332651
2006-04-01,47.3104893908282
2006-05-01,46.020390070921984
2006-06-01,45.37944900752909
2006-07-01,44.09700985389059
2006-08-01,47.52643369175628
2006-09-01,43.62234807623158
2006-10-01,46.87124425592082
2006-11-01,44.78174603174603
2006-12-01,44.00964696223318
2007-01-01,45.802677029360964
2007-02-01,42.222789115646265
2007-03-01,45.2401057659502
2007-04-01,40.55184804928132
2007-05-01,43.01906028368794
2007-06-01,43.448408624229984
2007-07-01,43.13837920489297
2007-08-01,51.57123655913979
2007-09-01,44.63682128730674
2007-10-01,46.87124425592082
2007-11-01,51.17913832199547
2007-12-01,46.32594417077176
2008-01-01,51.64982728842833
2008-02-01,47.98044217687075
2008-03-01,51.01543841692256
2008-04-01,57.93121149897331
2008-05-01,59.0261524822695
2008-06-01,52.13809034907598
2008-07-01,61.35236153584778
2008-08-01,55.61603942652331
2008-09-01,77.09996404171163
2008-10-01,77.78632025450689
2008-11-01,82.09986772486772
2008-12-01,89.17744252873565
2009-01-01,81.860103626943
2009-02-01,83.4859693877551
2009-03-01,80.85465711361311
2009-04-01,84.0002566735113
2009-05-01,85.03767730496453
2009-06-01,96.55201916495551
2009-07-01,86.27675840978594
2009-08-01,79.88485663082439
2009-09-01,78.11443725278679
2009-10-01,72.80001767408979
2009-11-01,77.83493953136811
2009-12-01,78.754105090312
2010-01-01,73.08937823834196
2010-02-01,72.93027210884354
2010-03-01,72.19165813715456
2010-04-01,67.58641341546885
2010-05-01,67.02969858156028
2010-06-01,73.37953456536619
2010-07-01,62.3109921848454
2010-08-01,64.71684587813621
2010-09-01,59.85391945343403
2010-10-01,55.84658890067161
2010-11-01,57.576530612244895
2010-12-01,56.749281609195414
2011-01-01,62.369602763385146
2011-02-01,66.21301020408164
2011-03-01,61.60354827703856
2011-04-01,57.93121149897331
2011-05-01,56.02482269503546
2011-06-01,60.82777207392198
2011-07-01,59.43510023785253
2011-08-01,56.627240143369185
2011-09-01,56.81049982020858
2011-10-01,56.843849416755035
2011-11-01,60.775226757369616
2011-12-01,59.065578817734
2012-01-01,61.395077720207254
2012-02-01,53.73809523809524
2012-03-01,51.01543841692256
2012-04-01,53.10361054072553
2012-05-01,53.02349290780142
2012-06-01,53.10361054072553
2012-07-01,52.72468569486918
2012-08-01,51.57123655913979
