date,HELOC
2004-01-01,8.697024893746205
2004-02-01,12.455652173913045
2004-03-01,11.514469453376204
2004-04-01,10.290229885057471
2004-05-01,12.698581560283689
2004-06-01,13.83693972179289
2004-07-01,15.120963735717833
2004-08-01,14.25273631840796
2004-09-01,12.952977184195882
2004-10-01,13.44685153090699
2004-11-01,14.043137254901959
2004-12-01,15.737998647734955
2005-01-01,15.219793564055859
2005-02-01,13.493623188405797
2005-03-01,14.393086816720256
2005-04-01,15.903082549634274
2005-05-01,17.58265139116203
2005-06-01,18.449252962390517
2005-07-01,16.01043219076006
2005-08-01,15.143532338308457
2005-09-01,15.942125765164162
2005-10-01,15.515597920277296
2005-11-01,14.043137254901959
2005-12-01,13.316768086544963
2006-01-01,15.219793564055859
2006-02-01,13.493623188405797
2006-03-01,14.393086816720256
2006-04-01,13.096656217345872
2006-05-01,12.698581560283689
2006-06-01,13.83693972179289
2006-07-01,14.231495280675608
2006-08-01,12.471144278606966
2006-09-01,12.952977184195882
2006-10-01,12.412478336221838
2006-11-01,11.702614379084967
2006-12-01,10.89553752535497
2007-01-01,15.219793564055859
2007-02-01,11.41768115942029
2007-03-01,12.474008574490888
2007-04-01,13.096656217345872
2007-05-01,12.698581560283689
2007-06-01,12.914477073673364
2007-07-01,13.342026825633383
2007-08-01,14.25273631840796
2007-09-01,12.952977184195882
2007-10-01,15.515597920277296
2007-11-01,15.213398692810456
2007-12-01,14.527383367139958
2008-01-01,19.56830601092896
2008-02-01,17.645507246376813
2008-03-01,17.271704180064308
2008-04-01,17.77403343782654
2008-05-01,17.58265139116203
2008-06-01,14.759402369912415
2008-07-01,14.231495280675608
2008-08-01,12.471144278606966
2008-09-01,13.949360044518642
2008-10-01,15.515597920277296
2008-11-01,14.043137254901959
2008-12-01,18.15922920892495
2009-01-01,18.481177899210685
2009-02-01,16.60753623188406
2009-03-01,18.231243301178992
2009-04-01,14.032131661442005
2009-05-01,12.698581560283689
2009-06-01,11.992014425553837
2009-07-01,10.673621460506705
2009-08-01,10.68955223880597
2009-09-01,10.960211463550362
2009-10-01,9.309358752166379
2009-11-01,10.53235294117647
2009-12-01,10.89553752535497
