date,improve credit score
2004-01-01,25.461756373937675
2004-02-01,27.99418604651163
2004-03-01,0.0
2004-04-01,35.33091962346126
2004-05-01,29.905334335086405
2004-06-01,26.6062931696086
2004-07-01,34.88603773584906
2004-08-01,27.51428571428572
2004-09-01,36.03061224489796
2004-10-01,36.440734557596
2004-11-01,29.207349081364832
2004-12-01,40.817438692098094
2005-01-01,44.55807365439093
2005-02-01,34.526162790697676
2005-03-01,52.202567760342376
2005-04-01,42.76900796524258
2005-05-01,44.37565740045079
2005-06-01,49.270913277052955
2005-07-01,51.36
2005-08-01,54.00952380952382
2005-09-01,45.857142857142854
2005-10-01,41.799666110183644
2005-11-01,50.551181102362214
2005-12-01,44.316076294277934
2006-01-01,41.830028328611895
2006-02-01,40.125
2006-03-01,51.2867332382311
2006-04-01,42.76900796524258
2006-05-01,44.37565740045079
2006-06-01,38.43131235610131
2006-07-01,53.298113207547175
2006-08-01,58.085714285714296
2006-09-01,39.30612244897959
2006-10-01,47.15859766277129
2006-11-01,50.551181102362214
2006-12-01,47.81471389645777
2007-01-01,55.47025495750708
2007-02-01,48.52325581395349
2007-03-01,54.03423680456491
2007-04-01,46.48805213613324
2007-05-01,44.37565740045079
2007-06-01,59.12509593246355
2007-07-01,60.08150943396227
2007-08-01,54.00952380952382
2007-09-01,49.13265306122449
2007-10-01,53.58931552587647
2007-11-01,44.934383202099745
2007-12-01,53.6457765667575
2008-01-01,56.37960339943343
2008-02-01,54.122093023255815
2008-03-01,58.61340941512126
2008-04-01,51.13685734974656
2008-05-01,51.128474830954175
2008-06-01,58.13967766692249
2008-07-01,50.39094339622642
2008-08-01,51.97142857142858
2008-09-01,54.59183673469388
2008-10-01,53.58931552587647
2008-11-01,52.7979002624672
2008-12-01,53.6457765667575
2009-01-01,60.016997167138804
2009-02-01,63.45348837209302
2009-03-01,71.43509272467904
2009-04-01,63.22375090514121
2009-05-01,66.56348610067619
2009-06-01,72.92095165003838
2009-07-01,71.71018867924529
2009-08-01,70.31428571428573
2009-09-01,62.23469387755102
2009-10-01,54.661101836393996
2009-11-01,60.66141732283465
2009-12-01,52.47956403269755
2010-01-01,60.92634560906515
2010-02-01,66.25290697674419
2010-03-01,57.69757489300999
2010-04-01,59.50470673425055
2010-05-01,59.81066867017281
2010-06-01,61.095932463545665
2010-07-01,62.019622641509436
2010-08-01,54.00952380952382
2010-09-01,64.41836734693878
2010-10-01,69.6661101836394
2010-11-01,67.40157480314961
2010-12-01,73.47138964577657
2011-01-01,71.8385269121813
2011-02-01,74.65116279069767
2011-03-01,66.85592011412268
2011-04-01,70.66183924692253
2011-05-01,72.35161532682194
2011-06-01,91.6438986953185
2011-07-01,80.43169811320755
2011-08-01,95.7904761904762
2011-09-01,94.98979591836735
2011-10-01,91.10183639399
2011-11-01,94.36220472440947
2011-12-01,93.29700272479565
2012-01-01,90.93484419263456
2012-02-01,85.84883720930233
2012-03-01,78.7617689015692
2012-04-01,66.94279507603187
2012-05-01,73.31630353117957
2012-06-01,71.93553338449732
2012-07-01,67.83396226415094
2012-08-01,67.25714285714287
2012-09-01,72.06122448979592
2012-10-01,66.45075125208682
2012-11-01,60.66141732283465
2012-12-01,61.809264305177116
2013-01-01,66.38243626062322
2013-02-01,65.31976744186046
2013-03-01,65.94008559201141
2013-04-01,65.08327299058654
2013-05-01,67.52817430503382
2013-06-01,60.11051419800461
2013-07-01,66.86490566037736
2013-08-01,63.18095238095239
2013-09-01,55.683673469387756
2013-10-01,53.58931552587647
2013-11-01,57.29133858267717
2013-12-01,59.47683923705723
2014-01-01,67.29178470254958
2014-02-01,62.520348837209305
2014-03-01,70.51925820256777
2014-04-01,65.08327299058654
2014-05-01,63.66942148760331
2014-06-01,66.02302379125096
2014-07-01,64.92679245283018
2014-08-01,63.18095238095239
2014-09-01,69.87755102040816
2014-10-01,66.45075125208682
2014-11-01,58.414698162729664
2014-12-01,62.97547683923706
2015-01-01,62.74504249291785
2015-02-01,71.85174418604652
2015-03-01,64.10841654778888
2015-04-01,60.434467776973214
2015-05-01,60.77535687453043
2015-06-01,64.05218726016885
2015-07-01,71.71018867924529
2015-08-01,67.25714285714287
2015-09-01,65.51020408163265
2015-10-01,55.73288814691153
2015-11-01,57.29133858267717
2015-12-01,58.31062670299728
2016-01-01,72.74787535410765
2016-02-01,62.520348837209305
2016-03-01,62.27674750356634
2016-04-01,64.15351194786388
2016-05-01,58.84598046581518
2016-06-01,60.11051419800461
2016-07-01,57.17433962264151
2016-08-01,55.02857142857144
2016-09-01,58.95918367346939
2016-10-01,57.87646076794658
2016-11-01,61.784776902887145
2016-12-01,58.31062670299728
2017-01-01,59.107648725212464
2017-02-01,68.11918604651163
2017-03-01,66.85592011412268
2017-04-01,68.80231716147719
2017-05-01,61.74004507888806
2017-06-01,61.095932463545665
2017-07-01,66.86490566037736
2017-08-01,66.23809523809526
2017-09-01,60.05102040816327
2017-10-01,63.23539232053423
2017-11-01,65.15485564304463
2017-12-01,60.64305177111717
2018-01-01,60.92634560906515
2018-02-01,64.38662790697674
2018-03-01,70.51925820256777
2018-04-01,64.15351194786388
2018-05-01,65.59879789631856
2018-06-01,60.11051419800461
2018-07-01,57.17433962264151
2018-08-01,62.16190476190477
2018-09-01,63.326530612244895
2018-10-01,57.87646076794658
2018-11-01,65.15485564304463
2018-12-01,66.4741144414169
2019-01-01,66.38243626062322
2019-02-01,69.05232558139535
2019-03-01,65.94008559201141
2019-04-01,67.87255611875453
2019-05-01,68.49286250939144
2019-06-01,62.08135072908673
2019-07-01,64.92679245283018
2019-08-01,60.123809523809534
2019-09-01,62.23469387755102
2019-10-01,65.3789649415693
2019-11-01,56.167979002624676
2019-12-01,60.64305177111717
2020-01-01,63.65439093484419
