date,home equity loan
2004-01-01,63.591784037558696
2004-02-01,68.75865209471768
2004-03-01,73.16309719934102
2004-04-01,68.81714876033058
2004-05-01,74.71017887563885
2004-06-01,72.427539223782
2004-07-01,68.5665083135392
2004-08-01,69.33284762697753
2004-09-01,67.47375690607736
2004-10-01,61.20333655705996
2004-11-01,71.27829162132754
2004-12-01,72.0091391509434
2005-01-01,62.5492957746479
2005-02-01,65.72518214936248
2005-03-01,67.67586490939046
2005-04-01,66.06446280991736
2005-05-01,64.30749574105621
2005-06-01,68.7603220478943
2005-07-01,59.77593032462392
2005-08-01,66.55953372189842
2005-09-01,60.317449355432785
2005-10-01,62.27707930367505
2005-11-01,59.197225244831344
2005-12-01,57.60731132075472
2006-01-01,61.5068075117371
2006-02-01,57.63592896174864
2006-03-01,59.44501647446459
2006-04-01,62.39421487603306
2006-05-01,60.524701873935264
2006-06-01,59.59227910817506
2006-07-01,65.92933491686462
2006-08-01,72.10616153205662
2006-09-01,60.317449355432785
2006-10-01,66.5720502901354
2006-11-01,56.7810119695321
2006-12-01,64.1535966981132
2007-01-01,65.6767605633803
2007-02-01,55.61361566484518
2007-03-01,61.274093904448115
2007-04-01,63.311776859504135
2007-05-01,62.41609880749574
2007-06-01,63.25949628406276
2007-07-01,55.38064133016628
2007-08-01,55.46627810158201
2007-09-01,50.094152854511975
2007-10-01,49.392166344294004
2007-11-01,51.948585418933625
2007-12-01,48.442511792452834
2008-01-01,58.379342723004704
2008-02-01,55.61361566484518
2008-03-01,51.21416803953872
2008-04-01,46.795661157024796
2008-05-01,42.55643100511073
2008-06-01,38.50578034682081
2008-07-01,36.041369754552655
2008-08-01,35.12864279766861
2008-09-01,39.870856353591165
2008-10-01,33.2860251450677
2008-11-01,37.451305767138194
2008-12-01,47.133254716981135
2009-01-01,43.78450704225353
2009-02-01,37.41279599271403
2009-03-01,35.667009884678755
2009-04-01,33.949793388429754
2009-05-01,33.09944633730835
2009-06-01,34.838563170933114
2009-07-01,37.799485352335715
2009-08-01,36.97751873438801
2009-09-01,33.73687845303868
2009-10-01,32.212282398452615
2009-11-01,36.24319912948857
2009-12-01,30.112912735849058
2010-01-01,30.23215962441315
2010-02-01,29.323542805100185
2010-03-01,32.0088550247117
2010-04-01,29.36198347107438
2010-05-01,29.316652470187393
2010-06-01,29.33773740710157
2010-07-01,28.129849564528904
2010-08-01,28.657577019150708
2010-09-01,29.64755985267035
2010-10-01,28.99105415860735
2010-11-01,27.78645266594124
2010-12-01,26.18514150943396
2011-01-01,27.104694835680757
2011-02-01,28.312386156648454
2011-03-01,25.60708401976936
2011-04-01,26.60929752066116
2011-05-01,26.479557069846678
2011-06-01,26.5873245251858
2011-07-01,25.49267616785432
2011-08-01,28.657577019150708
2011-09-01,28.625230202578273
2011-10-01,28.99105415860735
2011-11-01,26.578346028291623
2011-12-01,26.18514150943396
2012-01-01,27.104694835680757
2012-02-01,28.312386156648454
2012-03-01,27.436161449752888
2012-04-01,28.444421487603307
2012-05-01,28.370954003407157
2012-06-01,29.33773740710157
2012-07-01,29.88796516231196
2012-08-01,29.58201498751041
2012-09-01,29.64755985267035
2012-10-01,30.064796905222437
2012-11-01,27.78645266594124
2012-12-01,27.49439858490566
2013-01-01,30.23215962441315
2013-02-01,30.334699453551913
2013-03-01,34.75247116968699
2013-04-01,32.114669421487605
2013-05-01,30.262350936967632
2013-06-01,31.17134599504542
2013-07-01,32.52513855898655
2013-08-01,33.27976686094921
2013-09-01,35.781537753222835
2013-10-01,32.212282398452615
2013-11-01,36.24319912948857
2013-12-01,34.040683962264154
2014-01-01,35.44460093896714
2014-02-01,34.37932604735884
