date,interest rate
2004-01-01,35.13783160322953
2004-02-01,32.970238095238095
2004-03-01,33.66634676903391
2004-04-01,40.37172011661808
2004-05-01,44.489959839357425
2004-06-01,47.067593665507914
2004-07-01,40.681920903954804
2004-08-01,42.57322006472492
2004-09-01,35.13107822410148
2004-10-01,31.096140350877192
2004-11-01,37.78447640117994
2004-12-01,34.81657142857143
2005-01-01,35.13783160322953
2005-02-01,35.79625850340136
2005-03-01,34.55230326295585
2005-04-01,36.783122772918695
2005-05-01,41.45655348667397
2005-06-01,44.928157589803014
2005-07-01,39.63879472693032
2005-08-01,43.69356796116505
2005-09-01,34.15521494009866
2005-10-01,34.01140350877193
2005-11-01,36.76327433628318
2005-12-01,32.70647619047619
2006-01-01,38.332179930795846
2006-02-01,32.970238095238095
2006-03-01,32.78039027511196
2006-04-01,33.194525429219304
2006-05-01,38.423147133990504
2006-06-01,43.85843955195056
2006-07-01,41.72504708097929
2006-08-01,41.45287216828479
2006-09-01,32.20348837209302
2006-10-01,32.067894736842106
2006-11-01,30.63606194690265
2006-12-01,27.431238095238093
2007-01-01,39.39696270665129
2007-02-01,30.14421768707483
2007-03-01,32.78039027511196
2007-04-01,29.605928085519924
2007-05-01,33.36746987951807
2007-06-01,35.30069524913094
2007-07-01,35.466290018832396
2007-08-01,44.81391585760518
2007-09-01,41.96212121212121
2007-10-01,36.92666666666666
2007-11-01,36.76327433628318
2007-12-01,36.92666666666666
2008-01-01,66.01653210303729
2008-02-01,47.10034013605442
2008-03-01,47.841650671785025
2008-04-01,42.16601878846777
2008-05-01,39.43428258488499
2008-06-01,39.579567400540746
2008-07-01,37.55254237288136
2008-08-01,31.369741100323623
2008-09-01,35.13107822410148
2008-10-01,44.70070175438596
2008-11-01,32.67846607669616
2008-12-01,47.47714285714286
2009-01-01,43.65609381007305
2009-02-01,38.62227891156462
2009-03-01,36.324216250799736
2009-04-01,34.091674765144155
2009-05-01,32.35633442862358
2009-06-01,37.440131324835846
2009-07-01,33.38003766478343
2009-08-01,32.49008899676375
2009-09-01,29.275898520084567
2009-10-01,31.096140350877192
2009-11-01,29.614859882005895
2009-12-01,28.486285714285714
2010-01-01,31.94348327566321
2010-02-01,28.26020408163265
2010-03-01,30.122520793346126
2010-04-01,28.708778749595076
2010-05-01,29.322928075940123
2010-06-01,28.88238702201622
2010-07-01,27.12128060263654
2010-08-01,29.129045307443366
2010-09-01,25.37244538407329
2010-10-01,26.23736842105263
2010-11-01,26.55125368731563
2010-12-01,26.376190476190477
2011-01-01,27.684352172241447
2011-02-01,27.318197278911562
2011-03-01,24.806781829814454
2011-04-01,26.017330741820537
2011-05-01,27.300657174151148
2011-06-01,27.81266898416377
2011-07-01,26.078154425612055
2011-08-01,30.249393203883496
2011-09-01,23.42071881606765
2011-10-01,27.209122807017543
2011-11-01,25.530051622418874
2011-12-01,23.21104761904762
2012-01-01,27.684352172241447
2012-02-01,28.26020408163265
2012-03-01,25.6927383237364
2012-04-01,28.708778749595076
2012-05-01,29.322928075940123
2012-06-01,28.88238702201622
2012-07-01,28.164406779661018
2012-08-01,26.888349514563107
2012-09-01,28.300035236081747
2012-10-01,28.180877192982457
2012-11-01,26.55125368731563
2012-12-01,25.321142857142856
2013-01-01,27.684352172241447
2013-02-01,29.20221088435374
2013-03-01,25.6927383237364
2013-04-01,28.708778749595076
2013-05-01,30.33406352683461
2013-06-01,33.16125917342603
2013-07-01,31.293785310734464
2013-08-01,29.129045307443366
2013-09-01,27.324171952078927
2013-10-01,28.180877192982457
2013-11-01,27.572455752212385
2013-12-01,26.376190476190477
2014-01-01,27.684352172241447
2014-02-01,29.20221088435374
2014-03-01,26.578694817658345
2014-04-01,30.503077421444768
2014-05-01,31.345198977729098
2014-06-01,28.88238702201622
2014-07-01,27.12128060263654
2014-08-01,25.768001618122977
2014-09-01,28.300035236081747
2014-10-01,30.12438596491228
2014-11-01,29.614859882005895
2014-12-01,29.541333333333334
2015-01-01,30.878700499807767
2015-02-01,32.028231292517006
2015-03-01,31.00847728726807
2015-04-01,34.091674765144155
2015-05-01,34.378605330412555
2015-06-01,33.16125917342603
2015-07-01,34.42316384180791
2015-08-01,33.61043689320388
2015-09-01,38.05866807610994
2015-10-01,32.067894736842106
2015-11-01,34.72087020648967
2015-12-01,41.146857142857144
2016-01-01,31.94348327566321
2016-02-01,38.62227891156462
2016-03-01,34.55230326295585
2016-04-01,34.988824101069
2016-05-01,35.38974078130705
2016-06-01,32.09154113557358
2016-07-01,30.250659133709984
2016-08-01,31.369741100323623
2016-09-01,32.20348837209302
2016-10-01,34.01140350877193
2016-11-01,37.78447640117994
2016-12-01,37.98171428571428
2017-01-01,35.13783160322953
2017-02-01,39.56428571428571
2017-03-01,40.75399872040946
2017-04-01,38.57742144476838
2017-05-01,37.41201168309602
2017-06-01,35.30069524913094
2017-07-01,33.38003766478343
2017-08-01,32.49008899676375
2017-09-01,34.15521494009866
2017-10-01,38.87017543859649
2017-11-01,39.82688053097345
2017-12-01,35.87161904761905
2018-01-01,36.20261437908497
2018-02-01,43.332312925170065
2018-03-01,38.98208573256557
2018-04-01,38.57742144476838
2018-05-01,41.45655348667397
2018-06-01,40.6492854383932
