date,credit score
2004-01-01,17.89590942293645
2004-02-01,17.46222380612972
2004-03-01,17.773596792668954
2004-04-01,19.497100954979533
2004-05-01,20.38712553495007
2004-06-01,20.285841022001417
2004-07-01,24.05721731248584
2004-08-01,22.456898613103778
2004-09-01,23.212273901808786
2004-10-01,23.26638176638177
2004-11-01,23.428483606557375
2004-12-01,25.65881176806627
2005-01-01,28.832298514730947
2005-02-01,31.043953433119505
2005-03-01,34.61174112256586
2005-04-01,31.566734879490674
2005-05-01,31.06609605325725
2005-06-01,35.74171989590726
2005-07-01,37.01110355767052
2005-08-01,40.03186274509804
2005-09-01,41.149031007751944
2005-10-01,34.899572649572654
2005-11-01,34.5849043715847
2005-12-01,32.65666952299343
2006-01-01,34.79760165570976
2006-02-01,32.98420052268948
2006-03-01,34.61174112256586
2006-04-01,38.06576853115052
2006-05-01,33.00772705658583
2006-06-01,34.775727466288146
2006-07-01,39.78693632449581
2006-08-01,39.055475848876135
2006-09-01,34.81841085271318
2006-10-01,33.842009842009844
2006-11-01,33.46926229508197
2006-12-01,34.989288774635824
2007-01-01,39.76868760652545
2007-02-01,36.864694701829414
2007-03-01,41.15990836197021
2007-04-01,39.922635288767616
2007-05-01,38.832620066571565
2007-06-01,41.53767447362195
2007-07-01,40.71221391343757
2007-08-01,42.96102343376375
2007-09-01,40.09392764857881
2007-10-01,35.95713545713546
2007-11-01,34.5849043715847
2007-12-01,34.989288774635824
2008-01-01,43.74555636717799
2008-02-01,41.715312425754334
2008-03-01,39.289003436426114
2008-04-01,38.06576853115052
2008-05-01,38.832620066571565
2008-06-01,39.60568961438372
2008-07-01,38.861658735554045
2008-08-01,37.10270205643233
2008-09-01,40.09392764857881
2008-10-01,39.12982387982388
2008-11-01,36.81618852459016
2008-12-01,44.319765781205376
2009-01-01,49.71085950815681
2009-02-01,46.56593014967926
2009-03-01,46.77262313860251
2009-04-01,46.421668940427466
2009-05-01,46.599144079885875
2009-06-01,46.36763662171752
2009-07-01,43.48804668026286
2009-08-01,45.89018412242946
2009-09-01,41.149031007751944
2009-10-01,40.18738668738669
2009-11-01,41.27875683060109
2009-12-01,38.4882176520994
2010-01-01,45.733990747504265
2010-02-01,43.655559515324306
2010-03-01,44.901718213058416
2010-04-01,46.421668940427466
2010-05-01,46.599144079885875
2010-06-01,50.231606340193984
2010-07-01,49.03971221391344
2010-08-01,49.79573170731707
2010-09-01,53.81027131782946
2010-10-01,53.93570318570319
2010-11-01,49.08825136612022
2010-12-01,44.319765781205376
2011-01-01,56.67037983929876
2011-02-01,56.2671655975291
2011-03-01,55.191695303550965
2011-04-01,52.92070259208731
2011-05-01,54.36566809320019
2011-06-01,56.993553347527794
2011-07-01,55.516655336505785
2011-08-01,64.44153515064562
2011-09-01,67.52661498708011
2011-10-01,70.85670810670811
2011-11-01,71.40109289617486
2011-12-01,71.14488717509283
2012-01-01,73.57207207207207
2012-02-01,69.84889522451888
2012-03-01,68.28802978235967
2012-04-01,59.41973624374715
2012-05-01,60.19056110318592
2012-06-01,61.82351549562337
2012-07-01,61.99359845909812
2012-08-01,60.535987565758006
2012-09-01,62.251098191214474
2012-10-01,59.22351722351723
2012-11-01,58.01338797814207
2012-12-01,54.81655241359612
2013-01-01,66.61255174093012
2013-02-01,62.08790686623901
2013-03-01,61.73986254295532
2013-04-01,61.27660300136425
2013-05-01,63.10300760817879
2013-06-01,63.755500354861596
2013-07-01,63.84415363698165
2013-08-01,61.51237446197991
2013-09-01,55.920478036175716
2013-10-01,54.99326599326599
2013-11-01,59.12903005464481
2013-12-01,61.81441016852328
2014-01-01,63.62990017044071
2014-02-01,65.96840104537895
2014-03-01,62.67531500572737
2014-04-01,64.0619031377899
2014-05-01,64.07382310984308
2014-06-01,62.78950792524248
2014-07-01,63.84415363698165
2014-08-01,60.535987565758006
2014-09-01,59.085788113695095
2014-10-01,61.33864283864284
2014-11-01,58.01338797814207
2014-12-01,59.4817909168809
2015-01-01,62.63568298027758
2015-02-01,66.93852459016394
2015-03-01,66.41712485681558
2015-04-01,71.48937016825829
2015-05-01,65.04463861150737
2015-06-01,72.44943222143364
2015-07-01,70.32109675957399
2015-08-01,70.29985652797704
2015-09-01,66.47151162790698
2015-10-01,64.51133126133126
2015-11-01,65.8228825136612
2015-12-01,64.14702942016567
2016-01-01,69.59520331141952
2016-02-01,65.96840104537895
2016-03-01,68.28802978235967
2016-04-01,67.7756366530241
2016-05-01,65.04463861150737
2016-06-01,65.68748521409982
2016-07-01,67.5452639927487
2016-08-01,65.41792204686752
2016-09-01,65.41640826873386
2016-10-01,67.68401968401969
2016-11-01,69.1698087431694
2016-12-01,67.64595829762925
2017-01-01,72.57785488190893
2017-02-01,68.8787716797339
2017-03-01,73.90074455899197
2017-04-01,71.48937016825829
2017-05-01,73.78197812648597
2017-06-01,67.61947007333806
2017-07-01,74.02220711534105
2017-08-01,71.27624342419894
2017-09-01,73.85723514211887
2017-10-01,74.02939652939654
2017-11-01,72.5167349726776
2017-12-01,67.64595829762925
2018-01-01,69.59520331141952
2018-02-01,71.78914231408885
