date,bad credit score
2004-01-01,21.22994467496542
2004-02-01,14.494098205854579
2004-03-01,17.7311320754717
2004-04-01,22.722797927461137
2004-05-01,18.117960426179604
2004-06-01,22.389278876834716
2004-07-01,17.601288550908322
2004-08-01,14.397570584372948
2004-09-01,22.213096960926194
2004-10-01,27.323987538940813
2004-11-01,23.42340373877155
2004-12-01,17.868092691622106
2005-01-01,28.306592899953895
2005-02-01,22.77644003777148
2005-03-01,27.581761006289312
2005-04-01,31.243847150259064
2005-05-01,25.746575342465754
2005-06-01,28.919485215911507
2005-07-01,25.938741022391213
2005-08-01,25.915627051871308
2005-09-01,22.213096960926194
2005-10-01,23.120297148334533
2005-11-01,24.48810390871571
2005-12-01,27.91889483065954
2006-01-01,31.33944213923467
2006-02-01,32.094074598678
2006-03-01,28.566823899371073
2006-04-01,35.9777633851468
2006-05-01,37.18949771689498
2006-06-01,34.516804935120184
2006-07-01,31.497042670046472
2006-08-01,27.8353031297877
2006-09-01,22.213096960926194
2006-10-01,32.57860052719866
2006-11-01,36.199805778101485
2006-12-01,30.152406417112303
2007-01-01,32.350391885661594
2007-02-01,32.094074598678
2007-03-01,38.41745283018868
2007-04-01,33.13741364421416
2007-05-01,37.18949771689498
2007-06-01,42.912784513933204
2007-07-01,40.76087874947191
2007-08-01,46.07222586999343
2007-09-01,37.02182826821032
2007-10-01,34.6804457225018
2007-11-01,35.135105608157325
2007-12-01,39.08645276292336
2008-01-01,36.39419087136929
2008-02-01,44.51758734655335
2008-03-01,40.38757861635221
2008-04-01,44.49881260794473
2008-05-01,40.050228310502284
2008-06-01,37.31546479472453
2008-07-01,42.61364596535699
2008-08-01,36.47384548041147
2008-09-01,44.42619392185239
2008-10-01,36.78229091780494
2008-11-01,39.39390628793397
2008-12-01,43.553475935828885
2009-01-01,44.481788842784695
2009-02-01,51.76463644948064
2009-03-01,50.238207547169814
2009-04-01,49.232728842832465
2009-05-01,46.72526636225266
2009-06-01,58.77185705169113
2009-07-01,56.50940008449514
2009-08-01,55.6706062595754
2009-09-01,58.17715870718765
2009-10-01,56.74982027318477
2009-11-01,56.42910900704055
2009-12-01,50.254010695187176
2010-01-01,65.71173351775012
2010-02-01,61.08227101038715
2010-03-01,61.07389937106919
2010-04-01,62.48769430051813
2010-05-01,59.12176560121765
2010-06-01,65.30206339076793
2010-07-01,57.43578369243768
2010-08-01,55.6706062595754
2010-09-01,52.88832609744332
2010-10-01,56.74982027318477
2010-11-01,50.04090798737558
2010-12-01,53.604278074866315
2011-01-01,62.67888427846934
2011-02-01,63.15285646836638
2011-03-01,70.9245283018868
2011-04-01,65.32804404145078
2011-05-01,67.70395738203958
2011-06-01,69.96649649010848
2011-07-01,73.18430502746092
2011-08-01,83.5059093893631
2011-09-01,79.33248914616497
2011-10-01,76.71734962856459
2011-11-01,77.72311240592379
2011-12-01,74.82263814616756
2012-01-01,85.93072844628861
2012-02-01,80.7528328611898
2012-03-01,78.80503144654088
2012-04-01,83.31692573402418
2012-05-01,84.8683409436834
2012-06-01,86.75845564773452
2012-07-01,88.00644275454161
2012-08-01,84.4657474283213
2012-09-01,87.79462132175591
2012-10-01,83.022885214474
2012-11-01,86.24071376547707
2012-12-01,83.75668449197862
2013-01-01,93.00737667127709
2013-02-01,85.92929650613786
2013-03-01,88.6556603773585
2013-04-01,89.944408462867
2013-05-01,89.63622526636225
2013-06-01,93.28866198681132
2013-07-01,91.71197718631178
2013-08-01,91.18461370102867
2013-09-01,88.85238784370478
2013-10-01,80.92104001917086
2013-11-01,84.11131342558875
2013-12-01,83.75668449197862
2014-01-01,84.91977869986168
2014-02-01,78.68224740321057
2014-03-01,86.68553459119498
2014-04-01,86.15727547495682
2014-05-01,86.77549467275495
2014-06-01,83.95979578813018
2014-07-01,86.15367553865653
2014-08-01,82.5460713504049
2014-09-01,82.50578871201158
2014-10-01,74.61550443326145
2014-11-01,76.65841223597963
2014-12-01,75.93939393939395
2015-01-01,77.8431304748732
2015-02-01,80.7528328611898
2015-03-01,81.76022012578618
2015-04-01,84.26370898100173
2015-05-01,78.19330289193303
2015-06-01,82.09402254839395
2015-07-01,82.44814110688635
2015-08-01,81.5862333114467
2015-09-01,81.4480221900627
2015-10-01,81.97196261682244
2015-11-01,80.91721291575627
2015-12-01,75.93939393939395
2016-01-01,77.8431304748732
2016-02-01,74.54107648725213
2016-03-01,75.8498427672956
2016-04-01,77.63622625215889
2016-05-01,76.28614916286149
2016-06-01,71.83226972984471
2016-07-01,71.33153781157583
2016-08-01,71.02801488290655
2016-09-01,71.92812349252291
2016-10-01,76.71734962856459
2016-11-01,74.52901189609129
2016-12-01,75.93939393939395
2017-01-01,79.86502996772705
2017-02-01,78.68224740321057
2017-03-01,79.79009433962266
2017-04-01,79.52979274611398
2017-05-01,78.19330289193303
2017-06-01,76.49670282918528
2017-07-01,81.52175749894381
2017-08-01,78.70671919457212
2017-09-01,79.33248914616497
2017-10-01,78.81919482386773
2017-11-01,86.24071376547707
2017-12-01,79.28966131907309
2018-01-01,75.82123098201936
2018-02-01,83.85871104815864
2018-03-01,85.70047169811322
