date,loan default
2004-01-01,32.08429723098493
2004-02-01,34.41420845624385
2004-03-01,33.37894084307474
2004-04-01,38.5503663003663
2004-05-01,25.847254224270355
2004-06-01,36.48035230352304
2004-07-01,39.92955135335558
2004-08-01,34.09180633147114
2004-09-01,28.879916567342075
2004-10-01,35.97890416189385
2004-11-01,34.51602564102564
2004-12-01,29.621332518337404
2005-01-01,38.689887837364175
2005-02-01,35.296624057686
2005-03-01,33.37894084307474
2005-04-01,28.688644688644686
2005-05-01,33.084485407066055
2005-06-01,35.43805652342238
2005-07-01,38.93131256952169
2005-08-01,29.07830540037244
2005-09-01,37.43692888359158
2005-10-01,25.69921725849561
2005-11-01,32.28918527708851
2005-12-01,27.4271597392013
2006-01-01,30.196985629162285
2006-02-01,30.88454605047525
2006-03-01,25.74946865037194
2006-04-01,32.27472527472527
2006-05-01,27.915034562211982
2006-06-01,37.5226480836237
2006-07-01,28.948924731182792
2006-08-01,36.097206703910615
2006-09-01,35.2976758045292
2006-10-01,30.839060710194733
2006-11-01,32.28918527708851
2006-12-01,28.524246128769352
2007-01-01,34.91526463371889
2007-02-01,29.119714847590952
2007-03-01,36.23999291533829
2007-04-01,32.27472527472527
2007-05-01,36.186155913978496
2007-06-01,37.5226480836237
2007-07-01,39.92955135335558
2007-08-01,39.10530726256983
2007-09-01,41.715435041716326
2007-10-01,39.06281023291333
2007-11-01,38.96970636889992
2007-12-01,35.106764466177665
2008-01-01,43.40816684192078
2008-02-01,39.70870206489675
2008-03-01,42.915781083953235
2008-04-01,43.03296703296703
2008-05-01,41.355606758832565
2008-06-01,42.73412698412699
2008-07-01,47.91546162402669
2008-08-01,40.10800744878957
2008-09-01,48.13319427890345
2008-10-01,51.39843451699122
2008-11-01,46.763647642679906
2008-12-01,47.17471475142624
2009-01-01,49.07010164738871
2009-02-01,51.1801048836447
2009-03-01,52.45262132483173
2009-04-01,49.30860805860805
2009-05-01,47.558947772657454
2009-06-01,46.90331010452962
2009-07-01,52.90665554319614
2009-08-01,45.12150837988827
2009-09-01,49.202820818434645
2009-10-01,44.20265368461245
2009-11-01,48.99048800661704
2009-12-01,52.6601466992665
2010-01-01,46.23913424465475
2010-02-01,45.003195673549655
2010-03-01,45.77683315621678
2010-04-01,44.82600732600732
2010-05-01,48.59283794162827
2010-06-01,47.94560588463028
2010-07-01,42.92426770485724
2010-08-01,47.12690875232775
2010-09-01,47.06356773937227
2010-10-01,42.1467163039328
2010-11-01,40.08312655086849
2010-12-01,42.78636919315403
2011-01-01,46.23913424465475
2011-02-01,45.003195673549655
2011-03-01,42.915781083953235
2011-04-01,38.5503663003663
2011-05-01,44.45727726574501
2011-06-01,52.11478900503291
2011-07-01,53.90489432703003
2011-08-01,51.13770949720671
2011-09-01,48.13319427890345
2011-10-01,47.28655975563192
2011-11-01,47.87706782464848
2011-12-01,44.98054197229013
2012-01-01,53.78838065194532
2012-02-01,45.003195673549655
2012-03-01,40.05472901168969
2012-04-01,45.72252747252747
2012-05-01,48.59283794162827
2012-06-01,52.11478900503291
2012-07-01,44.920745272525025
2012-08-01,46.12420856610801
2012-09-01,49.202820818434645
