date,debt collector
2004-01-01,9.339686098654708
2004-02-01,11.258108108108111
2004-03-01,9.48428961748634
2004-04-01,0.0
2004-05-01,9.134868421052632
2004-06-01,13.72810734463277
2004-07-01,10.8322695035461
2004-08-01,6.806372549019608
2004-09-01,10.940902578796562
2004-10-01,10.076197387518144
2004-11-01,10.615443425076453
2004-12-01,11.588391502276178
2005-01-01,13.4906576980568
2005-02-01,10.319932432432434
2005-03-01,12.329576502732241
2005-04-01,8.179675994108985
2005-05-01,12.179824561403509
2005-06-01,8.82521186440678
2005-07-01,10.8322695035461
2005-08-01,10.695728291316527
2005-09-01,9.946275071633238
2005-10-01,8.060957910014515
2005-11-01,10.615443425076453
2005-12-01,8.427921092564493
2006-01-01,12.452914798206278
2006-02-01,11.258108108108111
2006-03-01,8.535860655737705
2006-04-01,11.247054491899855
2006-05-01,12.179824561403509
2006-06-01,10.786370056497177
2006-07-01,11.817021276595746
2006-08-01,12.640406162464988
2006-09-01,10.940902578796562
2006-10-01,11.08381712626996
2006-11-01,12.738532110091745
2006-12-01,11.588391502276178
2007-01-01,17.641629297458895
2007-02-01,13.134459459459462
2007-03-01,13.278005464480874
2007-04-01,13.2919734904271
2007-05-01,18.269736842105264
2007-06-01,15.689265536723166
2007-07-01,17.72553191489362
2007-08-01,17.502100840336137
2007-09-01,16.908667621776505
2007-10-01,17.129535558780844
2007-11-01,16.984709480122326
2007-12-01,14.748861911987863
2008-01-01,18.679372197309416
2008-02-01,15.94898648648649
2008-03-01,16.123292349726775
2008-04-01,17.381811487481592
2008-05-01,21.31469298245614
2008-06-01,18.63100282485876
2008-07-01,19.69503546099291
2008-08-01,18.474439775910366
2008-09-01,15.914040114613181
2008-10-01,17.129535558780844
2008-11-01,19.107798165137616
2008-12-01,18.962822458270107
2009-01-01,18.679372197309416
2009-02-01,19.701689189189192
2009-03-01,20.865437158469945
2009-04-01,20.44918998527246
2009-05-01,20.299707602339183
2009-06-01,20.592161016949156
2009-07-01,21.6645390070922
2009-08-01,21.391456582633054
2009-09-01,20.887177650429802
2009-10-01,20.15239477503629
2009-11-01,18.04625382262997
2009-12-01,21.06980273141123
2010-01-01,21.792600896860986
2010-02-01,22.516216216216222
2010-03-01,21.81386612021858
2010-04-01,22.49410898379971
2010-05-01,22.329678362573098
2010-06-01,24.514477401129948
2010-07-01,22.649290780141847
2010-08-01,19.446778711484598
2010-09-01,20.887177650429802
2010-10-01,20.15239477503629
2010-11-01,23.3539755351682
2010-12-01,20.01631259484067
2011-01-01,23.86808669656203
2011-02-01,24.39256756756757
2011-03-01,23.710724043715846
2011-04-01,22.49410898379971
2011-05-01,23.34466374269006
2011-06-01,22.55331920903955
2011-07-01,24.618794326241137
2011-08-01,24.308473389355743
2011-09-01,21.881805157593124
2011-10-01,22.16763425253992
2011-11-01,23.3539755351682
2011-12-01,21.06980273141123
2012-01-01,24.905829596412556
2012-02-01,23.454391891891895
2012-03-01,22.762295081967213
2012-04-01,28.628865979381448
2012-05-01,24.359649122807017
2012-06-01,21.572740112994353
2012-07-01,23.63404255319149
2012-08-01,24.308473389355743
2012-09-01,24.865687679083095
2012-10-01,23.175253991291733
2012-11-01,21.230886850152906
2012-12-01,22.123292867981792
2013-01-01,24.905829596412556
2013-02-01,25.330743243243248
2013-03-01,23.710724043715846
2013-04-01,26.5839469808542
2013-05-01,23.34466374269006
2013-06-01,22.55331920903955
2013-07-01,26.588297872340426
2013-08-01,26.253151260504204
2013-09-01,23.871060171919773
2013-10-01,25.19049346879536
2013-11-01,25.47706422018349
2013-12-01,23.176783004552355
2014-01-01,29.05680119581465
2014-02-01,29.08344594594595
2014-03-01,27.504439890710383
2014-04-01,29.65132547864507
2014-05-01,27.404605263157894
2014-06-01,28.436793785310737
2014-07-01,27.57304964539007
2014-08-01,27.225490196078432
2014-09-01,24.865687679083095
2014-10-01,24.182873730043546
2014-11-01,25.47706422018349
2014-12-01,26.33725341426404
2015-01-01,26.9813153961136
2015-02-01,25.330743243243248
2015-03-01,28.452868852459016
2015-04-01,27.606406480117823
2015-05-01,27.404605263157894
2015-06-01,28.436793785310737
2015-07-01,27.57304964539007
2015-08-01,26.253151260504204
2015-09-01,29.838825214899714
2015-10-01,25.19049346879536
2015-11-01,25.47706422018349
2015-12-01,25.283763277693478
2016-01-01,28.019058295964125
2016-02-01,31.89797297297298
2016-03-01,31.298155737704917
2016-04-01,30.673784977908692
2016-05-01,28.41959064327485
2016-06-01,29.417372881355938
2016-07-01,28.55780141843972
2016-08-01,31.114845938375353
2016-09-01,25.86031518624642
2016-10-01,26.198113207547173
2016-11-01,26.538608562691135
2016-12-01,28.444233687405163
2017-01-01,31.132286995515695
2017-02-01,31.89797297297298
2017-03-01,32.24658469945355
2017-04-01,31.696244477172318
2017-05-01,33.49451754385965
2017-06-01,32.35911016949153
2017-07-01,27.57304964539007
2017-08-01,32.08718487394958
2017-09-01,28.84419770773639
2017-10-01,31.23621190130625
2017-11-01,28.661697247706424
2017-12-01,27.3907435508346
2018-01-01,33.20777279521674
2018-02-01,34.712500000000006
2018-03-01,35.091871584699454
2018-04-01,44.98821796759942
2018-05-01,39.584429824561404
2018-06-01,47.067796610169495
2018-07-01,36.43581560283688
2018-08-01,36.94887955182073
2018-09-01,47.742120343839545
2018-10-01,39.297169811320764
2018-11-01,36.09250764525994
2018-12-01,34.76517450682853
2019-01-01,38.39648729446936
2019-02-01,37.52702702702703
2019-03-01,36.04030054644809
2019-04-01,36.808541973490435
2019-05-01,35.524488304093566
2019-06-01,34.320268361581924
2019-07-01,34.46631205673759
2019-08-01,35.9765406162465
2019-09-01,31.828080229226362
2019-10-01,36.274310595065316
2019-11-01,33.96941896024465
2019-12-01,35.818664643399096
2020-01-01,41.50971599402092
2020-02-01,42.21790540540541
2020-03-01,35.091871584699454
2020-04-01,37.83100147275405
2020-05-01,35.524488304093566
2020-06-01,45.1066384180791
2020-07-01,40.37482269503546
2020-08-01,38.893557422969195
2020-09-01,52.715257879656164
2020-10-01,44.33526850507984
2020-11-01,39.27714067278288
2020-12-01,40.03262518968134
2021-01-01,42.54745889387145
2021-02-01,41.27972972972974
2021-03-01,64.4931693989071
2021-04-01,46.010677466863044
2021-05-01,42.62938596491228
2021-06-01,37.26200564971752
2021-07-01,35.45106382978724
2021-08-01,35.9765406162465
2021-09-01,34.81196275071633
2021-10-01,36.274310595065316
2021-11-01,39.27714067278288
2021-12-01,40.03262518968134
2022-01-01,41.50971599402092
2022-02-01,46.90878378378379
2022-03-01,41.73087431693989
2022-04-01,43.96575846833579
2022-05-01,42.62938596491228
2022-06-01,44.1260593220339
2022-07-01,42.34432624113475
2022-08-01,45.6999299719888
2022-09-01,41.774355300859604
2022-10-01,40.30478955007258
2022-11-01,41.40022935779817
2022-12-01,40.03262518968134
2023-01-01,45.66068759342302
2023-02-01,47.84695945945947
2023-03-01,51.21516393442623
2023-04-01,44.98821796759942
2023-05-01,49.734283625730995
2023-06-01,50.99011299435029
2023-07-01,48.25283687943263
2023-08-01,55.4233193277311
2023-09-01,49.73137535816619
2023-10-01,52.39622641509435
2023-11-01,58.384938837920494
2023-12-01,53.72799696509864
2024-01-01,63.30231689088191
2024-02-01,67.54864864864867
2024-03-01,55.9573087431694
2024-04-01,61.347569955817384
2024-05-01,62.92909356725146
2024-06-01,59.81532485875707
2024-07-01,64.00886524822695
2024-08-01,63.202030812324935
2024-09-01,61.66690544412608
2024-10-01,63.48004354136431
2024-11-01,64.75420489296637
2024-12-01,66.36987860394538
2025-01-01,87.17040358744394
2025-02-01,80.68310810810812
2025-03-01,82.51331967213115
2025-04-01,87.93151693667158
2025-05-01,82.21381578947368
2025-06-01,77.46574858757063
2025-07-01,91.58191489361703
2025-08-01,83.62114845938376
2025-09-01,87.5272206303725
2025-10-01,100.76197387518144
2025-11-01,93.4159021406728
2025-12-01,103.24203338391503
