date,balance transfer
2004-01-01,27.111216329966332
2004-02-01,24.64632454923717
2004-03-01,26.44345238095238
2004-04-01,24.432687709230034
2004-05-01,23.505291005291006
2004-06-01,21.212482946793997
2004-07-01,24.063541666666666
2004-08-01,21.91709566709567
2004-09-01,24.58222664895972
2004-10-01,20.955188679245285
2004-11-01,24.111261872455906
2004-12-01,19.0106981981982
2005-01-01,22.43686868686869
2005-02-01,22.592464170134072
2005-03-01,21.154761904761905
2005-04-01,21.245815399330464
2005-05-01,21.36844636844637
2005-06-01,20.202364711232377
2005-07-01,22.2125
2005-08-01,26.68168168168168
2005-09-01,23.59893758300133
2005-10-01,22.950920934411503
2005-11-01,22.101990049751244
2005-12-01,22.01238738738739
2006-01-01,23.371738215488218
2006-02-01,22.592464170134072
2006-03-01,23.270238095238096
2006-04-01,27.6195600191296
2006-05-01,25.642135642135642
2006-06-01,23.232719417917234
2006-07-01,26.840104166666663
2006-08-01,26.68168168168168
2006-09-01,25.565515714918106
2006-10-01,26.942385444743937
2006-11-01,26.120533695160564
2006-12-01,26.01463963963964
2007-01-01,28.046085858585858
2007-02-01,28.754045307443366
2007-03-01,28.558928571428574
2007-04-01,28.681850789096124
2007-05-01,33.12109187109187
2007-06-01,34.34402000909505
2007-07-01,32.393229166666664
2007-08-01,34.30501930501931
2007-09-01,33.43182824258522
2007-10-01,32.92958221024259
2007-11-01,34.1576209859792
2007-12-01,33.01858108108108
2008-01-01,37.39478114478115
2008-02-01,39.02334720295885
2008-03-01,35.963095238095235
2008-04-01,29.744141559062648
2008-05-01,29.915824915824917
2008-06-01,30.30354706684857
2008-07-01,30.542187499999997
2008-08-01,31.446267696267697
2008-09-01,28.515382912793275
2008-10-01,30.933849955076372
2008-11-01,34.1576209859792
2008-12-01,33.01858108108108
2009-01-01,36.45991161616162
2009-02-01,36.96948682385576
2009-03-01,35.963095238095235
2009-04-01,35.055595408895265
2009-05-01,32.052669552669556
2009-06-01,34.34402000909505
2009-07-01,33.318749999999994
2009-08-01,35.257936507936506
2009-09-01,32.44853917662683
2009-10-01,32.92958221024259
2009-11-01,31.143713251922208
2009-12-01,25.014076576576578
2010-01-01,27.111216329966332
2010-02-01,27.727115117891817
2010-03-01,25.385714285714286
2010-04-01,21.245815399330464
2010-05-01,21.36844636844637
2010-06-01,20.202364711232377
2010-07-01,17.58489583333333
2010-08-01,16.19959244959245
2010-09-01,15.73262505533422
2010-10-01,14.967991913746632
2010-11-01,15.06953867028494
2010-12-01,15.008445945945946
2011-01-01,14.957912457912458
2011-02-01,16.43088303282478
2011-03-01,16.923809523809524
2011-04-01,14.872070779531324
2011-05-01,16.026334776334778
2011-06-01,15.151773533424285
2011-07-01,15.733854166666665
2011-08-01,16.19959244959245
2011-09-01,14.749335989375831
2011-10-01,14.967991913746632
2011-11-01,15.06953867028494
2011-12-01,15.008445945945946
2012-01-01,15.892781986531988
2012-02-01,15.403952843273231
2012-03-01,15.866071428571429
2012-04-01,15.934361549497847
2012-05-01,17.094757094757096
2012-06-01,17.172010004547523
2012-07-01,15.733854166666665
2012-08-01,16.19959244959245
2012-09-01,15.73262505533422
2012-10-01,16.96372416891285
2012-11-01,15.06953867028494
2012-12-01,15.008445945945946
2013-01-01,15.892781986531988
2013-02-01,16.43088303282478
2013-03-01,16.923809523809524
2013-04-01,16.99665231946437
2013-05-01,17.094757094757096
2013-06-01,17.172010004547523
2013-07-01,16.659374999999997
2013-08-01,17.152509652509654
2013-09-01,18.682492253209386
2013-10-01,18.959456424079068
2013-11-01,18.083446404341927
2013-12-01,19.0106981981982
2014-01-01,18.697390572390574
2014-02-01,20.538603791030976
2014-03-01,20.09702380952381
2014-04-01,21.245815399330464
2014-05-01,21.36844636844637
2014-06-01,21.212482946793997
2014-07-01,23.138020833333332
2014-08-01,21.91709566709567
2014-09-01,20.649070385126162
2014-10-01,21.953054806828394
2014-11-01,22.101990049751244
2014-12-01,21.011824324324326
2015-01-01,23.371738215488218
2015-02-01,23.61939435968562
2015-03-01,25.385714285714286
2015-04-01,27.6195600191296
2015-05-01,27.77898027898028
2015-06-01,27.273192360163712
2015-07-01,24.989062499999996
2015-08-01,27.634598884598887
2015-09-01,27.532093846834883
2015-10-01,26.942385444743937
2015-11-01,27.12516960651289
2015-12-01,28.015765765765767
2016-01-01,29.915824915824917
2016-02-01,27.727115117891817
2016-03-01,27.501190476190477
2016-04-01,29.744141559062648
2016-05-01,27.77898027898028
2016-06-01,28.283310595725332
2016-07-01,27.765624999999996
2016-08-01,28.58751608751609
2016-09-01,28.515382912793275
2016-10-01,30.933849955076372
2016-11-01,29.13444142921755
2016-12-01,32.01801801801802
2017-01-01,37.39478114478115
2017-02-01,39.02334720295885
2017-03-01,40.19404761904762
2017-04-01,37.18017694882831
2017-05-01,40.600048100048106
2017-06-01,39.39461118690314
2017-07-01,37.946354166666666
2017-08-01,38.11668811668812
2017-09-01,38.34827357237716
2017-10-01,39.914645103324354
2017-11-01,38.17616463138852
2017-12-01,36.020270270270274
2018-01-01,39.2645202020202
2018-02-01,39.02334720295885
2018-03-01,38.07857142857143
2018-04-01,39.30475848876136
2018-05-01,39.531625781625785
2018-06-01,39.39461118690314
2018-07-01,37.946354166666666
2018-08-01,39.06960531960532
2018-09-01,41.298140770252324
2018-10-01,41.91037735849057
2018-11-01,40.18543645409317
2018-12-01,42.02364864864865
2019-01-01,44.87373737373738
2019-02-01,42.1041377716135
2019-03-01,43.367261904761904
2019-04-01,41.429340028694405
2019-05-01,44.87373737373738
2019-06-01,44.445202364711236
2019-07-01,41.64843749999999
2019-08-01,40.02252252252252
2019-09-01,42.28142983621071
2019-10-01,38.916778975741245
2019-11-01,38.17616463138852
2019-12-01,41.023085585585584
2020-01-01,44.87373737373738
2020-02-01,46.21185852981969
2020-03-01,43.367261904761904
2020-04-01,42.49163079866093
2020-05-01,38.46320346320346
2020-06-01,38.38449295134152
2020-07-01,36.0953125
2020-08-01,32.3991848991849
2020-09-01,35.398406374501995
2020-10-01,34.92531446540881
2020-11-01,33.15298507462687
2020-12-01,37.020833333333336
2021-01-01,35.52504208754209
2021-02-01,34.91562644475266
2021-03-01,34.90535714285714
2021-04-01,33.99330463892874
2021-05-01,36.32635882635883
2021-06-01,34.34402000909505
2021-07-01,29.616666666666664
2021-08-01,31.446267696267697
2021-09-01,34.41511730854361
2021-10-01,37.918912848158136
2021-11-01,35.162256897331524
2021-12-01,35.019707207207205
2022-01-01,37.39478114478115
2022-02-01,39.02334720295885
2022-03-01,45.4827380952381
2022-04-01,43.55392156862745
2022-05-01,43.805315055315056
2022-06-01,45.455320600272856
2022-07-01,45.35052083333333
2022-08-01,46.69294294294294
2022-09-01,45.231297034085884
2022-10-01,48.89544025157233
2022-11-01,46.21325192220715
2022-12-01,47.02646396396396
2023-01-01,55.157302188552194
2023-02-01,54.427300046232084
2023-03-01,55.00238095238095
2023-04-01,57.36370157819225
2023-05-01,57.6948051948052
2023-06-01,56.566621191450665
2023-07-01,52.754687499999996
2023-08-01,54.31628056628057
2023-09-01,56.047476759628154
2023-10-01,57.87623539982031
2023-11-01,56.259611035730444
2023-12-01,58.03265765765766
2024-01-01,58.896780303030305
2024-02-01,61.615811373092924
2024-03-01,59.233333333333334
2024-04-01,65.86202773792444
2024-05-01,63.03691678691679
2024-06-01,61.61721236925876
2024-07-01,55.53124999999999
2024-08-01,55.269197769197774
2024-09-01,57.03076582558655
2024-10-01,55.88050314465409
