date,late fee
2004-01-01,10.657161803713526
2004-02-01,8.445086705202312
2004-03-01,0.0
2004-04-01,6.649544863459038
2004-05-01,11.068181818181818
2004-06-01,7.315450643776823
2004-07-01,12.645139813581892
2004-08-01,7.760956175298805
2004-09-01,6.863758389261744
2004-10-01,8.87246963562753
2004-11-01,10.159944367176635
2004-12-01,14.494047619047617
2005-01-01,24.220822281167106
2005-02-01,16.890173410404625
2005-03-01,13.261724659606656
2005-04-01,14.249024707412223
2005-05-01,11.068181818181818
2005-06-01,15.67596566523605
2005-07-01,15.56324900133156
2005-08-01,12.611553784860558
2005-09-01,9.805369127516778
2005-10-01,10.84412955465587
2005-11-01,11.175938803894297
2005-12-01,10.628968253968253
2006-01-01,12.594827586206895
2006-02-01,11.61199421965318
2006-03-01,12.156580937972768
2006-04-01,13.299089726918076
2006-05-01,12.074380165289256
2006-06-01,11.495708154506437
2006-07-01,10.699733688415447
2006-08-01,11.641434262948207
2006-09-01,11.766442953020134
2006-10-01,11.82995951417004
2006-11-01,8.127955493741307
2006-12-01,10.628968253968253
2007-01-01,13.56366047745358
2007-02-01,13.723265895953757
2007-03-01,13.261724659606656
2007-04-01,18.048764629388817
2007-05-01,15.092975206611571
2007-06-01,14.630901287553646
2007-07-01,11.67243675099867
2007-08-01,14.55179282868526
2007-09-01,12.746979865771811
2007-10-01,12.81578947368421
2007-11-01,14.223922114047287
2007-12-01,13.527777777777777
2008-01-01,16.47015915119363
2008-02-01,15.834537572254336
2008-03-01,15.472012102874432
2008-04-01,17.098829648894668
2008-05-01,13.080578512396695
2008-06-01,15.67596566523605
2008-07-01,15.56324900133156
2008-08-01,17.46215139442231
2008-09-01,16.669127516778524
2008-10-01,16.75910931174089
2008-11-01,16.255910987482615
2008-12-01,16.4265873015873
2009-01-01,18.407824933687
2009-02-01,17.945809248554912
2009-03-01,19.892586989409985
2009-04-01,22.798439531859557
2009-05-01,17.105371900826448
2009-06-01,17.766094420600858
2009-07-01,16.53595206391478
2009-08-01,19.40239043824701
2009-09-01,18.63020134228188
2009-10-01,20.70242914979757
2009-11-01,23.36787204450626
2009-12-01,18.35912698412698
2010-01-01,21.314323607427053
2010-02-01,21.112716763005782
2010-03-01,22.10287443267776
2010-04-01,21.84850455136541
