date,credit counseling
2004-01-01,86.78331356267299
2004-02-01,84.04612706701478
2004-03-01,84.26614310645724
2004-04-01,82.78170674210278
2004-05-01,85.11495844875344
2004-06-01,76.5953020134228
2004-07-01,83.90582044673539
2004-08-01,79.35163139329804
2004-09-01,78.84731696225556
2004-10-01,77.1155802126676
2004-11-01,74.06996365524402
2004-12-01,76.30753311258277
2005-01-01,70.29448398576511
2005-02-01,75.450500435161
2005-03-01,76.60558464223385
2005-04-01,75.53830740216878
2005-05-01,73.9689519852262
2005-06-01,68.7393736017897
2005-07-01,68.82162800687284
2005-08-01,68.70690035273367
2005-09-01,66.87050932241927
2005-10-01,77.1155802126676
2005-11-01,67.23273624091381
2005-12-01,76.30753311258277
2006-01-01,70.29448398576511
2006-02-01,63.98966492602262
2006-03-01,67.02988656195461
2006-04-01,64.15582272512965
2006-05-01,67.88931209602953
2006-06-01,68.7393736017897
2006-07-01,72.59267611683848
2006-08-01,72.57771164021162
2006-09-01,69.86471123237834
2006-10-01,73.05686546463245
2006-11-01,72.93042575285565
2006-12-01,71.46261037527593
2007-01-01,66.8231514432582
2007-02-01,64.94473455178415
2007-03-01,66.0723167539267
2007-04-01,71.39922206506365
2007-05-01,68.90258541089564
2007-06-01,65.79340044742727
2007-07-01,73.53543814432989
2007-08-01,70.64230599647264
2007-09-01,73.8569804456571
2007-10-01,72.04218677762367
2007-11-01,74.06996365524402
2007-12-01,75.09630242825607
2008-01-01,70.29448398576511
2008-02-01,62.07952567449956
2008-03-01,66.0723167539267
2008-04-01,62.08628005657709
2008-05-01,63.83621883656508
2008-06-01,65.79340044742727
2008-07-01,66.93610395189002
2008-08-01,65.8037918871252
2008-09-01,76.85118235561617
2008-10-01,77.1155802126676
2008-11-01,82.04672897196261
2008-12-01,88.41983995584988
2009-01-01,69.42665085013839
2009-02-01,72.5852915578764
2009-03-01,72.77530541012216
2009-04-01,67.26013672795851
2009-05-01,72.95567867036009
2009-06-01,84.45123042505591
2009-07-01,73.53543814432989
2009-08-01,75.48082010582009
2009-09-01,81.84151887221464
2009-10-01,71.02750809061489
2009-11-01,71.79088785046729
2009-12-01,61.772764900662246
2010-01-01,55.54132068011071
2010-02-01,61.124456048738026
2010-03-01,58.411758289703315
2010-04-01,54.842880716643094
2010-05-01,52.690212373037845
2010-06-01,55.97348993288589
2010-07-01,46.195339347079035
2010-08-01,48.38514109347442
2010-09-01,42.9168940427467
2010-10-01,40.58714748035136
2010-11-01,42.16290238836967
2010-12-01,37.54815121412803
2011-01-01,38.184657967576115
2011-02-01,37.24771540469973
2011-03-01,36.38765270506108
2011-04-01,35.182225365393684
2011-05-01,34.45129270544782
2011-06-01,35.351677852348985
2011-07-01,34.88219501718213
2011-08-01,35.80500440917107
2011-09-01,34.93235561618917
2011-10-01,35.513754045307444
2011-11-01,34.18613707165109
2011-12-01,33.914459161147896
2012-01-01,30.374159746935543
2012-02-01,29.60715839860748
2012-03-01,27.76952443280977
2012-04-01,30.00836869401226
2012-05-01,30.398199445983373
2012-06-01,29.459731543624155
2012-07-01,26.39733676975945
2012-08-01,29.031084656084648
2012-09-01,26.947817189631646
2012-10-01,27.39632454923717
2012-11-01,27.34890965732087
2012-12-01,24.224613686534212
2013-01-01,23.431494661921704
2013-02-01,23.876740644038293
2013-03-01,22.024105584642232
2013-04-01,23.79974068835455
2013-05-01,23.305286241920584
2013-06-01,23.567785234899322
2013-07-01,25.454574742268036
2013-08-01,24.19257054673721
2013-09-01,22.955547976352886
2013-10-01,22.32293111419325
2013-11-01,22.79075804776739
2013-12-01,20.590921633554082
2014-01-01,22.563661526294975
2014-02-01,21.966601392515226
2014-03-01,21.06653577661431
2014-04-01,22.764969354078264
2014-05-01,21.27873961218836
2014-06-01,22.585794183445184
2014-07-01,21.683526632302403
2014-08-01,20.321759259259256
2014-09-01,19.961346066393812
2014-10-01,19.2788950531669
2014-11-01,19.372144340602283
2014-12-01,20.590921633554082
2015-01-01,17.356662712534597
2015-02-01,17.19125326370757
2015-03-01,18.19382635253054
2015-04-01,19.66065535124941
2015-05-01,19.252192982456137
2015-06-01,18.65782997762863
2015-07-01,18.855240549828174
2015-08-01,20.321759259259256
2015-09-01,17.965211459754432
2015-10-01,19.2788950531669
2015-11-01,18.232606438213914
2015-12-01,16.957229580573948
2016-01-01,15.620996441281136
2016-02-01,18.1463228894691
2016-03-01,16.278686736474693
2016-04-01,18.625884016973124
2016-05-01,17.22564635272391
2016-06-01,17.675838926174492
2016-07-01,16.969716494845358
2016-08-01,18.386353615520278
2016-09-01,16.967144156434742
2016-10-01,15.22018030513176
2016-11-01,15.953530633437175
2016-12-01,16.957229580573948
2017-01-01,14.753163305654407
2017-02-01,16.236183637946038
2017-03-01,15.32111692844677
2017-04-01,17.591112682696842
2017-05-01,16.212373037857798
2017-06-01,16.693847874720355
2017-07-01,16.969716494845358
2017-08-01,17.41865079365079
2017-09-01,16.967144156434742
2017-10-01,16.234858992140545
2017-11-01,17.093068535825545
2017-12-01,15.745998896247238
2018-01-01,13.885330170027677
2018-02-01,14.326044386422975
2018-03-01,14.363547120418847
2018-04-01,14.486798679867986
2018-05-01,14.185826408125573
2018-06-01,14.729865771812078
2018-07-01,14.141430412371133
2018-08-01,13.547839506172837
2018-09-01,12.974874943155978
2018-10-01,14.205501618122977
2018-11-01,15.953530633437175
2018-12-01,14.534768211920529
2019-01-01,12.149663898774218
2019-02-01,13.370974760661444
2019-03-01,13.405977312390924
2019-04-01,13.452027345591702
2019-05-01,13.172553093259461
2019-06-01,12.7658836689038
2019-07-01,14.141430412371133
2019-08-01,14.515542328042324
2019-09-01,12.974874943155978
2019-10-01,13.190822931114193
2019-11-01,13.674454828660435
2019-12-01,13.323537527593817
2020-01-01,13.017497034400947
2020-02-01,12.415905134899912
2020-03-01,9.575698080279231
2020-04-01,8.278170674210278
2020-05-01,9.11945983379501
2020-06-01,8.837919463087246
2020-07-01,8.484858247422679
2020-08-01,8.709325396825395
2020-09-01,8.982605729877216
2020-10-01,9.132108183079056
2020-11-01,9.116303219106957
2020-12-01,10.901076158940397
2021-01-01,6.9426650850138385
2021-02-01,7.640557006092253
2021-03-01,8.618128272251308
2021-04-01,9.312942008486562
2021-05-01,9.11945983379501
2021-06-01,7.855928411633108
2021-07-01,7.54209621993127
2021-08-01,7.741622574955906
2021-09-01,7.984538426557525
2021-10-01,9.132108183079056
2021-11-01,9.116303219106957
2021-12-01,8.478614790286974
2022-01-01,6.9426650850138385
2022-02-01,8.595626631853785
2022-03-01,8.618128272251308
2022-04-01,9.312942008486562
2022-05-01,8.106186518928899
2022-06-01,7.855928411633108
2022-07-01,8.484858247422679
2022-08-01,8.709325396825395
2022-09-01,8.982605729877216
2022-10-01,9.132108183079056
2022-11-01,7.976765316718588
2022-12-01,9.689845474613685
2023-01-01,8.678331356267298
2023-02-01,8.595626631853785
2023-03-01,9.575698080279231
2023-04-01,9.312942008486562
2023-05-01,9.11945983379501
2023-06-01,8.837919463087246
2023-07-01,8.484858247422679
2023-08-01,8.709325396825395
2023-09-01,8.982605729877216
2023-10-01,10.14678687008784
2023-11-01,10.255841121495326
2023-12-01,10.901076158940397
2024-01-01,8.678331356267298
2024-02-01,8.595626631853785
2024-03-01,8.618128272251308
2024-04-01,10.347713342762848
2024-05-01,9.11945983379501
2024-06-01,8.837919463087246
2024-07-01,9.427620274914087
2024-08-01,9.677028218694883
2024-09-01,8.982605729877216
2024-10-01,10.14678687008784
2024-11-01,10.255841121495326
2024-12-01,9.689845474613685
2025-01-01,9.546164491894029
2025-02-01,9.550696257615316
2025-03-01,10.533267888307154
2025-04-01,11.382484677039132
2025-05-01,12.159279778393348
2025-06-01,11.783892617449661
2025-07-01,14.141430412371133
2025-08-01,13.547839506172837
2025-09-01,13.972942246475668
2025-10-01,13.190822931114193
2025-11-01,15.953530633437175
2025-12-01,18.16846026490066
