date,late payment
2004-01-01,13.211634790528231
2004-02-01,7.669243986254295
2004-03-01,8.829871414441147
2004-04-01,14.812499999999996
2004-05-01,10.20461819844536
2004-06-01,11.333910433979685
2004-07-01,10.68287641427328
2004-08-01,12.079837618403246
2004-09-01,10.795624450307827
2004-10-01,11.53359173126615
2004-11-01,11.558027306967984
2004-12-01,9.023247978436657
2005-01-01,13.211634790528231
2005-02-01,12.051669121256749
2005-03-01,9.93360534124629
2005-04-01,11.520833333333332
2005-05-01,12.24554183813443
2005-06-01,13.394621421975991
2005-07-01,14.567558746736292
2005-08-01,14.09314388813712
2005-09-01,9.814204045734389
2005-10-01,12.494724375538329
2005-11-01,12.608757062146893
2005-12-01,12.030997304582211
2006-01-01,12.19535519125683
2006-02-01,13.147275405007363
2006-03-01,11.037339268051433
2006-04-01,15.635416666666664
2006-05-01,13.266003657978967
2006-06-01,13.394621421975991
2006-07-01,16.509899912967796
2006-08-01,13.086490753270184
2006-09-01,12.758465259454704
2006-10-01,12.494724375538329
2006-11-01,11.558027306967984
2006-12-01,10.025831087151841
2007-01-01,15.244193989071036
2007-02-01,13.147275405007363
2007-03-01,13.24480712166172
2007-04-01,14.812499999999996
2007-05-01,15.306927297668038
2007-06-01,14.424976915974145
2007-07-01,13.596388163620539
2007-08-01,15.099797023004058
2007-09-01,14.721306068601582
2007-10-01,17.300387596899224
2007-11-01,12.608757062146893
2007-12-01,13.033580413297395
2008-01-01,17.276753187613842
2008-02-01,18.62530682376043
2008-03-01,16.55600890207715
2008-04-01,17.281249999999996
2008-05-01,25.511545496113396
2008-06-01,19.57675438596491
2008-07-01,18.452241079199304
2008-08-01,19.126409562471807
2008-09-01,17.6655672823219
2008-10-01,17.300387596899224
2008-11-01,17.86240583804143
2008-12-01,18.046495956873315
2009-01-01,21.34187158469945
2009-02-01,21.91212567501227
2009-03-01,22.074678536102866
2009-04-01,22.218749999999996
2009-05-01,18.368312757201647
2009-06-01,20.607109879963062
2009-07-01,19.423411662315054
2009-08-01,22.14636896707262
2009-09-01,21.591248900615653
2009-10-01,21.144918173987943
2009-11-01,22.065324858757062
2009-12-01,19.0490790655885
2010-01-01,21.34187158469945
2010-02-01,23.007731958762886
2010-03-01,23.17841246290801
2010-04-01,21.39583333333333
2010-05-01,17.34785093735711
2010-06-01,21.637465373961216
2010-07-01,20.394582245430808
2010-08-01,20.133062697338744
2010-09-01,19.628408091468778
2010-10-01,19.222652885443583
2010-11-01,17.86240583804143
2010-12-01,19.0490790655885
2011-01-01,21.34187158469945
2011-02-01,21.91212567501227
2011-03-01,19.86721068249258
2011-04-01,23.86458333333333
2011-05-01,21.429698216735254
2011-06-01,22.66782086795937
2011-07-01,22.336923411662315
2011-08-01,22.14636896707262
2011-09-01,23.554089709762533
2011-10-01,22.10605081826012
2011-11-01,22.065324858757062
2011-12-01,22.05682839173405
2012-01-01,23.374430783242257
2012-02-01,25.19894452626411
2012-03-01,24.282146389713155
2012-04-01,25.51041666666666
2012-05-01,24.49108367626886
2012-06-01,24.728531855955676
2012-07-01,26.221605744125323
2012-08-01,28.18628777627424
2012-09-01,26.49835092348285
2012-10-01,25.950581395348838
2012-11-01,24.166784369114875
2012-12-01,23.059411500449237
2013-01-01,29.472108378870672
2013-02-01,27.39015709376534
