date,credit karma
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.8972746331236896
2009-04-01,0.93551912568306
2009-05-01,0.967231638418079
2009-06-01,0.9661399548532731
2009-07-01,0.9607182940516273
2009-08-01,1.002341920374707
2009-09-01,1.0808080808080807
2009-10-01,1.1030927835051545
2009-11-01,1.1758241758241756
2009-12-01,1.1630434782608696
2010-01-01,0.9574944071588367
2010-02-01,0.890738813735692
2010-03-01,0.8972746331236896
2010-04-01,0.93551912568306
2010-05-01,0.967231638418079
2010-06-01,0.9661399548532731
2010-07-01,0.9607182940516273
2010-08-01,1.002341920374707
2010-09-01,1.0808080808080807
2010-10-01,1.1030927835051545
2010-11-01,1.1758241758241756
2010-12-01,1.1630434782608696
2011-01-01,1.9149888143176734
2011-02-01,1.781477627471384
2011-03-01,1.7945492662473792
2011-04-01,1.87103825136612
2011-05-01,1.934463276836158
2011-06-01,1.9322799097065462
2011-07-01,1.9214365881032547
2011-08-01,2.004683840749414
2011-09-01,2.1616161616161613
2011-10-01,2.206185567010309
2011-11-01,2.3516483516483513
2011-12-01,3.489130434782609
2012-01-01,7.659955257270694
2012-02-01,6.235171696149844
2012-03-01,8.075471698113207
2012-04-01,9.355191256830599
2012-05-01,10.63954802259887
2012-06-01,11.593679458239277
2012-07-01,14.41077441077441
2012-08-01,15.035128805620605
2012-09-01,15.13131313131313
2012-10-01,14.340206185567009
2012-11-01,14.109890109890108
2012-12-01,13.956521739130435
2013-01-01,13.404921700223714
2013-02-01,14.251821019771072
2013-03-01,14.356394129979034
2013-04-01,17.77486338797814
2013-05-01,20.31186440677966
2013-06-01,26.085778781038375
2013-07-01,33.62514029180696
2013-08-01,35.081967213114744
2013-09-01,32.42424242424242
2013-10-01,38.60824742268041
2013-11-01,43.5054945054945
2013-12-01,48.84782608695652
2014-01-01,59.364653243847876
2014-02-01,53.44432882414152
2014-03-01,60.1174004192872
2014-04-01,61.74426229508196
2014-05-01,63.83728813559321
2014-06-01,67.62979683972911
2014-07-01,68.21099887766555
2014-08-01,68.15925058548008
2014-09-01,70.25252525252525
2014-10-01,70.59793814432989
2014-11-01,71.72527472527472
2014-12-01,73.27173913043478
2015-01-01,74.68456375838926
2015-02-01,74.82206035379812
2015-03-01,77.1656184486373
2015-04-01,79.5191256830601
2015-05-01,84.14915254237287
2015-06-01,89.8510158013544
2015-07-01,87.4253647586981
2015-08-01,87.20374707259951
2015-09-01,83.22222222222221
2015-10-01,81.62886597938143
2015-11-01,85.83516483516482
2015-12-01,87.22826086956522
2016-01-01,84.25950782997764
2016-02-01,74.82206035379812
2016-03-01,75.37106918238993
2016-04-01,75.77704918032785
2016-05-01,78.3457627118644
2016-06-01,64.7313769751693
2016-07-01,73.01459034792367
2016-08-01,74.17330210772832
2016-09-01,78.89898989898988
2016-10-01,77.21649484536081
2016-11-01,58.79120879120878
2016-12-01,73.27173913043478
2017-01-01,83.30201342281879
2017-02-01,80.16649323621228
2017-03-01,81.65199161425575
2017-04-01,72.97049180327868
2017-05-01,79.31299435028248
2017-06-01,84.05417607223475
2017-07-01,84.5432098765432
2017-08-01,85.1990632318501
2017-09-01,90.78787878787878
2017-10-01,84.9381443298969
2017-11-01,90.53846153846152
2017-12-01,86.06521739130436
2018-01-01,87.13199105145414
2018-02-01,84.62018730489073
2018-03-01,89.72746331236895
2018-04-01,92.61639344262294
2018-05-01,88.01807909604518
2018-06-01,85.02031602708803
2018-07-01,82.62177328843995
2018-08-01,83.19437939110068
2018-09-01,81.06060606060605
2018-10-01,80.52577319587628
2018-11-01,83.48351648351647
2018-12-01,80.25
2019-01-01,82.34451901565996
2019-02-01,84.62018730489073
2019-03-01,84.34381551362682
2019-04-01,84.1967213114754
2019-05-01,81.24745762711864
2019-06-01,83.08803611738149
2019-07-01,77.81818181818181
2019-08-01,79.18501170960185
2019-09-01,77.81818181818181
2019-10-01,81.62886597938143
2019-11-01,87.010989010989
2019-12-01,79.08695652173914
2020-01-01,78.51454138702461
2020-02-01,79.27575442247658
2020-03-01,69.0901467505241
2020-04-01,73.90601092896173
2020-05-01,80.28022598870056
2020-06-01,82.12189616252822
2020-07-01,74.93602693602693
2020-08-01,69.16159250585478
2020-09-01,70.25252525252525
2020-10-01,76.11340206185567
2020-11-01,70.54945054945054
2020-12-01,72.10869565217392
2021-01-01,70.85458612975391
2021-02-01,73.04058272632675
2021-03-01,79.85744234800838
2021-04-01,78.58360655737704
2021-05-01,73.509604519774
2021-06-01,71.49435665914221
2021-07-01,69.17171717171716
2021-08-01,67.15690866510538
2021-09-01,69.17171717171716
2021-10-01,69.49484536082473
2021-11-01,72.90109890109889
2021-12-01,74.43478260869566
2022-01-01,70.85458612975391
2022-02-01,76.60353798126951
2022-03-01,72.67924528301886
2022-04-01,70.1639344262295
2022-05-01,63.83728813559321
2022-06-01,61.83295711060948
2022-07-01,64.36812570145904
2022-08-01,65.15222482435595
2022-09-01,62.68686868686868
2022-10-01,63.97938144329896
2022-11-01,59.96703296703296
2022-12-01,59.31521739130435
2023-01-01,59.364653243847876
2023-02-01,64.13319458896981
2023-03-01,61.91194968553458
2023-04-01,58.002185792349714
2023-05-01,57.06666666666666
2023-06-01,56.03611738148984
2023-07-01,54.76094276094276
2023-08-01,53.12412177985947
2023-09-01,54.040404040404034
2023-10-01,52.94845360824742
2023-11-01,56.43956043956043
2023-12-01,52.33695652173913
2024-01-01,50.74720357941835
2024-02-01,57.007284079084286
2024-03-01,50.247379454926616
2024-04-01,50.518032786885236
2024-05-01,47.394350282485874
2024-06-01,45.408577878103834
2024-07-01,43.23232323232323
2024-08-01,47.110070257611234
2024-09-01,43.232323232323225
2024-10-01,36.4020618556701
2024-11-01,34.098901098901095
2024-12-01,27.91304347826087
2025-01-01,30.639821029082775
2025-02-01,30.285119667013525
2025-03-01,27.815513626834377
2025-04-01,27.130054644808737
2025-05-01,24.180790960451976
2025-06-01,23.187358916478555
2025-07-01,24.017957351290683
2025-08-01,23.05386416861826
2025-09-01,22.696969696969695
2025-10-01,23.164948453608243
2025-11-01,22.340659340659336
2025-12-01,22.097826086956523
