date,unsecured loan
2004-01-01,79.0025466893039
2004-02-01,51.61993097497842
2004-03-01,50.75187125748503
2004-04-01,44.989986187845304
2004-05-01,49.96033402922756
2004-06-01,54.34452554744526
2004-07-01,59.74215406562054
2004-08-01,86.87628487518356
2004-09-01,72.08132530120481
2004-10-01,64.45477568740955
2004-11-01,68.61293941660433
2004-12-01,64.56008230452674
2005-01-01,49.658743633276735
2005-02-01,56.208369283865395
2005-03-01,64.68375748502994
2005-04-01,56.92610497237569
2005-05-01,61.98782185107864
2005-06-01,70.8419708029197
2005-07-01,71.1216119828816
2005-08-01,70.28193832599119
2005-09-01,74.0835843373494
2005-10-01,63.49276410998552
2005-11-01,53.697083021690354
2005-12-01,70.0312757201646
2006-01-01,71.10229202037351
2006-02-01,58.502588438308884
2006-03-01,65.67889221556887
2006-04-01,64.271408839779
2006-05-01,52.735908141962426
2006-06-01,84.42810218978101
2006-07-01,89.13908701854494
2006-08-01,90.78083700440529
2006-09-01,73.0824548192771
2006-10-01,72.15086830680173
2006-11-01,88.50074794315633
2006-12-01,78.78518518518517
2007-01-01,80.1311544991511
2007-02-01,84.88610871440896
2007-03-01,85.5815868263473
2007-04-01,80.79834254143647
2007-05-01,87.89318023660404
2007-06-01,82.48722627737226
2007-07-01,87.24251069900143
2007-08-01,90.78083700440529
2007-09-01,76.08584337349396
2007-10-01,86.58104196816208
2007-11-01,72.59050112191474
2007-12-01,83.16213991769547
2008-01-01,79.0025466893039
2008-02-01,75.70923209663502
2008-03-01,74.63510479041916
2008-04-01,74.37120165745856
2008-05-01,68.46416144745999
2008-06-01,77.63503649635037
2008-07-01,80.60449358059914
2008-08-01,82.97173274596182
2008-09-01,79.08923192771083
2008-10-01,50.0246020260492
2008-11-01,55.68586387434555
2008-12-01,54.7119341563786
2009-01-01,57.55899830220713
2009-02-01,49.32571182053494
2009-03-01,53.737275449101794
2009-04-01,55.08977900552486
2009-05-01,56.43667362560891
2009-06-01,64.04890510948906
2009-07-01,75.86305278174036
2009-08-01,66.37738619676945
2009-09-01,55.062123493975896
2009-10-01,56.75868306801736
2009-11-01,51.70830216903515
2009-12-01,45.95802469135802
2010-01-01,54.17317487266553
2010-02-01,47.03149266609145
2010-03-01,55.72754491017964
2010-04-01,53.25345303867403
2010-05-01,55.51148225469729
2010-06-01,63.07846715328467
2010-07-01,48.36269614835948
2010-08-01,52.71145374449339
2010-09-01,52.05873493975903
2010-10-01,43.29052098408104
2010-11-01,40.77000747943156
2010-12-01,39.392592592592585
2011-01-01,46.27292020373514
2011-02-01,51.61993097497842
2011-03-01,48.761601796407184
2011-04-01,44.989986187845304
2011-05-01,50.88552540013918
2011-06-01,49.49233576642336
2011-07-01,50.259272467902996
2011-08-01,42.95007342143906
2011-09-01,49.05534638554216
2011-10-01,42.32850940665702
2011-11-01,45.74195961106956
2011-12-01,44.86378600823045
2012-01-01,46.27292020373514
2012-02-01,44.73727351164797
2012-03-01,46.77133233532934
2012-04-01,46.82631215469613
2012-05-01,49.03514265831594
2012-06-01,50.46277372262774
2012-07-01,54.052425106990015
2012-08-01,49.78303964757709
2012-09-01,52.05873493975903
2012-10-01,46.17655571635311
2012-11-01,42.75878833208676
2012-12-01,42.675308641975306
2013-01-01,51.915959252971135
2013-02-01,43.59016393442623
2013-03-01,42.79079341317365
2013-04-01,43.153660220994475
2013-05-01,46.259568545581075
2013-06-01,49.49233576642336
2013-07-01,43.621255349500714
2013-08-01,48.806901615271656
2013-09-01,44.04969879518072
2013-10-01,44.25253256150506
2013-11-01,43.753178758414364
2013-12-01,43.76954732510288
2014-01-01,47.401528013582336
2014-02-01,42.44305435720448
2014-03-01,47.76646706586826
2014-04-01,44.989986187845304
2014-05-01,46.259568545581075
2014-06-01,48.52189781021898
2014-07-01,47.41440798858773
2014-08-01,43.92621145374449
2014-09-01,43.04856927710843
2014-10-01,44.25253256150506
2014-11-01,40.77000747943156
2014-12-01,43.76954732510288
2015-01-01,44.01570458404074
2015-02-01,42.44305435720448
2015-03-01,45.77619760479042
2015-04-01,45.908149171270715
2015-05-01,43.48399443284621
2015-06-01,44.64014598540146
2015-07-01,49.31098430813124
2015-08-01,49.78303964757709
2015-09-01,50.05647590361445
2015-10-01,50.986613603473224
2015-11-01,46.73635003739716
2015-12-01,43.76954732510288
2016-01-01,49.658743633276735
2016-02-01,56.208369283865395
2016-03-01,51.74700598802395
2016-04-01,48.66263812154696
2016-05-01,44.409185803757836
2016-06-01,47.551459854014595
2016-07-01,47.41440798858773
2016-08-01,47.83076358296623
2016-09-01,46.051957831325296
2016-10-01,47.13856729377713
2016-11-01,52.702692595362755
2016-12-01,54.7119341563786
2017-01-01,58.687606112054326
2017-02-01,65.38524590163934
2017-03-01,55.72754491017964
2017-04-01,57.84426795580111
2017-05-01,59.21224773834378
2017-06-01,57.25583941605839
2017-07-01,57.84557774607703
2017-08-01,60.52055800293686
2017-09-01,71.08019578313252
2017-10-01,67.34081041968162
2017-11-01,58.669035153328345
2017-12-01,55.80617283950617
2018-01-01,55.30178268251273
2018-02-01,59.649698015530625
2018-03-01,53.737275449101794
2018-04-01,56.92610497237569
2018-05-01,57.36186499652053
2018-06-01,59.19671532846715
2018-07-01,57.84557774607703
2018-08-01,51.735315712187955
2018-09-01,51.05760542168674
2018-10-01,58.682706222865406
2018-11-01,54.69147344801795
2018-12-01,54.7119341563786
2019-01-01,55.30178268251273
2019-02-01,58.502588438308884
2019-03-01,55.72754491017964
2019-04-01,58.76243093922652
2019-05-01,56.43667362560891
2019-06-01,54.34452554744526
2019-07-01,56.89728958630528
2019-08-01,52.71145374449339
2019-09-01,56.063253012048186
2019-10-01,60.60672937771346
2019-11-01,59.66342557965595
2019-12-01,64.56008230452674
2020-01-01,64.33064516129032
2020-02-01,65.38524590163934
2020-03-01,52.74214071856287
2020-04-01,54.17161602209945
2020-05-01,49.96033402922756
2020-06-01,51.433211678832116
2020-07-01,54.052425106990015
2020-08-01,48.806901615271656
2020-09-01,56.063253012048186
2020-10-01,57.720694645441384
2020-11-01,55.68586387434555
2020-12-01,57.99465020576131
2021-01-01,57.55899830220713
2021-02-01,59.649698015530625
2021-03-01,55.72754491017964
2021-04-01,52.33529005524862
2021-05-01,59.21224773834378
2021-06-01,54.34452554744526
2021-07-01,49.31098430813124
2021-08-01,52.71145374449339
2021-09-01,56.063253012048186
2021-10-01,56.75868306801736
2021-11-01,59.66342557965595
2021-12-01,60.18312757201645
2022-01-01,53.04456706281833
2022-02-01,67.67946505608282
2022-03-01,75.63023952095809
2022-04-01,89.97997237569061
2022-05-01,80.49164926931107
2022-06-01,63.07846715328467
2022-07-01,60.690442225392296
2022-08-01,61.49669603524229
2022-09-01,63.07115963855421
2022-10-01,68.30282199710564
2022-11-01,78.55684367988033
2022-12-01,72.21975308641974
2023-01-01,74.4881154499151
2023-02-01,80.297670405522
2023-03-01,78.61564371257485
2023-04-01,76.20752762430939
2023-05-01,83.26722338204594
2023-06-01,64.04890510948906
2023-07-01,56.89728958630528
2023-08-01,51.735315712187955
2023-09-01,65.07341867469879
2023-10-01,78.8849493487699
2023-11-01,83.52879581151832
2023-12-01,83.16213991769547
2024-01-01,73.3595076400679
2024-02-01,87.18032786885246
2024-03-01,80.6059131736527
2024-04-01,91.81629834254143
2024-05-01,86.96798886569242
2024-06-01,65.01934306569343
2024-07-01,57.84557774607703
2024-08-01,55.63986784140969
2024-09-01,69.07793674698794
2024-10-01,78.8849493487699
2024-11-01,81.54001495886313
2024-12-01,80.97366255144031
2025-01-01,81.25976230899829
2025-02-01,81.44477998274374
2025-03-01,86.57672155688623
2025-04-01,87.22548342541437
2025-05-01,83.26722338204594
2025-06-01,73.75328467153285
2025-07-01,73.96647646219687
2025-08-01,70.28193832599119
2025-09-01,76.08584337349396
2025-10-01,90.42908827785817
2025-11-01,93.47270007479432
2025-12-01,89.7275720164609
