date,mortgage refinance
2004-01-01,12.495769881556683
2004-02-01,13.289728682170542
2004-03-01,17.663622526636225
2004-04-01,11.887323943661972
2004-05-01,10.887512899896802
2004-06-01,10.435212660731947
2004-07-01,8.60054347826087
2004-08-01,8.39522546419098
2004-09-01,10.95845136921624
2004-10-01,10.592369477911646
2004-11-01,12.296037296037296
2004-12-01,10.111821086261982
2005-01-01,8.92554991539763
2005-02-01,11.245155038759691
2005-03-01,8.028919330289192
2005-04-01,9.906103286384976
2005-05-01,10.887512899896802
2005-06-01,15.65281899109792
2005-07-01,12.42300724637681
2005-08-01,11.193633952254642
2005-09-01,9.96222851746931
2005-10-01,8.473895582329316
2005-11-01,8.607226107226108
2005-12-01,8.98828541001065
2006-01-01,9.818104906937393
2006-02-01,8.178294573643411
2006-03-01,6.423135464231354
2006-04-01,8.915492957746478
2006-05-01,8.71001031991744
2006-06-01,8.348170128585558
2006-07-01,9.556159420289855
2006-08-01,9.328028293545534
2006-09-01,7.969782813975447
2006-10-01,10.592369477911646
2006-11-01,11.066433566433567
2006-12-01,10.111821086261982
2007-01-01,10.710659898477157
2007-02-01,11.245155038759691
2007-03-01,8.831811263318112
2007-04-01,13.868544600938966
2007-05-01,16.3312693498452
2007-06-01,15.65281899109792
2007-07-01,14.334239130434781
2007-08-01,10.260831122900088
2007-09-01,9.96222851746931
2007-10-01,10.592369477911646
2007-11-01,12.296037296037296
2007-12-01,10.111821086261982
2008-01-01,29.45431472081218
2008-02-01,22.490310077519382
2008-03-01,14.452054794520546
2008-04-01,11.887323943661972
2008-05-01,11.97626418988648
2008-06-01,9.391691394658753
2008-07-01,8.60054347826087
2008-08-01,7.462422634836428
2008-09-01,11.95467422096317
2008-10-01,12.710843373493974
2008-11-01,14.755244755244757
2008-12-01,70.78274760383387
2009-01-01,57.123519458544834
2009-02-01,37.82461240310078
2009-03-01,48.17351598173516
2009-04-01,48.539906103286384
2009-05-01,32.6625386996904
2009-06-01,25.044510385756674
2009-07-01,21.979166666666664
2009-08-01,18.65605658709107
2009-09-01,18.928234183191687
2009-10-01,23.30321285140562
2009-11-01,23.362470862470865
2009-12-01,21.347177848775296
2010-01-01,16.9585448392555
2010-02-01,18.401162790697676
2010-03-01,16.057838660578383
2010-04-01,15.849765258215962
2010-05-01,20.686274509803923
2010-06-01,25.044510385756674
2010-07-01,27.71286231884058
2010-08-01,30.782493368700266
2010-09-01,23.90934844192634
2010-10-01,26.48092369477911
2010-11-01,25.821678321678323
2010-12-01,14.605963791267307
2011-01-01,13.388324873096446
2011-02-01,12.267441860465116
2011-03-01,9.634703196347031
2011-04-01,9.906103286384976
2011-05-01,13.06501547987616
2011-06-01,14.609297725024726
2011-07-01,12.42300724637681
2011-08-01,27.05128205128205
2011-09-01,25.901794145420205
2011-10-01,28.59939759036144
2011-11-01,23.362470862470865
2011-12-01,17.9765708200213
2012-01-01,21.421319796954315
2012-02-01,28.624031007751938
2012-03-01,16.057838660578383
2012-04-01,18.821596244131456
2012-05-01,22.86377708978328
2012-06-01,27.131552917903065
2012-07-01,26.757246376811594
2012-08-01,20.521662245800176
2012-09-01,22.913125590179412
2012-10-01,23.30321285140562
2012-11-01,22.132867132867133
2012-12-01,16.85303514376997
2013-01-01,19.636209813874785
2013-02-01,17.378875968992247
2013-03-01,13.649162861491627
2013-04-01,17.830985915492956
2013-05-01,17.42002063983488
2013-06-01,13.565776458951532
2013-07-01,10.51177536231884
2013-08-01,9.328028293545534
2013-09-01,7.969782813975447
2013-10-01,8.473895582329316
2013-11-01,8.607226107226108
2013-12-01,6.741214057507988
2014-01-01,8.032994923857867
2014-02-01,8.178294573643411
2014-03-01,6.423135464231354
2014-04-01,7.924882629107981
2014-05-01,9.798761609907121
2014-06-01,9.391691394658753
2014-07-01,9.556159420289855
2014-08-01,8.39522546419098
2014-09-01,7.969782813975447
2014-10-01,10.592369477911646
2014-11-01,9.836829836829837
2014-12-01,10.111821086261982
2015-01-01,15.173434856175971
2015-02-01,12.267441860465116
2015-03-01,10.43759512937595
2015-04-01,12.87793427230047
2015-05-01,13.06501547987616
2015-06-01,11.478733926805141
2015-07-01,11.467391304347826
2015-08-01,11.193633952254642
2015-09-01,10.95845136921624
2015-10-01,11.65160642570281
2015-11-01,11.066433566433567
2015-12-01,8.98828541001065
2016-01-01,8.032994923857867
2016-02-01,13.289728682170542
2016-03-01,9.634703196347031
2016-04-01,11.887323943661972
2016-05-01,13.06501547987616
2016-06-01,14.609297725024726
2016-07-01,17.20108695652174
2016-08-01,13.059239610963749
2016-09-01,11.95467422096317
2016-10-01,13.770080321285139
2016-11-01,14.755244755244757
2016-12-01,8.98828541001065
2017-01-01,8.92554991539763
2017-02-01,9.200581395348838
2017-03-01,8.028919330289192
2017-04-01,9.906103286384976
2017-05-01,10.887512899896802
2017-06-01,11.478733926805141
2017-07-01,11.467391304347826
2017-08-01,11.193633952254642
2017-09-01,11.95467422096317
2017-10-01,11.65160642570281
2017-11-01,12.296037296037296
2017-12-01,10.111821086261982
2018-01-01,9.818104906937393
2018-02-01,10.222868217054264
2018-03-01,7.226027397260273
2018-04-01,8.915492957746478
2018-05-01,9.798761609907121
2018-06-01,9.391691394658753
2018-07-01,9.556159420289855
2018-08-01,8.39522546419098
2018-09-01,7.969782813975447
2018-10-01,8.473895582329316
2018-11-01,8.607226107226108
2018-12-01,8.98828541001065
2019-01-01,8.92554991539763
2019-02-01,10.222868217054264
2019-03-01,10.43759512937595
2019-04-01,13.868544600938966
2019-05-01,14.153766769865841
2019-06-01,21.91394658753709
2019-07-01,21.02355072463768
2019-08-01,31.71529619805482
2019-09-01,24.905571293673272
2019-10-01,22.243975903614455
2019-11-01,20.903263403263406
2019-12-01,15.72949946751864
2020-01-01,19.636209813874785
2020-02-01,28.624031007751938
2020-03-01,80.28919330289193
2020-04-01,50.52112676056338
2020-05-01,50.08255933952528
2020-06-01,44.87141444114737
2020-07-01,49.69202898550724
2020-08-01,42.90893015030946
2020-09-01,37.856468366383375
2020-10-01,36.01405622489959
2020-11-01,35.65850815850816
2020-12-01,33.70607028753994
2021-01-01,31.239424703891707
2021-02-01,31.69089147286822
2021-03-01,20.8751902587519
2021-04-01,23.774647887323944
2021-05-01,25.04127966976264
2021-06-01,22.957467853610282
2021-07-01,23.890398550724637
2021-08-01,22.387267904509283
2021-09-01,20.920679886685548
2021-10-01,20.125502008032125
2021-11-01,20.903263403263406
2021-12-01,16.85303514376997
2022-01-01,16.065989847715734
2022-02-01,16.356589147286822
2022-03-01,12.846270928462708
2022-04-01,12.87793427230047
2022-05-01,9.798761609907121
2022-06-01,9.391691394658753
2022-07-01,8.60054347826087
2022-08-01,8.39522546419098
2022-09-01,7.969782813975447
2022-10-01,7.414658634538151
2022-11-01,8.607226107226108
2022-12-01,6.741214057507988
2023-01-01,7.140439932318104
2023-02-01,8.178294573643411
2023-03-01,6.423135464231354
2023-04-01,7.924882629107981
2023-05-01,8.71001031991744
2023-06-01,8.348170128585558
2023-07-01,8.60054347826087
2023-08-01,8.39522546419098
2023-09-01,6.973559962228516
2023-10-01,7.414658634538151
2023-11-01,8.607226107226108
2023-12-01,11.235356762513312
2024-01-01,8.92554991539763
2024-02-01,10.222868217054264
2024-03-01,7.226027397260273
2024-04-01,7.924882629107981
2024-05-01,8.71001031991744
2024-06-01,9.391691394658753
2024-07-01,10.51177536231884
2024-08-01,16.79045092838196
2024-09-01,23.90934844192634
