date,cash advance
2004-01-01,22.73191899710704
2004-02-01,22.48688352570829
2004-03-01,26.410211267605636
2004-04-01,30.679215270413568
2004-05-01,25.881642512077292
2004-06-01,30.37023914968999
2004-07-01,33.81810631229236
2004-08-01,29.839240506329112
2004-09-01,29.525777777777776
2004-10-01,26.444698354661792
2004-11-01,27.151131221719456
2004-12-01,31.356605351170565
2005-01-01,24.798457087753135
2005-02-01,29.23294858342078
2005-03-01,32.698356807511736
2005-04-01,32.95174973488865
2005-05-01,36.23429951690821
2005-06-01,35.11558901682905
2005-07-01,30.25830564784053
2005-08-01,32.551898734177215
2005-09-01,33.33555555555556
2005-10-01,30.362431444241317
2005-11-01,30.060180995475115
2005-12-01,31.356605351170565
2006-01-01,27.89826422372228
2006-02-01,24.735571878279117
2006-03-01,31.44072769953052
2006-04-01,31.815482502651108
2006-05-01,32.09323671497584
2006-06-01,37.96279893711249
2006-07-01,38.26785714285714
2006-08-01,35.26455696202532
2006-09-01,33.33555555555556
2006-10-01,33.30073126142596
2006-11-01,32.96923076923077
2006-12-01,34.940217391304344
2007-01-01,36.16441658630666
2007-02-01,31.481636935991606
2007-03-01,40.244131455399064
2007-04-01,40.905620360551424
2007-05-01,43.48115942028985
2007-06-01,41.75907883082374
2007-07-01,42.71760797342192
2007-08-01,42.49831223628692
2007-09-01,40.00266666666666
2007-10-01,40.15676416819013
2007-11-01,38.78733031674208
2007-12-01,43.89924749163879
2008-01-01,40.29749276759885
2008-02-01,34.85466946484785
2008-03-01,40.244131455399064
2008-04-01,42.04188759278897
2008-05-01,42.445893719806755
2008-06-01,38.9118689105403
2008-07-01,40.04775747508305
2008-08-01,41.59409282700422
2008-09-01,42.86
2008-10-01,42.11563071297989
2008-11-01,40.72669683257919
2008-12-01,43.89924749163879
2009-01-01,40.29749276759885
2009-02-01,31.481636935991606
2009-03-01,38.98650234741784
2009-04-01,39.76935312831388
2009-05-01,43.48115942028985
2009-06-01,42.70814880425155
2009-07-01,44.497508305647834
2009-08-01,42.49831223628692
2009-09-01,38.09777777777778
2009-10-01,40.15676416819013
2009-11-01,36.84796380090498
2009-12-01,39.41973244147157
2010-01-01,39.2642237222758
2010-02-01,30.35729275970619
2010-03-01,37.72887323943662
2010-04-01,37.49681866383881
2010-05-01,36.23429951690821
2010-06-01,36.064658990256866
2010-07-01,35.59800664451827
2010-08-01,38.881434599156115
2010-09-01,35.24044444444444
2010-10-01,36.2390310786106
2010-11-01,40.72669683257919
2010-12-01,34.940217391304344
2011-01-01,38.23095467695275
2011-02-01,37.103357817418676
2011-03-01,40.244131455399064
2011-04-01,40.905620360551424
2011-05-01,41.41062801932367
2011-06-01,46.504428697962794
2011-07-01,47.16735880398671
2011-08-01,49.732067510548525
2011-09-01,49.52711111111111
2011-10-01,47.99223034734918
2011-11-01,48.484162895927604
2011-12-01,51.06647157190635
2012-01-01,51.66345226615236
2012-02-01,41.60073452256034
2012-03-01,45.274647887323944
2012-04-01,51.132025450689284
2012-05-01,53.833816425120766
2012-06-01,54.096988485385296
