date,personal loan
2004-01-01,16.850694444444446
2004-02-01,16.41111111111111
2004-03-01,18.23629531388152
2004-04-01,19.94656802301685
2004-05-01,18.404590818363275
2004-06-01,17.364783427495293
2004-07-01,18.088924387646433
2004-08-01,20.624353288987436
2004-09-01,20.563559322033896
2004-10-01,16.727696674776965
2004-11-01,21.748399487836107
2004-12-01,17.464687359424204
2005-01-01,21.344212962962963
2005-02-01,19.927777777777777
2005-03-01,19.309018567639257
2005-04-01,18.94923962186601
2005-05-01,18.404590818363275
2005-06-01,21.020527306967985
2005-07-01,20.673056443024493
2005-08-01,21.52106430155211
2005-09-01,20.563559322033896
2005-10-01,18.69566098945661
2005-11-01,20.71276141698677
2005-12-01,19.64777327935223
2006-01-01,22.467592592592595
2006-02-01,21.1
2006-03-01,23.599911582670202
2006-04-01,23.93588162762022
2006-05-01,22.27924151696607
2006-06-01,24.67627118644068
2006-07-01,25.84132055378062
2006-08-01,26.00461936437546
2006-09-01,23.501210653753027
2006-10-01,24.59955393349554
2006-11-01,23.819675629534785
2006-12-01,25.105488079172293
2007-01-01,25.837731481481484
2007-02-01,25.78888888888889
2007-03-01,24.67263483642794
2007-04-01,28.922523633374432
2007-05-01,29.05988023952096
2007-06-01,29.245951035781545
2007-07-01,28.42545260915868
2007-08-01,31.38488543976349
2007-09-01,27.418079096045197
2007-10-01,28.535482562854824
2007-11-01,25.89095177123346
2007-12-01,26.197031039136306
2008-01-01,28.08449074074074
2008-02-01,28.133333333333333
2008-03-01,26.818081343943412
2008-04-01,25.930538429921906
2008-05-01,26.153892215568863
2008-06-01,25.59020715630885
2008-07-01,24.118565850195242
2008-08-01,26.00461936437546
2008-09-01,25.459644874899112
2008-10-01,21.647607461476074
2008-11-01,20.71276141698677
2008-12-01,21.830859199280255
2009-01-01,21.344212962962963
2009-02-01,21.1
2009-03-01,20.381741821396993
2009-04-01,21.941224825318535
2009-05-01,20.34191616766467
2009-06-01,21.93446327683616
2009-07-01,21.534433794817183
2009-08-01,21.52106430155211
2009-09-01,20.563559322033896
2009-10-01,20.663625304136254
2009-11-01,19.67712334613743
2009-12-01,19.64777327935223
2010-01-01,20.220833333333335
2010-02-01,19.927777777777777
2010-03-01,21.45446507515473
2010-04-01,21.941224825318535
2010-05-01,21.31057884231537
2010-06-01,20.10659133709981
2010-07-01,19.811679091231806
2010-08-01,19.727642276422763
2010-09-01,19.584342211460854
2010-10-01,18.69566098945661
2010-11-01,17.605847204438753
2010-12-01,17.464687359424204
2011-01-01,19.097453703703703
2011-02-01,19.927777777777777
2011-03-01,20.381741821396993
2011-04-01,19.94656802301685
2011-05-01,20.34191616766467
2011-06-01,20.10659133709981
