date,home equity line of credit
2004-01-01,77.68310502283104
2004-02-01,77.02155923344948
2004-03-01,88.21674876847291
2004-04-01,77.98053278688525
2004-05-01,82.9074074074074
2004-06-01,81.71718621821165
2004-07-01,81.28631284916202
2004-08-01,93.89681208053692
2004-09-01,82.67774699907663
2004-10-01,77.4457345971564
2004-11-01,86.09615384615385
2004-12-01,74.88410991636798
2005-01-01,68.4837899543379
2005-02-01,78.97147212543554
2005-03-01,79.02750410509032
2005-04-01,76.14569672131148
2005-05-01,69.7175925925926
2005-06-01,80.79901558654635
2005-07-01,79.49980047885076
2005-08-01,77.93435402684564
2005-09-01,62.00831024930748
2005-10-01,75.3239336492891
2005-11-01,66.69420368364031
2005-12-01,72.20967741935483
2006-01-01,64.39520547945204
2006-02-01,60.44729965156795
2006-03-01,64.32471264367815
2006-04-01,55.045081967213115
2006-05-01,54.64351851851852
2006-06-01,56.92657916324857
2006-07-01,61.634676775738235
2006-08-01,57.27705536912752
2006-09-01,52.70706371191135
2006-10-01,59.41042654028436
2006-11-01,53.355362946912244
2006-12-01,50.8142174432497
2007-01-01,52.12945205479452
2007-02-01,49.722778745644604
2007-03-01,51.45977011494253
2007-04-01,48.62315573770492
2007-05-01,49.932870370370374
2007-06-01,55.090237899917966
2007-07-01,47.342577813248205
2007-08-01,47.88737416107383
2007-09-01,47.539704524469066
2007-10-01,45.61872037914692
2007-11-01,50.930119176598055
2007-12-01,41.4537037037037
2008-01-01,52.12945205479452
2008-02-01,48.747822299651574
2008-03-01,56.05439244663383
2008-04-01,52.29282786885246
2008-05-01,48.048611111111114
2008-06-01,42.235849056603776
2008-07-01,42.876296887470076
2008-08-01,39.436661073825505
2008-09-01,41.338873499538316
2008-10-01,40.31421800947868
2008-11-01,44.86700975081257
2008-12-01,50.8142174432497
2009-01-01,49.06301369863013
2009-02-01,41.92312717770035
2009-03-01,40.43267651888341
2009-04-01,40.36639344262295
2009-05-01,38.62731481481482
2009-06-01,38.56316652994258
2009-07-01,38.41001596169194
2009-08-01,43.192533557046985
2009-09-01,39.271929824561404
2009-10-01,36.07061611374408
2009-11-01,43.65438786565547
2009-12-01,41.4537037037037
2010-01-01,38.84155251141552
2010-02-01,35.09843205574913
2010-03-01,38.5948275862069
2010-04-01,38.53155737704918
2010-05-01,36.74305555555556
2010-06-01,33.97231337161608
2010-07-01,29.477454110135675
2010-08-01,35.68078859060403
2010-09-01,32.0376269621422
2010-10-01,31.82701421800948
2010-11-01,30.315547128927413
2010-12-01,28.08154121863799
2011-01-01,29.642237442922372
2011-02-01,29.248693379790943
2011-03-01,29.4055829228243
2011-04-01,29.35737704918033
2011-05-01,26.37962962962963
2011-06-01,27.545118949958983
2011-07-01,26.797685554668796
2011-08-01,30.985947986577184
2011-09-01,28.937211449676823
2011-10-01,27.583412322274885
2011-11-01,27.890303358613217
2011-12-01,25.40710872162485
2012-01-01,25.553652968036527
2012-02-01,27.29878048780488
2012-03-01,24.810960591133004
2012-04-01,29.35737704918033
2012-05-01,29.20601851851852
2012-06-01,30.29963084495488
2012-07-01,30.370710295291303
2012-08-01,25.352139261744966
2012-09-01,29.97068328716528
2012-10-01,26.522511848341235
2012-11-01,26.677681473456122
2012-12-01,28.08154121863799
2013-01-01,28.62009132420091
