date,home equity line of credit
2013-02-01,28.273736933797913
2013-03-01,30.324507389162562
2013-04-01,33.944467213114756
2013-05-01,34.8587962962963
2013-06-01,33.05414273995078
2013-07-01,34.83699122106943
2013-08-01,31.92491610738255
2013-09-01,34.10457063711911
2013-10-01,35.00971563981043
2013-11-01,38.80390032502709
2013-12-01,40.11648745519713
2014-01-01,38.84155251141552
2014-02-01,35.09843205574913
2014-03-01,38.5948275862069
2014-04-01,42.201229508196725
2014-05-01,44.280092592592595
2014-06-01,43.154019688269074
2014-07-01,45.556065442936955
2014-08-01,42.253565436241615
2014-09-01,46.50623268698061
2014-10-01,44.55781990521327
2014-11-01,41.22914409534128
2014-12-01,42.790919952210274
2015-01-01,41.907990867579905
2015-02-01,40.94817073170732
2015-03-01,42.270525451559934
2015-04-01,43.11864754098361
2015-05-01,43.33796296296296
2015-06-01,45.908531583264974
2015-07-01,43.7695530726257
2015-08-01,45.07046979865772
2015-09-01,43.405817174515235
2015-10-01,46.67962085308057
2015-11-01,46.07963163596966
2015-12-01,46.80256869772999
2016-01-01,37.81940639269406
2016-02-01,37.048344947735195
2016-03-01,42.270525451559934
2016-04-01,48.62315573770492
2016-05-01,48.99074074074074
2016-06-01,40.39950779327317
2016-07-01,38.41001596169194
2016-08-01,47.88737416107383
2016-09-01,49.606648199445985
2016-10-01,46.67962085308057
2016-11-01,43.65438786565547
2016-12-01,49.47700119474313
2017-01-01,52.12945205479452
2017-02-01,54.59756097560976
2017-03-01,51.45977011494253
2017-04-01,49.540573770491804
2017-05-01,57.46990740740741
2017-06-01,57.84474979491387
2017-07-01,58.95490822027135
2017-08-01,51.6432466442953
2017-09-01,57.87442289935365
2017-10-01,61.53222748815166
2017-11-01,61.84371614301192
2017-12-01,61.51194743130227
2018-01-01,59.284474885844745
2018-02-01,58.497386759581886
2018-03-01,59.730090311986864
2018-04-01,59.63217213114754
2018-05-01,61.238425925925924
2018-06-01,62.43560295324036
2018-07-01,64.3144453312051
2018-08-01,63.8498322147651
2018-09-01,68.20914127423822
2018-10-01,64.71492890995262
2018-11-01,61.84371614301192
2018-12-01,69.53524492234169
2019-01-01,59.284474885844745
2019-02-01,67.27199477351917
2019-03-01,51.45977011494253
2019-04-01,56.87991803278689
2019-05-01,61.238425925925924
2019-06-01,56.92657916324857
2019-07-01,60.74142059058261
2019-08-01,57.27705536912752
2019-09-01,57.87442289935365
2019-10-01,63.65402843601896
2019-11-01,56.99322860238353
2019-12-01,57.50029868578255
2020-01-01,55.1958904109589
2020-02-01,51.67269163763066
2020-03-01,51.45977011494253
2020-04-01,42.201229508196725
2020-05-01,49.932870370370374
2020-06-01,49.58121410992617
2020-07-01,51.80885873902634
2020-08-01,51.6432466442953
2020-09-01,55.80747922437673
2020-10-01,50.92322274881517
2020-11-01,47.29225352112676
2020-12-01,52.151433691756274
2021-01-01,47.01872146118721
2021-02-01,52.6476480836237
2021-03-01,48.702996715927746
2021-04-01,51.37540983606557
2021-05-01,52.75925925925926
2021-06-01,50.49938474159147
2021-07-01,49.12909018355946
2021-08-01,48.8263422818792
2021-09-01,53.740535549399816
2021-10-01,51.98412322274882
2021-11-01,56.99322860238353
2021-12-01,56.16308243727598
2022-01-01,59.284474885844745
2022-02-01,60.44729965156795
2022-03-01,63.4057881773399
2022-04-01,65.13668032786886
2022-05-01,62.18055555555556
2022-06-01,65.19011484823626
2022-07-01,66.10095770151636
2022-08-01,62.91086409395974
2022-09-01,67.17566943674977
2022-10-01,65.77582938388626
2022-11-01,59.41847237269773
2022-12-01,58.837514934289125
2023-01-01,65.41735159817351
2023-02-01,62.39721254355401
2023-03-01,57.89224137931034
2023-04-01,62.3844262295082
2023-05-01,60.2962962962963
2023-06-01,57.84474979491387
2023-07-01,57.1683958499601
2023-08-01,57.27705536912752
2023-09-01,59.94136657433056
2023-10-01,62.59312796208531
2023-11-01,56.99322860238353
2023-12-01,60.174731182795696
2024-01-01,62.35091324200913
2024-02-01,71.1718205574913
2024-03-01,59.730090311986864
2024-04-01,65.13668032786886
2024-05-01,57.46990740740741
2024-06-01,57.84474979491387
2024-07-01,52.70211492418196
2024-08-01,56.338087248322154
2024-09-01,50.64012003693444
2024-10-01,51.98412322274882
2024-11-01,56.99322860238353
2024-12-01,54.82586618876941
2025-01-01,54.17374429223744
2025-02-01,50.69773519163763
2025-03-01,49.62192118226601
2025-04-01,51.37540983606557
2025-05-01,48.99074074074074
2025-06-01,51.41755537325677
2025-07-01,58.06165203511573
2025-08-01,50.70427852348993
2025-09-01,57.87442289935365
2025-10-01,53.04502369668247
2025-11-01,60.631094257854826
2025-12-01,56.16308243727598
