date,auto loan
2004-01-01,45.22596778383996
2004-02-01,42.822816728167275
2004-03-01,43.343147751606
2004-04-01,44.85055394990366
2004-05-01,47.953683961146645
2004-06-01,46.10977452347745
2004-07-01,51.518251841929
2004-08-01,49.76971700301554
2004-09-01,46.674673328209074
2004-10-01,43.94446650781043
2004-11-01,44.38870614035088
2004-12-01,44.13464159171436
2005-01-01,43.12243439854508
2005-02-01,42.822816728167275
2005-03-01,41.41678562931239
2005-04-01,42.90052986512524
2005-05-01,44.117389244254916
2005-06-01,51.75586936308693
2005-07-01,53.325909801294934
2005-08-01,50.708768267223384
2005-09-01,45.63745836535998
2005-10-01,43.94446650781043
2005-11-01,42.16927083333333
2005-12-01,40.82454347233578
2006-01-01,44.17420109119252
2006-02-01,41.82693726937269
2006-03-01,45.269509873899594
2006-04-01,51.67563824662813
2006-05-01,47.953683961146645
2006-06-01,48.93282194328219
2006-07-01,51.518251841929
2006-08-01,53.525922059846906
2006-09-01,48.74910325390726
2006-10-01,48.23173153296267
2006-11-01,46.60814144736842
2006-12-01,46.34137367130008
2007-01-01,47.32950116913484
2007-02-01,44.814575645756456
2007-03-01,46.23269093504639
2007-04-01,47.77559007707129
2007-05-01,46.99461028192371
2007-06-01,47.99180613668061
2007-07-01,45.191448984148245
2007-08-01,46.01351194618418
2007-09-01,42.525813476812715
2007-10-01,45.01628276409849
2007-11-01,47.71785910087719
2007-12-01,41.92790951212864
2008-01-01,48.381267861782284
2008-02-01,49.79397293972939
2008-03-01,49.122234118486794
2008-04-01,49.72561416184971
2008-05-01,49.871831319592516
2008-06-01,44.22774291027429
2008-07-01,41.576133065416386
2008-08-01,42.25730688935282
2008-09-01,44.60024340251089
2008-10-01,41.80083399523431
2008-11-01,43.2789884868421
2008-12-01,55.168301989642956
2009-01-01,51.536567939724605
2009-02-01,49.79397293972939
2009-03-01,52.0117773019272
2009-04-01,50.70062620423892
2009-05-01,52.74905235726131
2009-06-01,56.460948396094835
2009-07-01,54.2297387809779
2009-08-01,55.40402458826259
2009-09-01,47.711888291058166
2009-10-01,47.15991527667461
2009-11-01,49.93729440789473
2009-12-01,46.34137367130008
2010-01-01,52.588334632372046
2010-02-01,48.7980934809348
2010-03-01,53.93813942422079
2010-04-01,53.62566233140655
2010-05-01,49.871831319592516
2010-06-01,49.87383774988377
2010-07-01,45.191448984148245
2010-08-01,45.07446068197634
2010-09-01,46.674673328209074
2010-10-01,47.15991527667461
2010-11-01,45.498423793859644
2010-12-01,43.0312755519215
2011-01-01,49.433034554429724
2011-02-01,53.77749077490774
2011-03-01,51.0485962407804
2011-04-01,48.7506021194605
2011-05-01,45.07646292347785
2011-06-01,49.87383774988377
2011-07-01,53.325909801294934
2011-08-01,49.76971700301554
2011-09-01,51.860748142454526
2011-10-01,51.44718030182685
2011-11-01,47.71785910087719
2011-12-01,45.23800763150722
2012-01-01,50.484801247077165
2012-02-01,50.789852398523976
2012-03-01,47.1958719961932
2012-04-01,51.67563824662813
2012-05-01,53.708126036484245
2012-06-01,49.87383774988377
2012-07-01,49.710593882563074
2012-08-01,50.708768267223384
2012-09-01,52.89796310530362
2012-10-01,50.37536404553879
2012-11-01,48.82757675438596
2012-12-01,47.44473971109294
2013-01-01,53.64010132501949
2013-02-01,53.77749077490774
2013-03-01,52.0117773019272
2013-04-01,52.65065028901734
2013-05-01,55.62627339493011
2013-06-01,54.578916782891675
2013-07-01,54.2297387809779
2013-08-01,54.464973324054746
2013-09-01,56.00960799385089
2013-10-01,53.590812814402966
2013-11-01,53.26644736842105
2013-12-01,52.961569910057236
2014-01-01,58.898934788256696
2014-02-01,56.765129151291504
2014-03-01,56.827682607661195
2014-04-01,59.47573458574181
2014-05-01,59.462568111821845
2014-06-01,57.40196420269641
2014-07-01,60.55654163875865
2014-08-01,60.09928090930179
2014-09-01,61.19568280809634
2014-10-01,61.09352660841938
2014-11-01,59.92475328947368
2014-12-01,58.47840010902153
2015-01-01,61.00246817355158
2015-02-01,60.74864698646986
2015-03-01,58.75404472995479
2015-04-01,66.30081888246629
2015-05-01,65.21701018715945
2015-06-01,64.93009065550906
2015-07-01,69.5948314355883
2015-08-01,69.48979355138019
2015-09-01,63.27011273379452
2015-10-01,66.45260788985968
2015-11-01,63.25390624999999
2015-12-01,63.99523030798583
2016-01-01,59.95070148090414
2016-02-01,61.74452644526445
2016-03-01,61.643587913395194
2016-04-01,59.47573458574181
2016-05-01,62.33978914949064
2016-06-01,62.10704323570432
2016-07-01,60.55654163875865
2016-08-01,60.09928090930179
2016-09-01,62.232897770945435
2016-10-01,65.38079163357162
2016-11-01,63.25390624999999
2016-12-01,65.09859634777868
2017-01-01,64.15776825149389
2017-02-01,68.71568265682656
2017-03-01,66.4594932191292
2017-04-01,68.25084296724471
2017-05-01,67.13515754560531
2017-06-01,70.57618549511854
2017-07-01,70.49866041527126
2017-08-01,72.30694734400372
2017-09-01,71.56783243658725
