date,student loan
2004-01-01,14.427668539325841
2004-02-01,13.092401960784313
2004-03-01,12.265671641791046
2004-04-01,12.754775549188157
2004-05-01,13.82427536231884
2004-06-01,14.699705387205388
2004-07-01,15.318640350877192
2004-08-01,13.022557792692021
2004-09-01,15.03856981981982
2004-10-01,11.243532338308459
2004-11-01,13.169871794871796
2004-12-01,14.10705368289638
2005-01-01,13.465823970037452
2005-02-01,14.099509803921569
2005-03-01,13.287810945273634
2005-04-01,13.735912129894938
2005-05-01,15.951086956521738
2005-06-01,27.67003367003367
2005-07-01,15.318640350877192
2005-08-01,13.022557792692021
2005-09-01,13.881756756756758
2005-10-01,11.243532338308459
2005-11-01,13.169871794871796
2005-12-01,14.10705368289638
2006-01-01,15.389513108614231
2006-02-01,14.099509803921569
2006-03-01,12.265671641791046
2006-04-01,13.735912129894938
2006-05-01,14.88768115942029
2006-06-01,25.075968013468014
2006-07-01,14.417543859649122
2006-08-01,12.256524981357197
2006-09-01,12.724943693693694
2006-10-01,11.243532338308459
2006-11-01,13.169871794871796
2006-12-01,14.10705368289638
2007-01-01,16.35135767790262
2007-02-01,13.092401960784313
2007-03-01,13.287810945273634
2007-04-01,16.679321872015283
2007-05-01,15.951086956521738
2007-06-01,14.699705387205388
2007-07-01,17.120833333333334
2007-08-01,14.554623415361672
2007-09-01,17.352195945945947
2007-10-01,14.30995024875622
2007-11-01,15.564393939393941
2007-12-01,16.671972534332085
2008-01-01,17.31320224719101
2008-02-01,16.113725490196078
2008-03-01,15.332089552238807
2008-04-01,15.698185291308501
2008-05-01,17.014492753623188
2008-06-01,14.699705387205388
2008-07-01,18.021929824561404
2008-08-01,14.554623415361672
2008-09-01,16.195382882882882
2008-10-01,13.287810945273634
2008-11-01,14.367132867132868
2008-12-01,16.671972534332085
2009-01-01,15.389513108614231
2009-02-01,15.106617647058822
2009-03-01,14.30995024875622
2009-04-01,13.735912129894938
2009-05-01,13.82427536231884
2009-06-01,12.970328282828284
2009-07-01,16.219736842105263
2009-08-01,12.256524981357197
2009-09-01,13.881756756756758
2009-10-01,11.243532338308459
2009-11-01,13.169871794871796
2009-12-01,14.10705368289638
2010-01-01,15.389513108614231
2010-02-01,14.099509803921569
2010-03-01,16.354228855721395
2010-04-01,13.735912129894938
