date,debt settlement
2004-01-01,29.918796992481205
2004-02-01,29.07126696832579
2004-03-01,30.32926829268293
2004-04-01,24.83027156549521
2004-05-01,32.94039735099338
2004-06-01,31.631160572337045
2004-07-01,31.712132921174653
2004-08-01,31.33228346456693
2004-09-01,36.04347826086956
2004-10-01,26.45744680851064
2004-11-01,31.311151079136685
2004-12-01,27.229927007299267
2005-01-01,23.374060150375943
2005-02-01,24.38235294117647
2005-03-01,25.590320121951223
2005-04-01,23.8370607028754
2005-05-01,23.67591059602649
2005-06-01,24.711844197138316
2005-07-01,25.946290571870172
2005-08-01,24.478346456692915
2005-09-01,29.035024154589372
2005-10-01,24.42225859247136
2005-11-01,24.601618705035968
2005-12-01,24.96076642335766
2006-01-01,28.983834586466166
2006-02-01,30.94683257918552
2006-03-01,33.17263719512195
2006-04-01,26.816693290734825
2006-05-01,29.85223509933775
2006-06-01,31.631160572337045
2006-07-01,31.712132921174653
2006-08-01,33.290551181102366
2006-09-01,29.035024154589372
2006-10-01,31.54541734860884
2006-11-01,33.547661870503596
2006-12-01,36.30656934306569
2007-01-01,33.658646616541354
2007-02-01,30.009049773755656
2007-03-01,35.068216463414636
2007-04-01,34.762380191693296
2007-05-01,36.02855960264901
2007-06-01,33.60810810810811
2007-07-01,35.55602782071097
2007-08-01,38.186220472440944
2007-09-01,39.04710144927536
2007-10-01,46.80932896890344
2007-11-01,43.61196043165467
2007-12-01,40.8448905109489
2008-01-01,45.81315789473685
2008-02-01,41.262443438914026
2008-03-01,46.441692073170735
2008-04-01,43.70127795527157
2008-05-01,45.29304635761589
2008-06-01,49.42368839427663
2008-07-01,55.73647604327666
2008-08-01,57.76889763779528
2008-09-01,64.07729468599034
2008-10-01,65.12602291325696
2008-11-01,78.27787769784172
2008-12-01,83.95894160583941
2009-01-01,77.60187969924813
2009-02-01,75.02262443438914
2009-03-01,78.66653963414635
2009-04-01,87.40255591054314
2009-05-01,87.49793046357617
2009-06-01,96.8704292527822
2009-07-01,96.09737248840804
2009-08-01,93.9968503937008
2009-09-01,88.10628019323671
2009-10-01,86.4954991816694
2009-11-01,81.63264388489208
2009-12-01,81.6897810218978
2010-01-01,84.1466165413534
2010-02-01,79.71153846153847
2010-03-01,80.56211890243902
2010-04-01,78.46365814696486
2010-05-01,81.3216059602649
2010-06-01,71.17011128775835
2010-07-01,60.54134466769707
2010-08-01,54.83149606299213
2010-09-01,52.06280193236715
2010-10-01,41.72135842880524
2010-11-01,39.13893884892086
2010-12-01,38.575729927007295
2011-01-01,41.13834586466166
2011-02-01,41.262443438914026
2011-03-01,38.859375
2011-04-01,31.78274760383387
2011-05-01,31.911009933774835
2011-06-01,31.631160572337045
2011-07-01,29.79018547140649
2011-08-01,28.39488188976378
2011-09-01,27.032608695652176
2011-10-01,32.56301145662848
2011-11-01,27.956384892086326
2011-12-01,26.095346715328464
2012-01-01,27.11390977443609
2012-02-01,24.38235294117647
2012-03-01,23.694740853658537
2012-04-01,24.83027156549521
2012-05-01,25.73468543046358
2012-06-01,21.746422893481718
2012-07-01,22.10239567233385
2012-08-01,22.52007874015748
2012-09-01,22.02657004830918
2012-10-01,22.38707037643208
2012-11-01,20.128597122302157
2012-12-01,19.287864963503647
2013-01-01,20.56917293233083
2013-02-01,20.631221719457013
2013-03-01,18.95579268292683
2013-04-01,19.864217252396166
2013-05-01,19.558360927152318
2013-06-01,17.792527821939586
2013-07-01,17.297527047913448
2013-08-01,16.645275590551183
2013-09-01,17.020531400966185
2013-10-01,18.31669394435352
2013-11-01,16.773830935251798
2013-12-01,15.884124087591239
2014-01-01,18.69924812030075
2014-02-01,18.755656108597286
2014-03-01,15.164634146341465
2014-04-01,17.87779552715655
2014-05-01,13.382036423841061
2014-06-01,15.815580286168522
2014-07-01,15.375579598145286
2014-08-01,14.687007874015748
2014-09-01,14.016908212560386
2014-10-01,14.24631751227496
2014-11-01,12.300809352517984
2014-12-01,12.48038321167883
2015-01-01,13.089473684210528
2015-02-01,14.066742081447964
2015-03-01,13.269054878048781
2015-04-01,15.891373801916934
2015-05-01,12.352649006622517
2015-06-01,13.838632750397457
2015-07-01,12.492658423493046
2015-08-01,15.666141732283466
2015-09-01,14.016908212560386
2015-10-01,13.22872340425532
2015-11-01,13.419064748201437
2015-12-01,13.614963503649633
2016-01-01,14.959398496240603
2016-02-01,16.880090497737555
2016-03-01,15.164634146341465
2016-04-01,17.87779552715655
2016-05-01,14.411423841059603
2016-06-01,14.82710651828299
2016-07-01,15.375579598145286
2016-08-01,14.687007874015748
2016-09-01,14.016908212560386
2016-10-01,15.2639116202946
2016-11-01,16.773830935251798
2016-12-01,17.018704379562042
2017-01-01,15.89436090225564
2017-02-01,18.755656108597286
2017-03-01,18.008003048780488
2017-04-01,18.87100638977636
2017-05-01,18.528973509933778
2017-06-01,16.804054054054056
2017-07-01,17.297527047913448
2017-08-01,19.582677165354333
2017-09-01,19.02294685990338
2017-10-01,19.33428805237316
2017-11-01,16.773830935251798
2017-12-01,15.884124087591239
2018-01-01,16.829323308270677
2018-02-01,18.755656108597286
2018-03-01,18.008003048780488
2018-04-01,16.884584664536742
2018-05-01,15.440811258278146
2018-06-01,16.804054054054056
2018-07-01,17.297527047913448
2018-08-01,15.666141732283466
2018-09-01,16.019323671497585
2018-10-01,18.31669394435352
2018-11-01,15.655575539568343
2018-12-01,17.018704379562042
2019-01-01,16.829323308270677
2019-02-01,18.755656108597286
2019-03-01,17.06021341463415
2019-04-01,18.87100638977636
2019-05-01,17.499586092715234
2019-06-01,15.815580286168522
2019-07-01,18.25850077279753
2019-08-01,19.582677165354333
2019-09-01,16.019323671497585
2019-10-01,18.31669394435352
2019-11-01,17.89208633093525
2019-12-01,18.153284671532845
2020-01-01,18.69924812030075
2020-02-01,18.755656108597286
2020-03-01,15.164634146341465
2020-04-01,15.891373801916934
2020-05-01,17.499586092715234
2020-06-01,18.78100158982512
2020-07-01,18.25850077279753
2020-08-01,17.6244094488189
2020-09-01,17.020531400966185
2020-10-01,18.31669394435352
2020-11-01,17.89208633093525
2020-12-01,19.287864963503647
2021-01-01,17.764285714285716
2021-02-01,16.880090497737555
2021-03-01,18.008003048780488
2021-04-01,18.87100638977636
2021-05-01,19.558360927152318
2021-06-01,16.804054054054056
2021-07-01,14.414605873261205
2021-08-01,13.707874015748033
2021-09-01,17.020531400966185
2021-10-01,19.33428805237316
2021-11-01,21.24685251798561
2021-12-01,17.018704379562042
2022-01-01,14.959398496240603
2022-02-01,17.81787330316742
2022-03-01,17.06021341463415
2022-04-01,18.87100638977636
2022-05-01,17.499586092715234
2022-06-01,16.804054054054056
2022-07-01,17.297527047913448
2022-08-01,18.603543307086614
2022-09-01,17.020531400966185
2022-10-01,17.29909983633388
2022-11-01,17.89208633093525
2022-12-01,17.018704379562042
2023-01-01,17.764285714285716
2023-02-01,17.81787330316742
2023-03-01,19.903582317073173
2023-04-01,19.864217252396166
2023-05-01,19.558360927152318
2023-06-01,18.78100158982512
2023-07-01,18.25850077279753
2023-08-01,19.582677165354333
2023-09-01,20.02415458937198
2023-10-01,21.36947626841244
2023-11-01,22.365107913669064
2023-12-01,20.42244525547445
2024-01-01,20.56917293233083
2024-02-01,21.56900452488688
2024-03-01,19.903582317073173
2024-04-01,21.850638977635786
2024-05-01,19.558360927152318
2024-06-01,20.757949125596184
2024-07-01,19.21947449768161
2024-08-01,19.582677165354333
2024-09-01,20.02415458937198
2024-10-01,21.36947626841244
2024-11-01,20.128597122302157
2024-12-01,20.42244525547445
2025-01-01,23.374060150375943
2025-02-01,26.257918552036198
2025-03-01,23.694740853658537
2025-04-01,23.8370607028754
2025-05-01,22.646523178807946
2025-06-01,25.70031796502385
2025-07-01,31.712132921174653
2025-08-01,31.33228346456693
2025-09-01,34.04106280193237
2025-10-01,29.51022913256956
2025-11-01,32.42940647482014
2025-12-01,38.575729927007295
