date,overdraft fee
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,10.74097007223942
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,8.705980761187787
2006-05-01,7.202056148675365
2006-06-01,8.492860057119543
2006-07-01,0.0
2006-08-01,5.98849252013809
2006-09-01,8.950808393532851
2006-10-01,14.088663282571911
2006-11-01,9.552129221732745
2006-12-01,8.429805615550755
2007-01-01,10.10878010878011
2007-02-01,6.217443249701313
2007-03-01,11.264069264069263
2007-04-01,9.79422835633626
2007-05-01,12.346381969157768
2007-06-01,11.677682578539372
2007-07-01,13.601125854443104
2007-08-01,9.980820866896815
2007-09-01,10.74097007223942
2007-10-01,8.805414551607445
2007-11-01,12.417767988252569
2007-12-01,6.556515478761698
2008-01-01,14.152292152292151
2008-02-01,11.398645957785742
2008-03-01,13.516883116883115
2008-04-01,15.235466332078627
2008-05-01,14.40411229735073
2008-06-01,14.8625050999592
2008-07-01,18.83232810615199
2008-08-01,17.965477560414268
2008-09-01,14.321293429652561
2008-10-01,12.327580372250422
2008-11-01,15.283406754772393
2008-12-01,14.986321094312453
2009-01-01,18.195804195804197
2009-02-01,18.65232974910394
2009-03-01,19.148917748917746
2009-04-01,22.85319949811794
2009-05-01,18.519572953736652
2009-06-01,22.2937576499388
2009-07-01,24.063530357860877
2009-08-01,20.959723820483312
2009-09-01,26.85242518059855
2009-10-01,32.58003384094754
2009-11-01,31.52202643171806
2009-12-01,32.78257739380849
2010-01-01,30.326340326340326
2010-02-01,25.90601354042214
2010-03-01,34.91861471861471
2010-04-01,33.735675449602674
2010-05-01,27.77935943060498
2010-06-01,31.848225214198287
2010-07-01,32.433453960595095
2010-08-01,28.944380514000766
2010-09-01,15.216374269005847
2010-10-01,15.8497461928934
2010-11-01,15.283406754772393
2010-12-01,18.732901367890566
2011-01-01,20.21756021756022
2011-02-01,20.724810832337713
2011-03-01,21.4017316017316
2011-04-01,23.941447093266415
2011-05-01,22.635033610122576
2011-06-01,23.355365157078744
2011-07-01,27.20225170888621
2011-08-01,26.948216340621403
2011-09-01,22.37702098383213
2011-10-01,26.416243654822335
2011-11-01,33.43245227606461
2011-12-01,27.16270698344132
2012-01-01,24.26107226107226
2012-02-01,23.83353245718837
2012-03-01,27.03376623376623
2012-04-01,29.38268506900878
2012-05-01,29.83708975879794
2012-06-01,30.786617707058344
2012-07-01,31.387213510253318
2012-08-01,29.942462600690448
2012-09-01,25.957344341245268
2012-10-01,26.416243654822335
2012-11-01,29.611600587371512
2012-12-01,29.972642188624906
2013-01-01,31.33721833721834
2013-02-01,26.942254082039025
2013-03-01,29.286580086580084
2013-04-01,29.38268506900878
2013-05-01,38.068011071569785
2013-06-01,33.97144022847817
2013-07-01,31.387213510253318
2013-08-01,34.93287303413886
2013-09-01,26.85242518059855
2013-10-01,29.057868020304568
2013-11-01,28.65638766519824
2013-12-01,33.71922246220302
2014-01-01,35.380730380730384
2014-02-01,30.050975706889684
2014-03-01,31.539393939393936
2014-04-01,37.000418235048095
2014-05-01,39.09687623566627
2014-06-01,38.217870257037944
2014-07-01,36.618415761962204
2014-08-01,34.93287303413886
2014-09-01,32.22291021671826
2014-10-01,33.46057529610829
2014-11-01,31.52202643171806
2014-12-01,35.59251259899207
2015-01-01,32.34809634809635
2015-02-01,29.014735165272796
2015-03-01,37.17142857142857
2015-04-01,35.91217063989962
2015-05-01,40.12574139976275
2015-06-01,42.464300285597716
2015-07-01,40.80337756332931
2015-08-01,41.919447640966624
2015-09-01,39.38355693154455
2015-10-01,42.26598984771573
2015-11-01,37.253303964757706
2015-12-01,38.40244780417566
2016-01-01,43.46775446775447
2016-02-01,41.449621664675426
2016-03-01,45.056277056277054
2016-04-01,46.79464659138436
2016-05-01,51.44325820482404
2016-06-01,53.080375356997145
2016-07-01,50.21954161640531
2016-08-01,45.91177598772535
2016-09-01,48.33436532507739
2016-10-01,45.78815566835871
2016-11-01,47.76064610866373
2016-12-01,47.768898488120946
2017-01-01,51.55477855477856
2017-02-01,53.88450816407805
2017-03-01,50.688311688311686
2017-04-01,51.14763697197825
2017-05-01,57.61644918940292
2017-06-01,57.326805385556916
2017-07-01,62.774427020506636
2017-08-01,56.89067894131185
2017-09-01,51.914688682490535
2017-10-01,53.71302876480541
2017-11-01,58.26798825256975
2017-12-01,58.071994240460754
2018-01-01,59.64180264180264
2018-02-01,62.174432497013136
2018-03-01,61.95238095238095
2018-04-01,59.85361773316603
2018-05-01,63.78964017398181
2018-06-01,64.75805793553651
2018-07-01,64.86690792119019
2018-08-01,68.86766398158802
2018-09-01,59.07533539731681
2018-10-01,65.16006768189509
2018-11-01,66.86490455212922
2018-12-01,62.7552195824334
2019-01-01,65.70707070707071
2019-02-01,64.24691358024691
2019-03-01,60.82597402597402
2019-04-01,68.55959849435382
2019-05-01,72.02056148675365
2019-06-01,65.81966544267647
2019-07-01,69.0518697225573
2019-08-01,67.86958189489835
2019-09-01,61.76057791537667
2019-10-01,66.04060913705584
2019-11-01,66.86490455212922
2019-12-01,70.24838012958962
2020-01-01,80.87024087024088
2020-02-01,77.71804062126643
2020-03-01,65.33160173160172
2020-04-01,51.14763697197825
2020-05-01,43.21233689205219
2020-06-01,43.525907792737655
2020-07-01,46.0345798150382
2020-08-01,46.909858074415034
2020-09-01,51.01960784313725
2020-10-01,51.07140439932318
2020-11-01,52.5367107195301
2020-12-01,60.88192944564434
2021-01-01,50.54390054390054
2021-02-01,55.956989247311824
2021-03-01,49.561904761904756
2021-04-01,43.529903805938936
2021-05-01,49.38552787663107
2021-06-01,56.26519787841697
2021-07-01,55.450743868114195
2021-08-01,54.894514767932485
2021-09-01,50.12452700378397
2021-10-01,51.951945854483924
2021-11-01,52.5367107195301
2021-12-01,57.13534917206623
2022-01-01,77.83760683760684
2022-02-01,79.7905217045002
2022-03-01,76.59567099567099
2022-04-01,79.44207444583856
2022-05-01,75.1071569790431
2022-06-01,73.25091799265606
2022-07-01,69.0518697225573
2022-08-01,68.86766398158802
2022-09-01,65.34090127278981
2022-10-01,60.757360406091365
2022-11-01,59.223201174743025
2022-12-01,56.1987041036717
2023-01-01,62.67443667443668
2023-02-01,69.42811628833134
2023-03-01,67.58441558441558
2023-04-01,65.2948557089084
2023-05-01,63.78964017398181
2023-06-01,65.81966544267647
2023-07-01,58.58946521913953
2023-08-01,63.87725354813962
2023-09-01,72.50154798761609
2023-10-01,72.20439932318105
2023-11-01,65.90969162995594
2023-12-01,59.94528437724981
2024-01-01,79.85936285936286
2024-02-01,80.82676224611708
2024-03-01,73.21645021645021
2024-04-01,72.91258887494772
2024-05-01,69.96283115856069
2024-06-01,59.4500203998368
2024-07-01,61.72818657016486
2024-08-01,67.86958189489835
2024-09-01,84.1375988992088
2024-10-01,77.48764805414551
2024-11-01,68.77533039647577
2024-12-01,68.37508999280057
2025-01-01,78.84848484848484
2025-02-01,89.11668657905216
2025-03-01,91.23896103896104
2025-04-01,82.70681723128398
2025-05-01,70.99169632265718
2025-06-01,70.06609547123622
2025-07-01,73.23683152392441
2025-08-01,72.85999232834675
2025-09-01,89.50808393532851
2025-10-01,81.89035532994923
2025-11-01,84.05873715124817
2025-12-01,79.61483081353491
