date,free credit report
2004-01-01,35.060402684563755
2004-02-01,34.65642458100559
2004-03-01,35.44097693351425
2004-04-01,35.68833087149188
2004-05-01,37.751562500000006
2004-06-01,37.26105563480742
2004-07-01,39.9985754985755
2004-08-01,39.72255192878339
2004-09-01,38.0488188976378
2004-10-01,36.14821428571429
2004-11-01,48.182524271844656
2004-12-01,72.14794007490637
2005-01-01,54.343624161073826
2005-02-01,60.1927374301676
2005-03-01,88.60244233378563
2005-04-01,57.872968980797644
2005-05-01,61.218750000000014
2005-06-01,91.28958630527818
2005-07-01,76.27635327635328
2005-08-01,81.38278931750743
2005-09-01,102.83464566929135
2005-10-01,83.95714285714286
2005-11-01,65.93398058252427
2005-12-01,72.14794007490637
2006-01-01,70.12080536912751
2006-02-01,71.13687150837988
2006-03-01,69.10990502035278
2006-04-01,68.48301329394387
2006-05-01,68.3609375
2006-06-01,66.13837375178318
2006-07-01,71.62535612535612
2006-08-01,69.75667655786351
2006-09-01,61.70078740157481
2006-10-01,60.635714285714286
2006-11-01,68.46990291262135
2006-12-01,63.58801498127341
2007-01-01,70.9973154362416
2007-02-01,62.01675977653631
2007-03-01,60.249660786974225
2007-04-01,62.69571639586411
2007-05-01,63.25937500000001
2007-06-01,63.34379457917262
2007-07-01,63.25356125356125
2007-08-01,60.06824925816024
2007-09-01,54.50236220472441
2007-10-01,58.30357142857143
2007-11-01,62.13009708737864
2007-12-01,61.142322097378276
2008-01-01,64.86174496644296
2008-02-01,63.840782122905026
2008-03-01,58.477611940298516
2008-04-01,62.69571639586411
2008-05-01,62.23906250000001
2008-06-01,54.96005706134095
2008-07-01,58.6025641025641
2008-08-01,58.13056379821959
2008-09-01,54.50236220472441
2008-10-01,57.1375
2008-11-01,54.52233009708738
2008-12-01,53.80524344569288
2009-01-01,50.83758389261745
2009-02-01,49.24860335195531
2009-03-01,47.845318860244234
2009-04-01,49.192023633678
2009-05-01,47.954687500000006
2009-06-01,43.78174037089872
2009-07-01,42.78917378917379
2009-08-01,44.56676557863502
2009-09-01,40.105511811023625
2009-10-01,41.97857142857143
2009-11-01,44.37864077669903
2009-12-01,39.1310861423221
2010-01-01,41.19597315436241
2010-02-01,38.30446927374302
2010-03-01,35.44097693351425
2010-04-01,40.51107828655835
2010-05-01,37.751562500000006
2010-06-01,40.055634807417974
2010-07-01,41.85897435897436
2010-08-01,39.72255192878339
2010-09-01,40.105511811023625
2010-10-01,41.97857142857143
2010-11-01,44.37864077669903
2010-12-01,39.1310861423221
2011-01-01,41.19597315436241
2011-02-01,44.68854748603352
2011-03-01,41.64314789687924
2011-04-01,40.51107828655835
2011-05-01,46.93437500000001
2011-06-01,48.43937232524965
2011-07-01,49.3005698005698
