keyword,intercept,slope,r_squared,p_value,std_error,n_obs
career_change,-0.005430045396833616,-0.00040121832339958555,5.212175423531047e-05,0.907948160872904,0.0034665172579037883,259
CareerBuilder,-0.005003572895894115,-0.0006790843937332616,0.00046777943360463547,0.7290195944239556,0.0019581007132996606,259
work_flexibility,-0.00873409859776197,5.581634128654462e-05,0.0005044426075480673,0.7190316352268895,0.00015498132047168575,259
career_advice,-0.007305799415270222,0.0008418397538713036,0.0006185116678382974,0.6903584059118475,0.0021108363807082393,259
LinkedIn_Jobs,-0.00800855650084763,0.0007573423081615264,0.0003294065853787402,0.771280267045401,0.002602483454644999,259
apply_for_work,-0.003551173190776894,-0.00035005171211964666,0.0007102815605607545,0.6694447346723612,0.0008190229736014983,259
Monster,-0.005603125407148952,-0.00028626683559058086,2.5883397029624112e-05,0.9350592561157562,0.0035098472647118236,259
Fiverr_gigs,-0.002830446435690325,-7.448027282715455e-05,0.0009175332769628786,0.6275076122021179,0.00015330787143003454,259
SimplyHired,-0.004355164964346186,-0.00017010758721641627,0.0006684075027788737,0.678778429593124,0.00041029032262496435,259
freelance,-0.004953213097727378,-0.003978162257599175,0.003176297603496802,0.36634670815856774,0.004396069154171644,259
Glassdoor,-0.009875030303474424,0.001692262678269108,0.001304037961943639,0.56290182032634,0.0029212770349235076,259
job_training,-0.008689279844807964,0.0035182167520228995,0.0037401983316037155,0.3268943191674801,0.003581747925607512,259
ZipRecruiter,-0.006148435879419315,0.00013844914543022753,8.067139570901744e-06,0.9637176787039927,0.0030406202296607942,259
full_time_work,-0.004878541069179496,-6.400439981306665e-05,7.77423787410259e-05,0.8876999364645423,0.0004527906738674163,259
job_interview_tips,-0.007282832565402192,0.0015999592310286085,0.001477764908057226,0.5379631750718226,0.00259429017072705,259
Fiverr,-0.0019632225210753705,-0.0010776521591585795,0.0019618113617611266,0.4778788812145433,0.0015162017678808037,259
TaskRabbit,-0.0028645600462272863,-0.00040668473689036344,0.0012582051819105744,0.5698500237300339,0.0007147302923754961,259
Upwork_gigs,-0.03221149498015365,0.00012770662990930213,0.025669879374351848,0.00980299920486829,4.907813297870043e-05,259
Upwork,-0.005293049337032156,-8.662041450139488e-05,8.534444303284434e-05,0.8823752318657145,0.0005848540997492421,259
telecommute,-0.0013645549642888532,-0.0021721498689815802,0.010528064588031039,0.09942303805878393,0.0013135623585174428,259
extra_income,-0.005918866130417863,7.418433545928284e-06,3.644411370210086e-06,0.9756089446045568,0.0002423991882597463,259
AngelList,0.0041773113323782035,-0.002665988303808911,0.009364934989822216,0.12029832413309022,0.0017103939151881362,259
career_development,-0.006024417982659381,0.00020684331122148417,2.1306922641064348e-05,0.9410679714776811,0.002795180954481108,259
side_hustle,-0.003668455163719481,-0.0004275751918434899,0.00046758926258043697,0.7290725265285743,0.0012331392272138708,259
Lyft_driver,-0.00809960054499322,0.0009600236977438664,0.0004666928007895452,0.7293222096362802,0.002771395301870039,259
part_time_work,-0.0008688661521598822,-0.0029670377947011795,0.004453847590395646,0.284605310004378,0.0027670661410372473,259
online_teaching,-0.0009372099741973726,-0.004749903879297542,0.012585921527094208,0.07147623480373161,0.002624372070805767,259
work_from_home,-0.0005783013977406024,-0.0034791294339259274,0.007367238343144533,0.16844840443564915,0.0025191032414887704,259
employment_benefits,-0.003896723393840785,-0.0019104089555178174,0.0015015661220339651,0.5347050681967992,0.0030729907077999886,259
remote_work,0.0021110927989162103,-0.0037821043120955253,0.005824691847661622,0.22091681246676562,0.003082208048974962,259
consulting_work,-0.00829160653776724,0.0012513553108181063,0.0011164890181331268,0.5924463473700916,0.0023347709103861067,259
contract_work,-0.010693576135866373,0.005388664242042185,0.0062079487454695815,0.20628531796323485,0.004252930255862514,259
Indeed,-0.006665035483201316,0.00041092193351116417,4.658352501861687e-05,0.9129555299059525,0.0037554887997592315,259
CV_template,-0.005463195717695947,-3.660561190010065e-05,1.0679006995564525e-05,0.9582599926231834,0.0006987363788102974,259
tutoring,-0.007496791507354881,0.0006504624552056672,0.00048459900960609635,0.7243848720511913,0.0018427191809493632,259
LinkedIn_profile,-0.005910020218474001,3.420086244673995e-05,1.6145606502337806e-06,0.9837639066120442,0.0016789701064013388,259
resume_tips,-0.0060064034149393195,0.00014078861061182898,2.0846086008817242e-05,0.9417076198604574,0.001923464485766422,259
We_Work_Remotely,-0.006668427388592336,0.00018595754820600283,8.11235637038094e-05,0.8853002801914737,0.0012878228395238375,259
skills_development,-0.011164646758921464,0.0021712734996252817,0.004449050806828361,0.28486539499181013,0.0020260307516298728,259
Uber_driver,-0.004284781304507374,-0.00060837218485195,0.00015976052069030413,0.8395728130963913,0.0030021567215966737,259
DoorDash,0.007938010672190222,-0.0063888227064075945,0.008484134823485895,0.1393183655407011,0.004308244357317797,259
temporary_work,-0.006481668821194876,0.0008571873232311181,0.00023374256975185127,0.8065558633807115,0.0034969506897964474,259
FlexJobs,-0.006409084951665492,5.9478345256083016e-05,4.929529917816607e-05,0.9104681018178671,0.0005284195269005665,259
virtual_assistant,-0.0019101660359461116,-0.001350582712258157,0.0034412799870134417,0.3470504249113926,0.0014336596658355745,259
Remote.co,0.001039487429310473,-0.0002939578443217689,0.0023098777195177203,0.44119578649389624,0.0003810849814613353,259
gig_economy,-0.0034326074066177007,-0.0002535664709710741,0.0010533092636482637,0.6031193565940094,0.00048710038079096844,259
work_at_home,-0.003490553186554217,-0.0037951626238102,0.006237174598937085,0.2052172422052977,0.0029882109384476037,259
Instacart,0.0041858680981113885,-0.0032467088107683484,0.01657928970138545,0.03837654319867508,0.001559780522187185,259
internship,-0.008225693739407059,0.0011571651334631489,0.0012803634681062383,0.5664702478853771,0.0020159693972633883,259
