date,transportation costs
2004-01-01,36.9792899408284
2004-02-01,29.773026315789473
2004-03-01,0.0
2004-04-01,28.55205047318612
2004-05-01,31.96978021978022
2004-06-01,38.915533980582524
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,33.49740932642487
2004-12-01,41.81343283582089
2005-01-01,40.80473372781065
2005-02-01,29.773026315789473
2005-03-01,27.185282522996054
2005-04-01,39.429022082018925
2005-05-01,39.074175824175825
2005-06-01,25.106796116504853
2005-07-01,27.252927400468383
2005-08-01,36.49596774193548
2005-09-01,24.990756302521007
2005-10-01,38.77314211212516
2005-11-01,30.985103626943005
2005-12-01,0.0
2006-01-01,30.603550295857985
2006-02-01,30.623684210526314
2006-03-01,33.13206307490144
2006-04-01,33.99053627760252
2006-05-01,36.41002747252747
2006-06-01,32.63883495145631
2006-07-01,34.823185011709604
2006-08-01,39.971774193548384
2006-09-01,24.990756302521007
2006-10-01,23.601043024771837
2006-11-01,20.935880829015545
2006-12-01,13.93781094527363
2007-01-01,26.778106508875737
2007-02-01,26.370394736842105
2007-03-01,21.238501971090667
2007-04-01,21.753943217665615
2007-05-01,20.42513736263736
2007-06-01,28.87281553398058
2007-07-01,24.224824355971897
2007-08-01,26.068548387096772
2007-09-01,18.47142857142857
2007-10-01,26.12972620599739
2007-11-01,25.960492227979273
2007-12-01,34.308457711442784
2008-01-01,21.67751479289941
2008-02-01,19.565131578947366
2008-03-01,28.034822601839682
2008-04-01,26.51261829652997
2008-05-01,26.641483516483515
2008-06-01,30.128155339805826
2008-07-01,40.87939110070258
2008-08-01,24.33064516129032
2008-09-01,24.990756302521007
2008-10-01,25.28683181225554
2008-11-01,18.423575129533678
2008-12-01,18.22636815920398
2009-01-01,22.95266272189349
2009-02-01,17.863815789473684
2009-03-01,23.787122207621547
2009-04-01,20.394321766561514
2009-05-01,24.865384615384613
2009-06-01,28.87281553398058
2009-07-01,30.28103044496487
2009-08-01,26.068548387096772
2009-09-01,24.990756302521007
2009-10-01,21.91525423728813
2009-11-01,26.797927461139896
2009-12-01,24.6592039800995
2010-01-01,24.227810650887573
2010-02-01,22.967763157894737
2010-03-01,22.088042049934295
2010-04-01,22.433753943217667
2010-05-01,23.08928571428571
2010-06-01,23.851456310679612
2010-07-01,21.19672131147541
2010-08-01,24.33064516129032
2010-09-01,24.990756302521007
2010-10-01,16.014993481095175
2010-11-01,19.2610103626943
2010-12-01,20.370646766169152
2011-01-01,21.67751479289941
2011-02-01,21.26644736842105
2011-03-01,22.937582128777922
2011-04-01,19.714511041009462
2011-05-01,23.08928571428571
2011-06-01,26.362135922330097
2011-07-01,22.710772833723652
2011-08-01,20.854838709677416
2011-09-01,21.731092436974787
2011-10-01,18.543676662320728
2011-11-01,17.586139896373055
2011-12-01,23.587064676616915
2012-01-01,22.95266272189349
2012-02-01,18.714473684210525
2012-03-01,19.539421813403415
2012-04-01,19.034700315457414
2012-05-01,20.42513736263736
2012-06-01,23.851456310679612
2012-07-01,21.19672131147541
2012-08-01,27.806451612903224
2012-09-01,17.38487394957983
2012-10-01,20.22946544980443
2012-11-01,15.911269430051814
2012-12-01,18.22636815920398
2013-01-01,21.67751479289941
2013-02-01,17.013157894736842
2013-03-01,16.990801576872535
2013-04-01,16.315457413249213
2013-05-01,16.87293956043956
2013-06-01,18.83009708737864
2013-07-01,22.710772833723652
2013-08-01,20.854838709677416
2013-09-01,18.47142857142857
2013-10-01,16.857887874837026
2013-11-01,20.098445595854923
2013-12-01,18.22636815920398
2014-01-01,20.402366863905325
2014-02-01,22.117105263157892
2014-03-01,18.689881734559787
2014-04-01,17.675078864353313
2014-05-01,18.64903846153846
2014-06-01,20.085436893203884
2014-07-01,22.710772833723652
2014-08-01,22.59274193548387
2014-09-01,21.731092436974787
2014-10-01,19.38657105606258
2014-11-01,18.423575129533678
2014-12-01,21.44278606965174
2015-01-01,17.85207100591716
2015-02-01,20.41578947368421
2015-03-01,21.238501971090667
2015-04-01,19.714511041009462
2015-05-01,17.76098901098901
2015-06-01,23.851456310679612
2015-07-01,24.224824355971897
2015-08-01,20.854838709677416
2015-09-01,26.077310924369748
2015-10-01,22.758148631029986
2015-11-01,20.098445595854923
2015-12-01,19.298507462686565
2016-01-01,24.227810650887573
2016-02-01,23.818421052631578
2016-03-01,23.787122207621547
2016-04-01,21.074132492113563
2016-05-01,19.537087912087912
2016-06-01,21.340776699029128
2016-07-01,19.682669789227166
2016-08-01,20.854838709677416
2016-09-01,24.990756302521007
2016-10-01,20.22946544980443
2016-11-01,21.773316062176164
2016-12-01,25.73134328358209
2017-01-01,28.05325443786982
2017-02-01,26.370394736842105
2017-03-01,29.733902759526934
2017-04-01,24.473186119873816
2017-05-01,29.305631868131865
2017-06-01,21.340776699029128
2017-07-01,25.738875878220142
2017-08-01,22.59274193548387
2017-09-01,20.64453781512605
2017-10-01,23.601043024771837
2017-11-01,25.12305699481865
2017-12-01,23.587064676616915
2018-01-01,21.67751479289941
2018-02-01,28.071710526315787
2018-03-01,28.884362680683306
2018-04-01,27.192429022082017
2018-05-01,30.193681318681318
2018-06-01,20.085436893203884
2018-07-01,27.252927400468383
2018-08-01,26.068548387096772
2018-09-01,24.990756302521007
2018-10-01,28.658409387222942
2018-11-01,24.28562176165803
2018-12-01,22.51492537313433
2019-01-01,28.05325443786982
2019-02-01,28.071710526315787
2019-03-01,28.884362680683306
2019-04-01,23.793375394321767
2019-05-01,25.753434065934066
2019-06-01,25.106796116504853
2019-07-01,24.224824355971897
2019-08-01,20.854838709677416
2019-09-01,26.077310924369748
2019-10-01,25.28683181225554
2019-11-01,23.44818652849741
2019-12-01,21.44278606965174
2020-01-01,24.227810650887573
2020-02-01,22.967763157894737
2020-03-01,23.787122207621547
2020-04-01,22.433753943217667
2020-05-01,27.529532967032967
2020-06-01,26.362135922330097
2020-07-01,27.252927400468383
2020-08-01,20.854838709677416
2020-09-01,31.510084033613442
2020-10-01,28.658409387222942
2020-11-01,22.610751295336787
2020-12-01,20.370646766169152
2021-01-01,19.12721893491124
2021-02-01,22.967763157894737
2021-03-01,27.185282522996054
2021-04-01,23.793375394321767
2021-05-01,23.977335164835164
2021-06-01,21.340776699029128
2021-07-01,25.738875878220142
2021-08-01,24.33064516129032
2021-09-01,26.077310924369748
2021-10-01,31.187092568448495
2021-11-01,28.47279792746114
2021-12-01,25.73134328358209
2022-01-01,31.87869822485207
2022-02-01,39.98092105263158
2022-03-01,45.875164257555845
2022-04-01,44.18769716088328
2022-05-01,41.738324175824175
2022-06-01,38.915533980582524
2022-07-01,37.85128805620609
2022-08-01,36.49596774193548
2022-09-01,40.20252100840336
2022-10-01,43.83050847457626
2022-11-01,41.034326424870464
2022-12-01,39.66915422885572
2023-01-01,40.80473372781065
2023-02-01,44.234210526315785
2023-03-01,48.423784494086725
2023-04-01,46.22712933753943
2023-05-01,44.402472527472526
2023-06-01,38.915533980582524
2023-07-01,37.85128805620609
2023-08-01,45.18548387096774
2023-09-01,54.32773109243697
2023-10-01,53.94524119947848
2023-11-01,55.270725388601036
2023-12-01,51.46268656716418
2024-01-01,58.65680473372781
2024-02-01,67.20197368421053
2024-03-01,67.11366622864651
2024-04-01,65.26182965299685
2024-05-01,53.28296703296703
2024-06-01,52.724271844660194
2024-07-01,49.96370023419204
2024-08-01,57.3508064516129
2024-09-01,68.45294117647059
2024-10-01,68.27444589308995
2024-11-01,59.457901554404145
2024-12-01,54.679104477611936
2025-01-01,61.20710059171597
2025-02-01,66.35131578947367
2025-03-01,67.96320630749014
2025-04-01,62.542586750788644
2025-05-01,51.50686813186813
2025-06-01,59.00097087378641
2025-07-01,78.73067915690866
2025-08-01,81.68145161290322
2025-09-01,80.40504201680672
2025-10-01,73.33181225554107
2025-11-01,77.0440414507772
2025-12-01,107.2139303482587
