date,tuition fees
2004-01-01,18.900226757369616
2004-02-01,17.139069264069263
2004-03-01,18.147744945567652
2004-04-01,17.084919472913615
2004-05-01,16.525402726146222
2004-06-01,13.37490882567469
2004-07-01,13.015615615615616
2004-08-01,13.086352657004833
2004-09-01,17.25672877846791
2004-10-01,17.328482328482327
2004-11-01,11.68706182281708
2004-12-01,13.157862780813602
2005-01-01,15.120181405895693
2005-02-01,17.139069264069263
2005-03-01,15.555209953343702
2005-04-01,18.71205466081015
2005-05-01,17.558240396530362
2005-06-01,15.806710430342815
2005-07-01,16.01921921921922
2005-08-01,14.092995169082128
2005-09-01,14.955831608005523
2005-10-01,12.707553707553707
2005-11-01,12.749521988527723
2005-12-01,13.157862780813602
2006-01-01,17.010204081632654
2006-02-01,17.139069264069263
2006-03-01,17.283566614826334
2006-04-01,20.339189848706685
2006-05-01,16.525402726146222
2006-06-01,13.37490882567469
2006-07-01,14.016816816816817
2006-08-01,14.092995169082128
2006-09-01,16.106280193236717
2006-10-01,17.328482328482327
2006-11-01,14.874442319949011
2006-12-01,15.182149362477233
2007-01-01,18.900226757369616
2007-02-01,23.453463203463205
2007-03-01,19.876101607050288
2007-04-01,18.71205466081015
2007-05-01,17.558240396530362
2007-06-01,18.23851203501094
2007-07-01,16.01921921921922
2007-08-01,17.112922705314013
2007-09-01,18.407177363699105
2007-10-01,18.483714483714483
2007-11-01,19.124282982791584
2007-12-01,16.19429265330905
2008-01-01,22.68027210884354
2008-02-01,19.845238095238095
2008-03-01,20.740279937791602
2008-04-01,18.71205466081015
2008-05-01,18.5910780669145
2008-06-01,17.02261123267688
2008-07-01,17.02042042042042
2008-08-01,18.119565217391308
2008-09-01,20.708074534161494
2008-10-01,21.949410949410947
2008-11-01,19.124282982791584
2008-12-01,18.21857923497268
2009-01-01,22.68027210884354
2009-02-01,27.061688311688314
2009-03-01,28.517884914463455
2009-04-01,26.847730600292824
2009-05-01,27.88661710037175
2009-06-01,29.181619256017505
2009-07-01,25.03003003003003
2009-08-01,28.185990338164256
2009-09-01,32.212560386473434
2009-10-01,31.19126819126819
2009-11-01,30.811344805608666
2009-12-01,28.340012143290835
2010-01-01,34.96541950113379
2010-02-01,35.18019480519481
2010-03-01,38.02384655261794
2010-04-01,35.796974133723765
2010-05-01,29.952292441140028
2010-06-01,32.82932166301969
2010-07-01,25.03003003003003
2010-08-01,29.19263285024155
2010-09-01,27.610766045548658
2010-10-01,26.57033957033957
2010-11-01,29.748884639898023
2010-12-01,29.35215543412265
2011-01-01,38.74546485260771
2011-02-01,36.98430735930736
2011-03-01,35.431311560393986
2011-04-01,34.9834065397755
2011-05-01,34.083643122676584
2011-06-01,38.90882567469001
2011-07-01,33.03963963963964
2011-08-01,37.24577294685991
2011-09-01,33.36300897170463
2011-10-01,33.5017325017325
2011-11-01,31.87380497131931
2011-12-01,26.315725561627204
2012-01-01,34.02040816326531
2012-02-01,31.5719696969697
2012-03-01,32.83877656817004
2012-04-01,34.9834065397755
2012-05-01,35.116480793060724
2012-06-01,36.47702407002188
2012-07-01,31.03723723723724
2012-08-01,33.219202898550726
2012-09-01,34.51345755693582
2012-10-01,32.34650034650034
2012-11-01,29.748884639898023
2012-12-01,27.32786885245902
2013-01-01,35.910430839002274
2013-02-01,33.37608225108225
2013-03-01,33.70295489891136
2013-04-01,31.729136163982428
2013-05-01,34.083643122676584
2013-06-01,34.04522246535376
