date,new car prices
2004-01-01,96.40039447731755
2004-02-01,76.02777777777777
2004-03-01,83.01288167938931
2004-04-01,81.13636363636363
2004-05-01,90.33317120622567
2004-06-01,91.69970986460348
2004-07-01,89.02881040892193
2004-08-01,92.51673040152963
2004-09-01,83.09843400447429
2004-10-01,80.486276849642
2004-11-01,86.25000000000001
2004-12-01,76.02777777777777
2005-01-01,66.51627218934911
2005-02-01,65.16666666666667
2005-03-01,72.75286259541984
2005-04-01,64.71590909090908
2005-05-01,66.5612840466926
2005-06-01,67.12040618955513
2005-07-01,61.77509293680298
2005-08-01,68.21940726577438
2005-09-01,56.856823266219244
2005-10-01,54.82398568019093
2005-11-01,51.75000000000001
2005-12-01,44.53055555555555
2006-01-01,43.38017751479289
2006-02-01,41.46969696969697
2006-03-01,45.7037213740458
2006-04-01,48.29545454545454
2006-05-01,41.838521400778205
2006-06-01,48.213249516441
2006-07-01,47.239776951672866
2006-08-01,44.85659655831739
2006-09-01,45.92281879194631
2006-10-01,45.49224343675417
2006-11-01,41.400000000000006
2006-12-01,39.099999999999994
2007-01-01,32.776134122287964
2007-02-01,40.48232323232323
2007-03-01,37.30916030534351
2007-04-01,37.67045454545454
2007-05-01,38.035019455252915
2007-06-01,36.86895551257253
2007-07-01,35.42983271375465
2007-08-01,31.773422562141487
2007-09-01,36.08221476510067
2007-10-01,34.99403341288782
2007-11-01,31.050000000000004
2007-12-01,32.58333333333333
2008-01-01,27.956114398422088
2008-02-01,31.595959595959595
2008-03-01,27.049141221374047
2008-04-01,30.909090909090907
2008-05-01,29.47714007782101
2008-06-01,27.415377176015472
2008-07-01,22.7114312267658
2008-08-01,23.362810707456976
2008-09-01,21.868008948545864
2008-10-01,26.828758949880665
2008-11-01,26.450000000000003
2008-12-01,28.238888888888887
2009-01-01,25.064102564102562
2009-02-01,23.696969696969695
2009-03-01,22.385496183206108
2009-04-01,22.21590909090909
2009-05-01,23.771887159533073
2009-06-01,25.52466150870406
2009-07-01,29.070631970260223
2009-08-01,32.70793499043977
2009-09-01,19.681208053691275
2009-10-01,20.996420047732695
2009-11-01,20.700000000000003
2009-12-01,19.549999999999997
2010-01-01,18.316074950690332
2010-02-01,18.76010101010101
2010-03-01,18.654580152671755
2010-04-01,16.420454545454543
2010-05-01,18.066634241245136
2010-06-01,18.90715667311412
2010-07-01,18.16914498141264
2010-08-01,18.690248565965582
2010-09-01,20.77460850111857
2010-10-01,19.829952267303103
2010-11-01,19.55
2010-12-01,21.72222222222222
2011-01-01,18.316074950690332
2011-02-01,19.747474747474747
2011-03-01,18.654580152671755
2011-04-01,19.318181818181817
2011-05-01,18.066634241245136
2011-06-01,19.852514506769825
2011-07-01,19.077602230483272
2011-08-01,18.690248565965582
2011-09-01,20.77460850111857
2011-10-01,19.829952267303103
2011-11-01,21.85
2011-12-01,23.894444444444442
2012-01-01,18.316074950690332
2012-02-01,20.734848484848484
2012-03-01,17.72185114503817
2012-04-01,18.352272727272727
2012-05-01,15.214007782101167
2012-06-01,15.125725338491295
2012-07-01,16.352230483271377
2012-08-01,15.886711281070744
2012-09-01,18.587807606263983
2012-10-01,16.33054892601432
2012-11-01,16.1
2012-12-01,15.205555555555554
2013-01-01,14.460059171597631
2013-02-01,14.81060606060606
2013-03-01,14.923664122137405
2013-04-01,14.488636363636363
2013-05-01,15.214007782101167
2013-06-01,14.180367504835589
2013-07-01,15.443773234200744
2013-08-01,14.952198852772465
2013-09-01,15.307606263982104
2013-10-01,16.33054892601432
2013-11-01,18.400000000000002
2013-12-01,15.205555555555554
2014-01-01,12.532051282051281
2014-02-01,12.835858585858585
2014-03-01,13.058206106870228
2014-04-01,13.522727272727272
2014-05-01,13.312256809338521
2014-06-01,14.180367504835589
2014-07-01,12.718401486988848
2014-08-01,13.083173996175907
2014-09-01,13.120805369127517
2014-10-01,13.99761336515513
2014-11-01,13.8
2014-12-01,14.119444444444444
2015-01-01,11.568047337278106
2015-02-01,12.835858585858585
2015-03-01,12.125477099236642
2015-04-01,12.55681818181818
2015-05-01,13.312256809338521
2015-06-01,11.344294003868471
2015-07-01,12.718401486988848
2015-08-01,12.148661567877628
2015-09-01,13.120805369127517
2015-10-01,12.831145584725537
2015-11-01,12.650000000000002
2015-12-01,10.86111111111111
2016-01-01,9.640039447731754
2016-02-01,10.86111111111111
2016-03-01,9.327290076335878
2016-04-01,10.625
2016-05-01,10.459630350194551
2016-06-01,9.45357833655706
2016-07-01,9.08457249070632
2016-08-01,9.345124282982791
2016-09-01,9.840604026845638
2016-10-01,10.498210023866347
2016-11-01,10.350000000000001
2016-12-01,10.86111111111111
2017-01-01,9.640039447731754
2017-02-01,10.86111111111111
2017-03-01,9.327290076335878
2017-04-01,10.625
2017-05-01,9.508754863813229
2017-06-01,8.508220502901354
2017-07-01,9.99302973977695
2017-08-01,9.345124282982791
2017-09-01,9.840604026845638
2017-10-01,10.498210023866347
2017-11-01,10.350000000000001
2017-12-01,9.774999999999999
2018-01-01,8.676035502958579
2018-02-01,9.873737373737374
2018-03-01,8.39456106870229
2018-04-01,7.727272727272727
2018-05-01,9.508754863813229
2018-06-01,8.508220502901354
2018-07-01,7.267657992565056
2018-08-01,8.410611854684511
2018-09-01,8.747203579418345
