date,heating cost
2004-01-01,24.10189003436426
2004-02-01,24.51500974658869
2004-03-01,20.477495543672013
2004-04-01,25.93263403263403
2004-05-01,22.613370733987846
2004-06-01,22.54260985352863
2004-07-01,15.39745338790359
2004-08-01,23.19904076738609
2004-09-01,25.83177570093458
2004-10-01,26.87222222222222
2004-11-01,21.671146953405014
2004-12-01,25.550637522768664
2005-01-01,27.426288659793812
2005-02-01,24.51500974658869
2005-03-01,29.09959893048128
2005-04-01,27.060139860139856
2005-05-01,21.482702197288454
2005-06-01,25.762982689747005
2005-07-01,20.896543883583444
2005-08-01,27.838848920863306
2005-09-01,51.66355140186916
2005-10-01,50.16148148148148
2005-11-01,34.67383512544802
2005-12-01,34.361202185792344
2006-01-01,29.919587628865976
2006-02-01,24.51500974658869
2006-03-01,32.332887700534755
2006-04-01,30.44265734265734
2006-05-01,23.74403927068724
2006-06-01,21.469152241455838
2006-07-01,28.59527057753524
2006-08-01,26.678896882494005
2006-09-01,25.83177570093458
2006-10-01,26.87222222222222
2006-11-01,22.537992831541217
2006-12-01,16.740072859744988
2007-01-01,24.10189003436426
2007-02-01,29.229434697855744
2007-03-01,21.555258467023172
2007-04-01,27.060139860139856
2007-05-01,26.005376344086024
2007-06-01,24.68952507767421
2007-07-01,24.195998180991356
2007-08-01,27.838848920863306
2007-09-01,30.13707165109034
2007-10-01,30.455185185185186
2007-11-01,35.540681003584226
2007-12-01,32.59908925318761
2008-01-01,32.41288659793814
2008-02-01,29.229434697855744
2008-03-01,36.64393939393939
2008-04-01,39.46270396270396
2008-05-01,41.83473585787751
2008-06-01,47.23213493120284
2008-07-01,46.192360163710774
2008-08-01,47.558033573141486
2008-09-01,44.12928348909657
2008-10-01,44.78703703703704
2008-11-01,32.94014336917562
2008-12-01,37.88542805100182
2009-01-01,35.73728522336769
2009-02-01,36.77251461988303
2009-03-01,36.64393939393939
2009-04-01,34.95268065268065
2009-05-01,33.92005610098177
2009-06-01,38.64447403462051
2009-07-01,30.79490677580718
2009-08-01,35.95851318944844
2009-09-01,34.442367601246104
2009-10-01,36.72537037037037
2009-11-01,30.339605734767023
2009-12-01,36.12331511839708
2010-01-01,37.39948453608247
2010-02-01,34.88674463937621
2010-03-01,34.48841354723707
2010-04-01,33.82517482517482
2010-05-01,35.050724637681164
2010-06-01,35.424101198402134
2010-07-01,31.89472487494315
2010-08-01,31.31870503597122
2010-09-01,30.13707165109034
2010-10-01,29.559444444444445
2010-11-01,30.339605734767023
2010-12-01,34.361202185792344
2011-01-01,36.56838487972508
2011-02-01,36.77251461988303
2011-03-01,35.56617647058823
2011-04-01,38.335198135198134
2011-05-01,36.18139317438055
2011-06-01,33.27718597425655
2011-07-01,34.09436107321509
2011-08-01,33.63860911270983
2011-09-01,32.28971962616822
2011-10-01,33.142407407407404
2011-11-01,33.806989247311826
2011-12-01,29.955919854280506
2012-01-01,31.581786941580752
2012-02-01,33.00097465886939
2012-03-01,35.56617647058823
2012-04-01,33.82517482517482
2012-05-01,33.92005610098177
2012-06-01,31.130270750110967
2012-07-01,36.29399727148704
2012-08-01,33.63860911270983
2012-09-01,36.59501557632399
2012-10-01,36.72537037037037
2012-11-01,32.94014336917562
2012-12-01,29.955919854280506
2013-01-01,35.73728522336769
2013-02-01,34.88674463937621
2013-03-01,36.64393939393939
2013-04-01,33.82517482517482
2013-05-01,37.31206171107994
2013-06-01,35.424101198402134
2013-07-01,37.393815370623
2013-08-01,33.63860911270983
2013-09-01,33.36604361370716
2013-10-01,34.038148148148146
2013-11-01,33.806989247311826
2013-12-01,37.88542805100182
2014-01-01,45.710481099656356
2014-02-01,43.37270955165691
2014-03-01,43.110516934046345
2014-04-01,39.46270396270396
2014-05-01,39.57339878447873
2014-06-01,36.49755881047493
2014-07-01,39.59345156889495
2014-08-01,37.118465227817744
2014-09-01,36.59501557632399
2014-10-01,34.038148148148146
2014-11-01,44.20913978494623
2014-12-01,31.71803278688524
2015-01-01,38.230584192439856
2015-02-01,41.48693957115009
2015-03-01,38.79946524064171
2015-04-01,33.82517482517482
2015-05-01,38.44273024777934
2015-06-01,39.7179316466933
2015-07-01,38.493633469758976
2015-08-01,41.75827338129496
2015-09-01,36.59501557632399
2015-10-01,34.93388888888889
2015-11-01,33.806989247311826
2015-12-01,30.836976320582874
2016-01-01,34.075085910652916
2016-02-01,35.82962962962962
2016-03-01,33.410650623885914
2016-04-01,38.335198135198134
2016-05-01,35.050724637681164
2016-06-01,35.424101198402134
2016-07-01,36.29399727148704
2016-08-01,37.118465227817744
2016-09-01,33.36604361370716
2016-10-01,31.350925925925925
2016-11-01,33.806989247311826
2016-12-01,35.24225865209471
2017-01-01,34.906185567010304
2017-02-01,33.9438596491228
2017-03-01,37.72170231729055
2017-04-01,37.207692307692305
2017-05-01,38.44273024777934
2017-06-01,36.49755881047493
2017-07-01,38.493633469758976
2017-08-01,35.95851318944844
2017-09-01,34.442367601246104
2017-10-01,34.038148148148146
2017-11-01,36.40752688172043
2017-12-01,39.64754098360655
2018-01-01,43.21718213058419
2018-02-01,37.715399610136444
2018-03-01,42.032754010695186
2018-04-01,38.335198135198134
2018-05-01,44.0960729312763
2018-06-01,36.49755881047493
2018-07-01,40.693269668030915
2018-08-01,37.118465227817744
2018-09-01,36.59501557632399
2018-10-01,39.41259259259259
2018-11-01,40.74175627240143
2018-12-01,34.361202185792344
2019-01-01,40.72388316151203
2019-02-01,40.54405458089668
2019-03-01,40.95499108734403
2019-04-01,39.46270396270396
2019-05-01,40.70406732117812
2019-06-01,38.64447403462051
2019-07-01,39.59345156889495
2019-08-01,35.95851318944844
2019-09-01,33.36604361370716
2019-10-01,35.82962962962963
2019-11-01,39.87491039426523
2019-12-01,33.480145719489975
2020-01-01,34.906185567010304
2020-02-01,35.82962962962962
