date,entertainment cost
2004-01-01,20.455555555555556
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,22.793333333333333
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,14.900849858356938
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,16.55925925925926
2005-02-01,0.0
2005-03-01,19.057971014492754
2005-04-01,11.396666666666667
2005-05-01,11.425229741019214
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,17.95221843003413
2005-09-01,9.933899905571293
2005-10-01,11.787114845938376
2005-11-01,16.698412698412696
2005-12-01,8.438502673796792
2006-01-01,13.637037037037038
2006-02-01,11.688888888888888
2006-03-01,14.293478260869566
2006-04-01,14.026666666666666
2006-05-01,11.425229741019214
2006-06-01,8.926060606060606
2006-07-01,16.364444444444445
2006-08-01,0.0
2006-09-01,6.953729933899905
2006-10-01,11.787114845938376
2006-11-01,11.425229741019214
2006-12-01,5.625668449197861
2007-01-01,13.637037037037038
2007-02-01,8.5010101010101
2007-03-01,11.434782608695652
2007-04-01,13.149999999999999
2007-05-01,14.940685045948204
2007-06-01,14.026666666666667
2007-07-01,14.026666666666667
2007-08-01,16.755403868031852
2007-09-01,13.90745986779981
2007-10-01,13.751633986928105
2007-11-01,8.788638262322472
2007-12-01,8.438502673796792
2008-01-01,10.714814814814815
2008-02-01,9.563636363636363
2008-03-01,11.434782608695652
2008-04-01,16.656666666666666
2008-05-01,13.182957393483708
2008-06-01,10.201212121212121
2008-07-01,12.857777777777777
2008-08-01,13.164960182025027
2008-09-01,10.927289896128421
2008-10-01,11.787114845938376
2008-11-01,13.182957393483708
2008-12-01,12.188948306595366
2009-01-01,13.637037037037038
2009-02-01,13.814141414141414
2009-03-01,14.293478260869566
2009-04-01,17.53333333333333
2009-05-01,16.698412698412696
2009-06-01,20.402424242424242
2009-07-01,11.688888888888888
2009-08-01,13.164960182025027
2009-09-01,13.90745986779981
2009-10-01,11.787114845938376
2009-11-01,15.81954887218045
2009-12-01,13.12655971479501
2010-01-01,15.585185185185185
2010-02-01,17.0020202020202
2010-03-01,20.96376811594203
2010-04-01,14.903333333333332
2010-05-01,15.81954887218045
2010-06-01,17.85212121212121
2010-07-01,15.195555555555556
2010-08-01,14.361774744027302
2010-09-01,9.933899905571293
2010-10-01,11.787114845938376
2010-11-01,14.940685045948204
2010-12-01,13.12655971479501
2011-01-01,13.637037037037038
2011-02-01,17.0020202020202
2011-03-01,18.105072463768117
2011-04-01,12.273333333333332
2011-05-01,14.940685045948204
2011-06-01,19.12727272727273
2011-07-01,14.026666666666667
2011-08-01,14.361774744027302
2011-09-01,12.914069877242682
2011-10-01,12.76937441643324
2011-11-01,13.182957393483708
2011-12-01,12.188948306595366
2012-01-01,14.61111111111111
2012-02-01,17.0020202020202
2012-03-01,15.246376811594203
2012-04-01,11.396666666666667
2012-05-01,14.061821219715956
2012-06-01,15.30181818181818
2012-07-01,14.026666666666667
2012-08-01,16.755403868031852
2012-09-01,13.90745986779981
2012-10-01,12.76937441643324
2012-11-01,11.425229741019214
2012-12-01,11.251336898395722
2013-01-01,14.61111111111111
2013-02-01,15.93939393939394
2013-03-01,15.246376811594203
2013-04-01,13.149999999999999
2013-05-01,14.061821219715956
2013-06-01,15.30181818181818
2013-07-01,14.026666666666667
2013-08-01,11.968145620022753
2013-09-01,13.90745986779981
2013-10-01,12.76937441643324
2013-11-01,12.304093567251462
2013-12-01,13.12655971479501
2014-01-01,14.61111111111111
2014-02-01,17.0020202020202
2014-03-01,13.340579710144928
2014-04-01,13.149999999999999
2014-05-01,15.81954887218045
2014-06-01,15.30181818181818
2014-07-01,15.195555555555556
2014-08-01,15.558589306029578
2014-09-01,14.900849858356938
2014-10-01,13.751633986928105
2014-11-01,14.061821219715956
2014-12-01,14.064171122994653
2015-01-01,15.585185185185185
2015-02-01,15.93939393939394
2015-03-01,16.19927536231884
2015-04-01,14.026666666666666
2015-05-01,16.698412698412696
2015-06-01,16.576969696969698
2015-07-01,14.026666666666667
2015-08-01,13.164960182025027
2015-09-01,13.90745986779981
2015-10-01,14.73389355742297
2015-11-01,12.304093567251462
2015-12-01,14.064171122994653
2016-01-01,16.55925925925926
2016-02-01,18.064646464646465
2016-03-01,14.293478260869566
