date,used car prices
2004-01-01,84.84054149085793
2004-02-01,79.26756352765321
2004-03-01,93.03508771929825
2004-04-01,88.00481798715204
2004-05-01,91.78997144896502
2004-06-01,89.66425120772946
2004-07-01,84.50996015936255
2004-08-01,87.62953091684436
2004-09-01,89.88135593220338
2004-10-01,85.34369488536153
2004-11-01,82.859375
2004-12-01,80.79362880886426
2005-01-01,62.4650140646976
2005-02-01,61.43236173393124
2005-03-01,62.33350877192983
2005-04-01,66.24018558172733
2005-05-01,60.56245538900785
2005-06-01,59.47118702553485
2005-07-01,67.78403054448872
2005-08-01,66.8999644633973
2005-09-01,55.640839386602096
2005-10-01,54.94731040564373
2005-11-01,55.23958333333333
2005-12-01,46.517543859649116
2006-01-01,43.81874120956399
2006-02-01,41.615470852017935
2006-03-01,41.86578947368421
2006-04-01,42.58297644539615
2006-05-01,39.7441113490364
2006-06-01,41.172360248447205
2006-07-01,42.254980079681275
2006-08-01,46.170398009950254
2006-09-01,49.22074253430185
2006-10-01,43.256393298059955
2006-11-01,44.43183876811594
2006-12-01,45.29339796860572
2007-01-01,36.360232067510545
2007-02-01,35.67040358744394
2007-03-01,37.214035087719296
2007-04-01,35.95895788722341
2007-05-01,36.90524625267666
2007-06-01,37.51259489302968
2007-07-01,34.33217131474103
2007-08-01,34.8633617626155
2007-09-01,37.45056497175141
2007-10-01,37.41093474426807
2007-11-01,33.62409420289855
2007-12-01,31.82779316712834
2008-01-01,27.037095639943736
2008-02-01,28.734491778774288
2008-03-01,26.04982456140351
2008-04-01,28.38865096359743
2008-05-01,29.334939329050677
2008-06-01,27.44824016563147
2008-07-01,24.648738379814077
2008-08-01,26.38308457711443
2008-09-01,26.750403551251008
2008-10-01,26.889109347442673
2008-11-01,25.21807065217391
2008-12-01,25.707063711911353
2009-01-01,24.240154711673696
2009-02-01,26.752802690582957
2009-03-01,26.04982456140351
2009-04-01,23.657209136331193
2009-05-01,24.60349750178444
2009-06-01,25.618357487922705
2009-07-01,22.888114209827357
2009-08-01,24.49857853589197
2009-09-01,22.470338983050844
2009-10-01,19.87455908289241
2009-11-01,20.414628623188403
2009-12-01,20.810480147737763
2010-01-01,18.646272855133613
2010-02-01,17.83520179372197
2010-03-01,19.537368421052633
2010-04-01,17.979478943611706
2010-05-01,19.8720556745182
2010-06-01,21.043650793650794
2010-07-01,26.409362549800797
2010-08-01,19.787313432835823
2010-09-01,17.120258272800644
2010-10-01,19.87455908289241
2010-11-01,24.017210144927535
2010-12-01,24.482917820867954
2011-01-01,24.240154711673696
2011-02-01,23.780269058295964
2011-03-01,13.955263157894738
2011-04-01,14.194325481798716
2011-05-01,17.033190578158457
2011-06-01,17.383885438233264
