date,CPI
2004-01-01,56.49656170828809
2004-02-01,45.47744721689059
2004-03-01,51.40070921985816
2004-04-01,54.94544174586413
2004-05-01,52.01701427003294
2004-06-01,55.31973539140022
2004-07-01,50.91324200913242
2004-08-01,53.7883087400681
2004-09-01,52.66934046345811
2004-10-01,45.57474140807474
2004-11-01,47.51994922016684
2004-12-01,51.1467889908257
2005-01-01,54.47882736156352
2005-02-01,48.15259117082533
2005-03-01,49.42375886524823
2005-04-01,51.020767335445264
2005-05-01,52.01701427003294
2005-06-01,52.246416758544655
2005-07-01,46.67047184170471
2005-08-01,51.67896329928112
2005-09-01,49.68805704099822
2005-10-01,50.22522522522523
2005-11-01,47.51994922016684
2005-12-01,49.015672782874624
2006-01-01,51.452225841476654
2006-02-01,46.36916186820217
2006-03-01,48.43528368794326
2006-04-01,46.11492432242168
2006-05-01,48.95718990120747
2006-06-01,51.22197721425946
2006-07-01,47.73116438356164
2006-08-01,48.51494513810064
2006-09-01,43.72549019607843
2006-10-01,46.504838171504844
2006-11-01,43.47569822270584
2006-12-01,40.49120795107034
2007-01-01,48.42562432138979
2007-02-01,41.01887396033269
2007-03-01,42.50443262411348
2007-04-01,42.19024991200281
2007-05-01,45.897365532382004
2007-06-01,44.05090040426314
2007-07-01,41.36700913242009
2007-08-01,41.1322360953462
2007-09-01,40.74420677361854
2007-10-01,42.78445111778446
2007-11-01,42.464635473340586
2007-12-01,43.68788226299695
2008-01-01,47.41675714802751
2008-02-01,41.01887396033269
2008-03-01,47.4468085106383
2008-04-01,44.15258711721225
2008-05-01,48.95718990120747
2008-06-01,47.124219037118706
2008-07-01,48.791856925418564
2008-08-01,45.350926976920164
2008-09-01,43.72549019607843
2008-10-01,45.57474140807474
2008-11-01,45.49782372143634
2008-12-01,46.88455657492355
2009-01-01,50.44335866811437
2009-02-01,41.01887396033269
2009-03-01,44.48138297872341
2009-04-01,46.11492432242168
2009-05-01,41.81759970728138
2009-06-01,43.026460859977945
2009-07-01,42.42770167427701
2009-08-01,45.350926976920164
2009-09-01,41.73796791443851
2009-10-01,39.99416082749416
2009-11-01,41.453572723975334
2009-12-01,40.49120795107034
2010-01-01,43.38128845457836
2010-02-01,38.34373000639795
2010-03-01,43.49290780141844
2010-04-01,42.19024991200281
2010-05-01,43.85748261983169
2010-06-01,37.904263138552004
2010-07-01,38.18493150684931
2010-08-01,35.85887249337873
2010-09-01,36.769162210338685
2010-10-01,34.41358024691358
2010-11-01,36.39825897714907
2010-12-01,34.09785932721713
2011-01-01,34.30148389431777
2011-02-01,35.66858605246321
2011-03-01,39.53900709219858
2011-04-01,36.303238296374516
2011-05-01,37.73783388218076
2011-06-01,34.830944505696436
2011-07-01,35.00285388127853
2011-08-01,31.640181611804767
2011-09-01,34.78163992869875
2011-10-01,36.273773773773776
2011-11-01,33.365070729053315
2011-12-01,30.901185015290523
2012-01-01,31.27488237423091
2012-02-01,35.66858605246321
2012-03-01,34.59663120567376
2012-04-01,34.34090109116508
2012-05-01,31.618185144529825
2012-06-01,30.73318632855568
2012-07-01,32.881468797564686
2012-08-01,30.585508891411276
2012-09-01,32.794117647058826
2012-10-01,33.48348348348349
2012-11-01,31.34294523032281
2012-12-01,37.29453363914374
2013-01-01,35.31035106768006
2013-02-01,36.56030070377479
2013-03-01,39.53900709219858
2013-04-01,50.039598732840545
2013-05-01,34.67800951335529
2013-06-01,32.782065417126056
2013-07-01,31.82077625570776
2013-08-01,31.640181611804767
2013-09-01,33.78787878787879
2013-10-01,37.203870537203876
2013-11-01,34.376133478418566
2013-12-01,29.83562691131499
2014-01-01,33.292616720955486
2014-02-01,34.77687140115163
2014-03-01,32.61968085106383
2014-04-01,33.35973248856037
2014-05-01,31.618185144529825
2014-06-01,32.782065417126056
2014-07-01,31.82077625570776
2014-08-01,29.530836171017782
2014-09-01,33.78787878787879
2014-10-01,35.34367701034368
2014-11-01,32.35400797968806
2014-12-01,31.96674311926606
2015-01-01,31.27488237423091
2015-02-01,33.88515674984005
2015-03-01,34.59663120567376
2015-04-01,34.34090109116508
2015-05-01,33.658068057080136
2015-06-01,32.782065417126056
2015-07-01,32.881468797564686
2015-08-01,31.640181611804767
2015-09-01,33.78787878787879
2015-10-01,36.273773773773776
2015-11-01,33.365070729053315
2015-12-01,33.032301223241596
2016-01-01,30.266015200868623
2016-02-01,33.88515674984005
2016-03-01,32.61968085106383
2016-04-01,31.39739528335093
2016-05-01,32.63812660080498
2016-06-01,31.757625872840865
2016-07-01,27.57800608828006
2016-08-01,30.585508891411276
2016-09-01,32.794117647058826
2016-10-01,31.623289956623292
2016-11-01,30.33188248095756
2016-12-01,30.901185015290523
2017-01-01,30.266015200868623
2017-02-01,33.88515674984005
2017-03-01,35.58510638297872
2017-04-01,31.39739528335093
2017-05-01,32.63812660080498
2017-06-01,30.73318632855568
2017-07-01,29.69939117199391
2017-08-01,29.530836171017782
2017-09-01,28.819073083778967
2017-10-01,33.48348348348349
2017-11-01,33.365070729053315
2017-12-01,30.901185015290523
2018-01-01,30.266015200868623
2018-02-01,38.34373000639795
2018-03-01,33.608156028368796
2018-04-01,33.35973248856037
2018-05-01,31.618185144529825
2018-06-01,29.708746784270488
2018-07-01,29.69939117199391
2018-08-01,31.640181611804767
2018-09-01,31.80035650623886
2018-10-01,35.34367701034368
2018-11-01,31.34294523032281
2018-12-01,30.901185015290523
2019-01-01,32.283749547593196
2019-02-01,32.10172744721689
2019-03-01,32.61968085106383
2019-04-01,32.37856388595565
2019-05-01,33.658068057080136
2019-06-01,30.73318632855568
2019-07-01,31.82077625570776
2019-08-01,31.640181611804767
2019-09-01,35.775401069518715
2019-10-01,34.41358024691358
2019-11-01,31.34294523032281
2019-12-01,29.83562691131499
2020-01-01,31.27488237423091
2020-02-01,31.210012795905307
2020-03-01,26.688829787234045
2020-04-01,24.529215065117917
2020-05-01,24.478594950603735
2020-06-01,34.830944505696436
