date,beer prices
2004-01-01,64.9628024557602
2004-02-01,77.01310322786833
2004-03-01,67.27965843244891
2004-04-01,92.73224043715847
2004-05-01,53.87301587301587
2004-06-01,48.58486707566462
2004-07-01,51.8960244648318
2004-08-01,51.554430379746826
2004-09-01,43.76899355200449
2004-10-01,60.69598358252711
2004-11-01,70.56133056133056
2004-12-01,48.83453237410072
2005-01-01,46.57710364752618
2005-02-01,45.55704697986577
2005-03-01,57.964013418725216
2005-04-01,62.13060109289617
2005-05-01,51.133709981167605
2005-06-01,45.982106339468295
2005-07-01,47.57135575942915
2005-08-01,42.96202531645569
2005-09-01,70.41098962713765
2005-10-01,65.67106420404573
2005-11-01,61.153153153153156
2005-12-01,56.97362110311751
2006-01-01,62.51137594799567
2006-02-01,62.91211249600511
2006-03-01,64.17444342787435
2006-04-01,51.002732240437155
2006-05-01,58.43852569276298
2006-06-01,50.320040899795494
2006-07-01,45.84148827726809
2006-08-01,43.9167369901547
2006-09-01,53.28399215026633
2006-10-01,55.7209029610085
2006-11-01,59.97713097713098
2006-12-01,61.624528948269955
2007-01-01,53.931383170819785
2007-02-01,59.65803771172899
2007-03-01,56.928941750533696
2007-04-01,51.93005464480874
2007-05-01,63.91713747645951
2007-06-01,59.86349693251533
2007-07-01,52.76095820591233
2007-08-01,48.690295358649784
2007-09-01,57.08999158957107
2007-10-01,67.66109645265318
2007-11-01,70.56133056133056
2007-12-01,62.78725590955807
2008-01-01,63.737089201877936
2008-02-01,61.8274209012464
2008-03-01,57.964013418725216
2008-04-01,63.98524590163934
2008-05-01,66.65644336830778
2008-06-01,52.055214723926376
2008-07-01,40.65188583078491
2008-08-01,49.6450070323488
2008-09-01,48.52649285113541
2008-10-01,70.64614482556435
2008-11-01,63.50519750519751
2008-12-01,63.94998287084618
2009-01-01,52.705669916937524
2009-02-01,62.91211249600511
2009-03-01,64.17444342787435
2009-04-01,62.13060109289617
2009-05-01,62.09093354856066
2009-06-01,64.20143149284253
2009-07-01,59.68042813455657
2009-08-01,67.78452883263009
2009-09-01,68.50798990748528
2009-10-01,61.69099970683084
2009-11-01,58.8011088011088
2009-12-01,63.94998287084618
2010-01-01,60.05994944023113
2010-02-01,56.40396292745286
2010-03-01,56.928941750533696
2010-04-01,56.56666666666666
2010-05-01,56.612321764864134
2010-06-01,58.12832310838445
2010-07-01,51.8960244648318
2010-08-01,57.282700421940916
2010-09-01,54.235492010092514
2010-10-01,51.74083846379361
2010-11-01,49.392931392931395
