date,cost of living calculator
2004-01-01,86.05938864628821
2004-02-01,86.74923547400611
2004-03-01,87.41450432468396
2004-04-01,91.12206572769954
2004-05-01,99.23262839879155
2004-06-01,97.48612471433236
2004-07-01,95.61319244316363
2004-08-01,96.06699834162521
2004-09-01,81.12434691745037
2004-10-01,75.73188405797102
2004-11-01,87.72429378531073
2004-12-01,83.78226711560045
2005-01-01,73.88937409024746
2005-02-01,79.4440366972477
2005-03-01,83.44111776447106
2005-04-01,81.10865191146883
2005-05-01,91.21383014434375
2005-06-01,87.73751224289911
2005-07-01,87.00800512327889
2005-08-01,91.1150912106136
2005-09-01,78.00417972831765
2005-10-01,78.97753623188406
2005-11-01,86.59962335216574
2005-12-01,82.66517022072578
2006-01-01,71.28151382823872
2006-02-01,73.0519877675841
2006-03-01,81.4544244843646
2006-04-01,83.11133467471497
2006-05-01,71.16683450822424
2006-06-01,81.88834476003917
2006-07-01,74.57829010566762
2006-08-01,72.29784411276948
2006-09-01,67.60362243120863
2006-10-01,72.48623188405797
2006-11-01,76.47758945386065
2006-12-01,73.72839506172839
2007-01-01,76.49723435225619
2007-02-01,76.7045871559633
2007-03-01,84.43446440452428
2007-04-01,86.11535881958417
2007-05-01,84.19738167170192
2007-06-01,81.88834476003917
2007-07-01,78.40281780339417
2007-08-01,75.26898839137645
2007-09-01,69.68373389063044
2007-10-01,74.65
2007-11-01,70.8542372881356
2007-12-01,65.90871679760569
2008-01-01,62.58864628820961
2008-02-01,54.788990825688074
2008-03-01,63.574184963406516
2008-04-01,58.077800134138165
2008-05-01,59.13863712655254
2008-06-01,57.51681358145609
2008-07-01,54.499519692603265
2008-08-01,51.49983416252073
2008-09-01,75.92406826889585
2008-10-01,70.32246376811594
2008-11-01,67.48022598870057
2008-12-01,63.674523007856344
2009-01-01,57.37292576419214
2009-02-01,58.441590214067276
2009-03-01,61.587491683300065
2009-04-01,59.079141515761236
2009-05-01,61.14333669016449
2009-06-01,68.24028730003265
2009-07-01,69.79763048350944
2009-08-01,66.35555555555555
2009-09-01,74.88401253918495
2009-10-01,84.38695652173914
2009-11-01,71.9789077212806
2009-12-01,72.61129816685373
2010-01-01,71.28151382823872
2010-02-01,75.7914373088685
2010-03-01,87.41450432468396
2010-04-01,82.10999329309189
2010-05-01,77.18093319906009
2010-06-01,75.06431603003591
2010-07-01,66.92923471021453
2010-08-01,64.37479270315092
2010-09-01,72.80390107976315
2010-10-01,78.97753623188406
2010-11-01,83.2256120527307
2010-12-01,77.07968574635241
2011-01-01,72.15080058224163
2011-02-01,63.007339449541284
2011-03-01,43.70725216234198
2011-04-01,50.06706908115359
2011-05-01,49.115139308492786
2011-06-01,59.46653607574274
2011-07-01,59.28017931476144
2011-08-01,62.39402985074627
2011-09-01,75.92406826889585
2011-10-01,71.40434782608696
2011-11-01,74.22824858757062
2011-12-01,78.19678264122709
2012-01-01,70.41222707423582
2012-02-01,79.4440366972477
2012-03-01,73.50765136393879
2012-04-01,65.08718980549968
2012-05-01,61.14333669016449
2012-06-01,64.34084231145935
2012-07-01,70.75376240794108
2012-08-01,56.451741293532336
2012-09-01,61.363288052943226
2012-10-01,57.33985507246377
2012-11-01,58.48286252354049
2012-12-01,53.62065095398429
2013-01-01,43.46433770014556
2013-02-01,31.960244648318042
2013-03-01,31.787092481703258
2013-04-01,46.06170355466131
2013-05-01,40.09399127223901
2013-06-01,23.396669931439767
2013-07-01,28.683957732949086
2013-08-01,50.50945273631841
2013-09-01,45.76245210727969
