date,groceries prices
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,37.987261146496806
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,30.269721577726216
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,31.867227979274606
2005-03-01,27.932170542635657
2005-04-01,31.65605095541401
2005-05-01,23.40523255813953
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,20.756380510440835
2005-11-01,24.54695121951219
2005-12-01,0.0
2006-01-01,24.706772334293944
2006-02-01,18.347797927461137
2006-03-01,21.189922480620154
2006-04-01,23.742038216560506
2006-05-01,24.27209302325581
2006-06-01,0.0
2006-07-01,24.77136075949367
2006-08-01,21.85504885993485
2006-09-01,0.0
2006-10-01,26.810324825986076
2006-11-01,15.455487804878047
2006-12-01,19.618421052631575
2007-01-01,16.113112391930834
2007-02-01,18.347797927461137
2007-03-01,31.78488372093023
2007-04-01,15.828025477707005
2007-05-01,20.804651162790694
2007-06-01,19.6875
2007-07-01,12.975474683544304
2007-08-01,24.28338762214983
2007-09-01,17.256944444444443
2007-10-01,17.296983758700694
2007-11-01,14.546341463414633
2007-12-01,16.67565789473684
2008-01-01,25.780979827089332
2008-02-01,18.347797927461137
2008-03-01,22.153100775193796
2008-04-01,18.993630573248403
2008-05-01,38.141860465116274
2008-06-01,27.5625
2008-07-01,22.412183544303797
2008-08-01,21.85504885993485
2008-09-01,24.159722222222218
2008-10-01,28.540023201856147
2008-11-01,18.18292682926829
2008-12-01,18.637499999999996
2009-01-01,22.558357348703165
2009-02-01,19.313471502590673
2009-03-01,23.11627906976744
2009-04-01,18.202229299363054
2009-05-01,21.671511627906973
2009-06-01,32.8125
2009-07-01,12.975474683544304
2009-08-01,12.141693811074916
2009-09-01,25.310185185185183
2009-10-01,15.567285382830626
2009-11-01,22.728658536585364
2009-12-01,14.713815789473681
2010-01-01,22.558357348703165
2010-02-01,15.450777202072537
2010-03-01,17.33720930232558
2010-04-01,15.036624203821654
2010-05-01,16.4703488372093
2010-06-01,13.125
2010-07-01,12.975474683544304
2010-08-01,13.355863192182408
2010-09-01,13.805555555555554
2010-10-01,11.243039443155451
2010-11-01,17.273780487804878
2010-12-01,16.67565789473684
2011-01-01,22.558357348703165
2011-02-01,14.485103626943003
2011-03-01,18.300387596899224
2011-04-01,15.828025477707005
2011-05-01,21.671511627906973
2011-06-01,24.9375
2011-07-01,20.053006329113924
2011-08-01,18.212540716612374
2011-09-01,20.70833333333333
2011-10-01,17.296983758700694
2011-11-01,16.364634146341462
2011-12-01,15.69473684210526
2012-01-01,13.964697406340054
2012-02-01,17.382124352331605
2012-03-01,12.521317829457363
2012-04-01,15.036624203821654
2012-05-01,17.33720930232558
2012-06-01,19.6875
2012-07-01,17.69382911392405
2012-08-01,12.141693811074916
2012-09-01,14.956018518518515
2012-10-01,12.107888631090486
2012-11-01,15.455487804878047
2012-12-01,10.790131578947367
2013-01-01,15.038904899135444
2013-02-01,13.519430051813469
2013-03-01,12.521317829457363
2013-04-01,15.036624203821654
2013-05-01,12.136046511627905
2013-06-01,15.75
2013-07-01,12.975474683544304
2013-08-01,15.78420195439739
2013-09-01,14.956018518518515
2013-10-01,11.243039443155451
2013-11-01,14.546341463414633
2013-12-01,12.751973684210524
2014-01-01,15.038904899135444
2014-02-01,14.485103626943003
2014-03-01,10.594961240310077
2014-04-01,11.079617834394902
2014-05-01,14.736627906976741
2014-06-01,11.8125
2014-07-01,12.975474683544304
2014-08-01,12.141693811074916
2014-09-01,12.655092592592592
2014-10-01,12.107888631090486
2014-11-01,11.81890243902439
2014-12-01,11.771052631578947
2015-01-01,13.964697406340054
2015-02-01,12.553756476683937
2015-03-01,10.594961240310077
2015-04-01,9.496815286624201
2015-05-01,11.269186046511626
2015-06-01,13.125
2015-07-01,14.15506329113924
2015-08-01,9.713355048859933
2015-09-01,14.956018518518515
2015-10-01,12.107888631090486
2015-11-01,10.00060975609756
2015-12-01,9.809210526315788
2016-01-01,13.964697406340054
2016-02-01,13.519430051813469
2016-03-01,11.55813953488372
2016-04-01,13.453821656050954
2016-05-01,13.002906976744184
2016-06-01,14.4375
2016-07-01,12.975474683544304
2016-08-01,10.927524429967425
2016-09-01,14.956018518518515
2016-10-01,10.378190255220417
2016-11-01,11.81890243902439
2016-12-01,10.790131578947367
2017-01-01,13.964697406340054
2017-02-01,13.519430051813469
2017-03-01,13.484496124031008
2017-04-01,10.288216560509552
2017-05-01,10.402325581395347
2017-06-01,15.75
2017-07-01,14.15506329113924
2017-08-01,12.141693811074916
2017-09-01,14.956018518518515
2017-10-01,10.378190255220417
2017-11-01,12.728048780487804
2017-12-01,13.732894736842104
2018-01-01,13.964697406340054
2018-02-01,10.622409326424869
2018-03-01,9.631782945736433
2018-04-01,7.914012738853502
2018-05-01,11.269186046511626
2018-06-01,14.4375
2018-07-01,15.334651898734176
2018-08-01,20.640879478827358
2018-09-01,18.407407407407405
2018-10-01,12.107888631090486
2018-11-01,14.546341463414633
2018-12-01,13.732894736842104
2019-01-01,16.113112391930834
2019-02-01,17.382124352331605
2019-03-01,13.484496124031008
2019-04-01,15.036624203821654
2019-05-01,14.736627906976741
2019-06-01,21.0
2019-07-01,14.15506329113924
2019-08-01,10.927524429967425
2019-09-01,12.655092592592592
2019-10-01,11.243039443155451
2019-11-01,10.00060975609756
2019-12-01,9.809210526315788
2020-01-01,12.890489913544666
2020-02-01,10.622409326424869
2020-03-01,13.484496124031008
2020-04-01,11.079617834394902
2020-05-01,10.402325581395347
2020-06-01,10.5
2020-07-01,9.436708860759493
2020-08-01,10.927524429967425
2020-09-01,11.504629629629628
2020-10-01,7.783642691415313
2020-11-01,8.182317073170731
2020-12-01,9.809210526315788
2021-01-01,8.59365994236311
2021-02-01,10.622409326424869
2021-03-01,8.66860465116279
2021-04-01,9.496815286624201
2021-05-01,10.402325581395347
2021-06-01,10.5
2021-07-01,9.436708860759493
2021-08-01,10.927524429967425
2021-09-01,12.655092592592592
2021-10-01,9.513341067285381
2021-11-01,10.00060975609756
2021-12-01,9.809210526315788
2022-01-01,15.038904899135444
2022-02-01,18.347797927461137
2022-03-01,23.11627906976744
2022-04-01,13.453821656050954
2022-05-01,18.204069767441858
2022-06-01,32.8125
2022-07-01,18.873417721518987
2022-08-01,20.640879478827358
2022-09-01,17.256944444444443
2022-10-01,20.756380510440835
2022-11-01,18.18292682926829
2022-12-01,15.69473684210526
2023-01-01,23.632564841498557
2023-02-01,17.382124352331605
2023-03-01,17.33720930232558
2023-04-01,15.036624203821654
2023-05-01,17.33720930232558
2023-06-01,18.375
2023-07-01,16.514240506329113
2023-08-01,20.640879478827358
2023-09-01,25.310185185185183
2023-10-01,15.567285382830626
2023-11-01,19.092073170731705
2023-12-01,18.637499999999996
2024-01-01,19.335734870316998
2024-02-01,23.176165803108805
2024-03-01,23.11627906976744
2024-04-01,18.202229299363054
2024-05-01,17.33720930232558
2024-06-01,23.625
2024-07-01,27.130537974683545
2024-08-01,37.63925081433224
2024-09-01,44.86805555555555
2024-10-01,25.080626450116007
2024-11-01,32.729268292682924
2024-12-01,25.50394736842105
2025-01-01,42.968299711815554
2025-02-01,43.45531088082901
2025-03-01,30.821705426356587
2025-04-01,30.864649681528658
2025-05-01,27.739534883720925
2025-06-01,32.8125
2025-07-01,70.7753164556962
2025-08-01,55.85179153094462
2025-09-01,41.41666666666666
2025-10-01,34.59396751740139
2025-11-01,54.548780487804876
2025-12-01,98.09210526315788
