date,monthly expenses
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,12.162703962703963
2004-05-01,15.104356636271529
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,14.501945525291827
2004-09-01,0.0
2004-10-01,11.569006685768864
2004-11-01,10.845767195767195
2004-12-01,14.56672250139587
2005-01-01,12.100649350649348
2005-02-01,14.383019778099372
2005-03-01,13.969265367316343
2005-04-01,10.425174825174825
2005-05-01,9.440222897669706
2005-06-01,15.771809895833332
2005-07-01,14.41779497098646
2005-08-01,12.084954604409857
2005-09-01,10.69300991131977
2005-10-01,10.679083094555875
2005-11-01,7.887830687830688
2005-12-01,11.445281965382469
2006-01-01,14.11742424242424
2006-02-01,10.787264833574529
2006-03-01,7.450274862568716
2006-04-01,13.031468531468532
2006-05-01,13.216312056737587
2006-06-01,14.55859375
2006-07-01,15.61927788523533
2006-08-01,13.293450064850843
2006-09-01,9.720918101199791
2006-10-01,10.679083094555875
2006-11-01,7.887830687830688
2006-12-01,9.364321608040202
2007-01-01,18.150974025974023
2007-02-01,10.787264833574529
2007-03-01,13.969265367316343
2007-04-01,15.637762237762237
2007-05-01,12.272289766970617
2007-06-01,15.771809895833332
2007-07-01,16.820760799484205
2007-08-01,15.710440985732813
2007-09-01,12.637193531559728
2007-10-01,11.569006685768864
2007-11-01,14.78968253968254
2007-12-01,12.485762144053602
2008-01-01,20.167748917748916
2008-02-01,16.180897250361795
2008-03-01,14.900549725137433
2008-04-01,13.9002331002331
2008-05-01,16.99240121580547
2008-06-01,18.1982421875
2008-07-01,16.820760799484205
2008-08-01,15.710440985732813
2008-09-01,14.581377151799686
2008-10-01,15.12870105062082
2008-11-01,12.817724867724868
2008-12-01,14.56672250139587
2009-01-01,16.134199134199132
2009-02-01,17.079835986493006
2009-03-01,17.694402798600702
2009-04-01,18.244055944055944
2009-05-01,16.0483789260385
2009-06-01,19.411458333333332
2009-07-01,24.029658284977433
2009-08-01,20.544422827496756
2009-09-01,17.497652582159624
2009-10-01,16.9085482330468
2009-11-01,19.719576719576718
2009-12-01,17.688163037409268
2010-01-01,21.17613636363636
2010-02-01,18.877713458755427
2010-03-01,22.35082458770615
2010-04-01,20.85034965034965
2010-05-01,18.880445795339412
2010-06-01,20.624674479166664
2010-07-01,19.223726627981947
2010-08-01,18.127431906614785
2010-09-01,16.525560772039643
2010-10-01,13.348853868194842
2010-11-01,16.761640211640213
2010-12-01,16.647682858738136
2011-01-01,22.184523809523807
2011-02-01,20.675590931017847
2011-03-01,17.694402798600702
2011-04-01,18.244055944055944
2011-05-01,20.768490374873352
2011-06-01,21.837890625
2011-07-01,22.828175370728562
2011-08-01,19.33592736705577
2011-09-01,16.525560772039643
2011-10-01,16.9085482330468
2011-11-01,18.733597883597884
2011-12-01,19.76912339475154
2012-01-01,21.17613636363636
2012-02-01,16.180897250361795
2012-03-01,20.48825587206397
2012-04-01,18.244055944055944
2012-05-01,19.824468085106382
2012-06-01,25.4775390625
2012-07-01,22.828175370728562
2012-08-01,21.752918287937742
2012-09-01,20.41392801251956
2012-10-01,16.9085482330468
2012-11-01,17.747619047619047
2012-12-01,16.647682858738136
2013-01-01,23.192911255411254
2013-02-01,18.877713458755427
2013-03-01,19.556971514242882
2013-04-01,19.98158508158508
2013-05-01,19.824468085106382
2013-06-01,23.051106770833332
2013-07-01,22.828175370728562
2013-08-01,25.3784046692607
2013-09-01,19.441836202399582
2013-10-01,19.578319006685767
2013-11-01,19.719576719576718
2013-12-01,17.688163037409268
2014-01-01,24.201298701298697
2014-02-01,20.675590931017847
2014-03-01,21.419540229885058
2014-04-01,21.719114219114218
2014-05-01,22.65653495440729
2014-06-01,24.264322916666664
2014-07-01,25.231141199226304
2014-08-01,21.752918287937742
2014-09-01,21.38601982263954
2014-10-01,19.578319006685767
2014-11-01,18.733597883597884
2014-12-01,20.80960357342267
2015-01-01,25.209686147186144
2015-02-01,22.47346840328027
2015-03-01,22.35082458770615
2015-04-01,20.85034965034965
2015-05-01,22.65653495440729
2015-06-01,25.4775390625
2015-07-01,25.231141199226304
2015-08-01,24.169909208819714
2015-09-01,25.274387063119455
2015-10-01,20.468242597898758
2015-11-01,22.677513227513227
2015-12-01,21.850083752093802
2016-01-01,24.201298701298697
2016-02-01,26.069223347805114
2016-03-01,27.007246376811597
2016-04-01,26.062937062937063
2016-05-01,24.544579533941235
2016-06-01,25.4775390625
2016-07-01,22.828175370728562
2016-08-01,22.961413748378728
2016-09-01,22.358111632759517
2016-10-01,24.027936962750715
2016-11-01,22.677513227513227
2016-12-01,23.931044109436073
2017-01-01,27.226461038961038
2017-02-01,30.563917028461166
2017-03-01,29.801099450274865
2017-04-01,28.66923076923077
2017-05-01,29.264690982776088
2017-06-01,26.690755208333332
2017-07-01,27.63410702772405
2017-08-01,26.586900129701686
2017-09-01,24.302295252999475
2017-10-01,27.587631327602672
2017-11-01,26.62142857142857
2017-12-01,24.971524288107204
2018-01-01,27.226461038961038
2018-02-01,30.563917028461166
2018-03-01,28.869815092453777
2018-04-01,29.537995337995337
2018-05-01,30.208713272543058
2018-06-01,30.330403645833332
2018-07-01,28.83558994197292
2018-08-01,27.79539559014267
2018-09-01,27.218570683359413
2018-10-01,28.477554918815663
2018-11-01,26.62142857142857
2018-12-01,27.05248464544947
2019-01-01,32.268398268398265
2019-02-01,31.462855764592376
2019-03-01,32.59495252373814
2019-04-01,29.537995337995337
2019-05-01,31.152735562310028
2019-06-01,29.1171875
2019-07-01,28.83558994197292
2019-08-01,26.586900129701686
2019-09-01,30.134846113719348
2019-10-01,29.367478510028654
2019-11-01,29.57936507936508
2019-12-01,23.931044109436073
2020-01-01,32.268398268398265
2020-02-01,33.2607332368548
2020-03-01,28.869815092453777
2020-04-01,29.537995337995337
2020-05-01,28.320668693009118
2020-06-01,33.97005208333333
2020-07-01,32.44003868471953
2020-08-01,31.420881971465626
2020-09-01,37.91158059467918
2020-10-01,37.37679083094556
2020-11-01,31.55132275132275
2020-12-01,30.17392518146287
2021-01-01,32.268398268398265
2021-02-01,35.05861070911722
2021-03-01,34.45752123938031
2021-04-01,31.275524475524474
2021-05-01,34.92882472137791
2021-06-01,33.97005208333333
2021-07-01,27.63410702772405
2021-08-01,29.003891050583654
2021-09-01,32.07902973395931
2021-10-01,30.25740210124164
2021-11-01,33.523280423280426
2021-12-01,32.25488553880514
2022-01-01,41.343885281385276
2022-02-01,47.64375301495417
2022-03-01,54.014492753623195
2022-04-01,55.6009324009324
2022-05-01,52.86524822695035
2022-06-01,42.462565104166664
2022-07-01,38.44745325596389
2022-08-01,45.922827496757456
2022-09-01,45.68831507563901
2022-10-01,50.7256446991404
2022-11-01,49.2989417989418
2022-12-01,44.74064768285874
2023-01-01,53.444534632034625
2023-02-01,57.53207911239749
2023-03-01,59.60219890054973
2023-04-01,53.863403263403264
2023-05-01,54.75329280648429
2023-06-01,44.88899739583333
2023-07-01,43.253384912959376
2023-08-01,48.33981841763943
2023-09-01,61.24178403755868
2023-10-01,58.73495702005731
2023-11-01,60.14470899470899
2023-12-01,57.226409826912345
2024-01-01,66.55357142857142
2024-02-01,71.01616015436565
2024-03-01,67.05247376311844
2024-04-01,68.63240093240093
2024-05-01,66.08156028368793
2024-06-01,58.234375
2024-07-01,49.26079948420374
2024-08-01,53.17380025940337
2024-09-01,69.9906103286385
2024-10-01,67.6341929321872
2024-11-01,63.1026455026455
2024-12-01,59.30737018425461
2025-01-01,66.55357142857142
2025-02-01,71.01616015436565
2025-03-01,67.05247376311844
2025-04-01,65.15734265734265
2025-05-01,61.361448834853086
2025-06-01,71.57975260416666
2025-07-01,96.11863313990973
2025-08-01,87.01167315175097
2025-09-01,85.54407929055816
2025-10-01,83.65281757402101
2025-11-01,89.72407407407407
2025-12-01,104.04801786711334
