date,rent prices
2004-01-01,18.46768982229402
2004-02-01,15.901930099113196
2004-03-01,13.51241134751773
2004-04-01,22.348973607038122
2004-05-01,22.8447242206235
2004-06-01,12.249381800197824
2004-07-01,15.445517405817835
2004-08-01,15.340177133655397
2004-09-01,17.10662177328844
2004-10-01,14.161377930245855
2004-11-01,13.488495575221236
2004-12-01,16.091638513513512
2005-01-01,17.441707054388797
2005-02-01,15.901930099113196
2005-03-01,20.268617021276597
2005-04-01,20.486559139784944
2005-05-01,18.275779376498804
2005-06-01,17.90294263105836
2005-07-01,18.17119694802098
2005-08-01,18.408212560386474
2005-09-01,19.244949494949495
2005-10-01,17.42938822184105
2005-11-01,17.98466076696165
2005-12-01,12.87331081081081
2006-01-01,17.441707054388797
2006-02-01,19.877412623891495
2006-03-01,18.338272543059777
2006-04-01,20.486559139784944
2006-05-01,20.10335731414868
2006-06-01,15.076162215628091
2006-07-01,15.445517405817835
2006-08-01,16.362855609232422
2006-09-01,18.175785634118967
2006-10-01,18.51872498570612
2006-11-01,16.860619469026545
2006-12-01,12.87331081081081
2007-01-01,16.415724286483574
2007-02-01,15.901930099113196
2007-03-01,21.233789260385006
2007-04-01,17.69293743890518
2007-05-01,20.10335731414868
2007-06-01,18.845202769535113
2007-07-01,16.354077253218883
2007-08-01,17.38553408480945
2007-09-01,17.10662177328844
2007-10-01,19.608061749571185
2007-11-01,20.232743362831854
2007-12-01,18.237190315315313
2008-01-01,23.597603661820138
2008-02-01,21.865153886280645
2008-03-01,21.233789260385006
2008-04-01,22.348973607038122
2008-05-01,22.8447242206235
2008-06-01,19.78746290801187
2008-07-01,21.805436337625178
2008-08-01,19.4308910359635
2008-09-01,22.452441077441076
2008-10-01,22.87607204116638
2008-11-01,24.728908554572268
2008-12-01,22.528293918918916
2009-01-01,25.649569197630584
2009-02-01,28.822248304642667
2009-03-01,27.02482269503546
2009-04-01,24.2113880742913
2009-05-01,23.758513189448443
2009-06-01,24.498763600395648
2009-07-01,23.622556032427276
2009-08-01,23.521604938271608
2009-09-01,21.383277216610548
2009-10-01,23.965408805031444
2009-11-01,26.976991150442473
2009-12-01,25.74662162162162
2010-01-01,27.70153473344103
2010-02-01,27.82837767344809
2010-03-01,26.059650455927052
2010-04-01,26.073802541544474
2010-05-01,26.499880095923263
2010-06-01,22.61424332344214
2010-07-01,23.622556032427276
2010-08-01,24.544283413848632
2010-09-01,22.452441077441076
2010-10-01,21.786735277301315
2010-11-01,23.604867256637164
2010-12-01,23.601069819819816
2011-01-01,31.805465805061925
2011-02-01,27.82837767344809
2011-03-01,28.95516717325228
2011-04-01,28.867424242424242
2011-05-01,31.068824940047964
2011-06-01,30.152324431256183
2011-07-01,29.98247496423462
2011-08-01,30.680354267310793
2011-09-01,31.005751964085295
2011-10-01,28.32275586049171
2011-11-01,29.22507374631268
2011-12-01,25.74662162162162
2012-01-01,29.75350026925148
2012-02-01,30.809989567031817
2012-03-01,28.95516717325228
2012-04-01,31.661045943304007
2012-05-01,31.068824940047964
2012-06-01,31.094584569732937
2012-07-01,29.07391511683357
2012-08-01,30.680354267310793
2012-09-01,29.936588103254767
2012-10-01,28.32275586049171
2012-11-01,25.852949852507372
2012-12-01,23.601069819819816
2013-01-01,27.70153473344103
2013-02-01,28.822248304642667
2013-03-01,29.92033941236069
2013-04-01,29.79863147605083
2013-05-01,29.241247002398083
2013-06-01,32.03684470820969
2013-07-01,29.07391511683357
2013-08-01,33.74838969404187
2013-09-01,28.86742424242424
2013-10-01,28.32275586049171
2013-11-01,25.852949852507372
2013-12-01,26.81939752252252
2014-01-01,32.83144857296715
2014-02-01,30.809989567031817
2014-03-01,29.92033941236069
2014-04-01,32.5922531769306
2014-05-01,31.982613908872903
2014-06-01,30.152324431256183
2014-07-01,30.89103481163567
2014-08-01,29.657675791733766
2014-09-01,28.86742424242424
2014-10-01,29.412092624356774
2014-11-01,28.101032448377577
2014-12-01,28.964949324324323
2015-01-01,33.857431340872374
2015-02-01,28.822248304642667
2015-03-01,32.81585612968592
2015-04-01,30.729838709677416
2015-05-01,32.896402877697845
2015-06-01,32.97910484668645
2015-07-01,34.52527420123987
2015-08-01,34.7710681696189
2015-09-01,34.21324354657688
2015-10-01,31.590766152086907
2015-11-01,32.59719764011799
2015-12-01,28.964949324324323
2016-01-01,34.88341410877759
2016-02-01,34.785472091810114
2016-03-01,34.746200607902736
2016-04-01,34.45466764418377
2016-05-01,33.810191846522784
2016-06-01,34.86362512363996
2016-07-01,32.708154506437765
2016-08-01,31.703032742887817
2016-09-01,33.14407968574635
2016-10-01,32.68010291595197
2016-11-01,31.473156342182886
2016-12-01,28.964949324324323
2017-01-01,32.83144857296715
2017-02-01,33.79160146061554
2017-03-01,32.81585612968592
2017-04-01,33.523460410557185
2017-05-01,31.068824940047964
2017-06-01,34.86362512363996
2017-07-01,34.52527420123987
2017-08-01,32.725711218464845
2017-09-01,32.07491582491582
2017-10-01,33.76943967981704
2017-11-01,32.59719764011799
2017-12-01,30.037725225225223
2018-01-01,32.83144857296715
2018-02-01,31.803860198226392
2018-03-01,32.81585612968592
2018-04-01,31.661045943304007
2018-05-01,32.896402877697845
2018-06-01,32.97910484668645
2018-07-01,33.616714353838816
2018-08-01,33.74838969404187
2018-09-01,34.21324354657688
2018-10-01,32.68010291595197
2018-11-01,33.72123893805309
2018-12-01,28.964949324324323
2019-01-01,32.83144857296715
2019-02-01,31.803860198226392
2019-03-01,30.8855116514691
2019-04-01,29.79863147605083
2019-05-01,32.896402877697845
2019-06-01,32.03684470820969
2019-07-01,29.07391511683357
2019-08-01,29.657675791733766
2019-09-01,31.005751964085295
2019-10-01,29.412092624356774
2019-11-01,26.976991150442473
2019-12-01,24.673845720720717
2020-01-01,29.75350026925148
2020-02-01,28.822248304642667
2020-03-01,23.164133738601823
2020-04-01,24.2113880742913
2020-05-01,27.413669064748202
2020-06-01,28.26780415430267
2020-07-01,27.256795422031473
2020-08-01,27.612318840579714
2020-09-01,28.86742424242424
2020-10-01,29.412092624356774
2020-11-01,25.852949852507372
2020-12-01,24.673845720720717
2021-01-01,27.70153473344103
2021-02-01,27.82837767344809
2021-03-01,28.95516717325228
2021-04-01,31.661045943304007
2021-05-01,30.155035971223022
2021-06-01,31.094584569732937
2021-07-01,32.708154506437765
2021-08-01,34.7710681696189
2021-09-01,32.07491582491582
2021-10-01,32.68010291595197
2021-11-01,33.72123893805309
2021-12-01,27.892173423423422
2022-01-01,37.961362412493266
2022-02-01,42.736437141366714
2022-03-01,45.36309523809524
2022-04-01,40.0419110459433
2022-05-01,40.20671462829736
2022-06-01,44.286226508407516
2022-07-01,39.97663328564616
2022-08-01,37.83910359634998
2022-09-01,41.69739057239057
2022-10-01,44.66280731846769
2022-11-01,34.8452802359882
2022-12-01,32.183277027027025
2023-01-01,34.88341410877759
2023-02-01,35.77934272300469
2023-03-01,33.781028368794324
2023-04-01,34.45466764418377
2023-05-01,31.982613908872903
2023-06-01,33.92136498516321
2023-07-01,32.708154506437765
2023-08-01,33.74838969404187
2023-09-01,36.35157126823793
2023-10-01,38.1267867352773
2023-11-01,34.8452802359882
2023-12-01,33.256052927927925
2024-01-01,31.805465805061925
2024-02-01,34.785472091810114
2024-03-01,37.641717325227965
2024-04-01,33.523460410557185
2024-05-01,31.068824940047964
2024-06-01,33.92136498516321
2024-07-01,29.07391511683357
2024-08-01,33.74838969404187
2024-09-01,35.282407407407405
2024-10-01,38.1267867352773
2024-11-01,37.0933628318584
2024-12-01,31.110501126126124
2025-01-01,36.93537964458804
2025-02-01,39.75482524778299
2025-03-01,36.67654508611955
2025-04-01,34.45466764418377
2025-05-01,32.896402877697845
2025-06-01,41.45944609297725
2025-07-01,55.422150691464
2025-08-01,44.99785292538916
2025-09-01,39.55906285072951
2025-10-01,39.21612349914237
2025-11-01,58.45014749262536
2025-12-01,107.27759009009009
