date,coffee price
2004-01-01,4.541899441340782
2004-02-01,2.1622340425531914
2004-03-01,2.336206896551724
2004-04-01,4.593220338983051
2004-05-01,4.619318181818182
2004-06-01,3.6079881656804735
2004-07-01,1.790748898678414
2004-08-01,3.313858695652174
2004-09-01,3.064070351758794
2004-10-01,3.0487499999999996
2004-11-01,3.5533216783216783
2004-12-01,3.6294642857142856
2005-01-01,3.406424581005586
2005-02-01,4.324468085106383
2005-03-01,4.672413793103448
2005-04-01,3.444915254237288
2005-05-01,3.4644886363636362
2005-06-01,3.6079881656804735
2005-07-01,2.6861233480176208
2005-08-01,3.313858695652174
2005-09-01,4.085427135678392
2005-10-01,4.0649999999999995
2005-11-01,2.8426573426573425
2005-12-01,2.1776785714285714
2006-01-01,3.406424581005586
2006-02-01,3.2433510638297873
2006-03-01,3.5043103448275863
2006-04-01,2.2966101694915255
2006-05-01,3.4644886363636362
2006-06-01,3.6079881656804735
2006-07-01,1.790748898678414
2006-08-01,2.2092391304347827
2006-09-01,3.064070351758794
2006-10-01,3.0487499999999996
2006-11-01,2.8426573426573425
2006-12-01,2.1776785714285714
2007-01-01,4.541899441340782
2007-02-01,3.2433510638297873
2007-03-01,3.5043103448275863
2007-04-01,3.444915254237288
2007-05-01,4.619318181818182
2007-06-01,2.405325443786982
2007-07-01,2.6861233480176208
2007-08-01,3.313858695652174
2007-09-01,3.064070351758794
2007-10-01,4.0649999999999995
2007-11-01,2.8426573426573425
2007-12-01,2.9035714285714285
2008-01-01,3.406424581005586
2008-02-01,4.324468085106383
2008-03-01,4.672413793103448
2008-04-01,4.593220338983051
2008-05-01,4.619318181818182
2008-06-01,4.810650887573964
2008-07-01,2.6861233480176208
2008-08-01,3.313858695652174
2008-09-01,4.085427135678392
2008-10-01,4.0649999999999995
2008-11-01,3.5533216783216783
2008-12-01,3.6294642857142856
2009-01-01,4.541899441340782
2009-02-01,4.324468085106383
2009-03-01,4.672413793103448
2009-04-01,4.593220338983051
2009-05-01,4.619318181818182
2009-06-01,4.810650887573964
2009-07-01,3.581497797356828
2009-08-01,3.313858695652174
2009-09-01,4.085427135678392
2009-10-01,5.081249999999999
2009-11-01,4.263986013986013
2009-12-01,5.08125
2010-01-01,5.677374301675977
2010-02-01,5.405585106382978
2010-03-01,5.8405172413793105
2010-04-01,5.741525423728814
2010-05-01,5.774147727272727
2010-06-01,4.810650887573964
2010-07-01,3.581497797356828
2010-08-01,4.418478260869565
2010-09-01,4.085427135678392
2010-10-01,5.081249999999999
2010-11-01,4.263986013986013
2010-12-01,5.08125
