date,grocery inflation
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,16.943548387096772
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,0.0
2010-04-01,0.0
2010-05-01,0.0
2010-06-01,0.0
2010-07-01,0.0
2010-08-01,0.0
2010-09-01,0.0
2010-10-01,0.0
2010-11-01,0.0
2010-12-01,0.0
2011-01-01,0.0
2011-02-01,0.0
2011-03-01,0.0
2011-04-01,0.0
2011-05-01,0.0
2011-06-01,0.0
2011-07-01,0.0
2011-08-01,0.0
2011-09-01,0.0
2011-10-01,5.174876847290641
2011-11-01,0.0
2011-12-01,0.0
2012-01-01,0.0
2012-02-01,0.0
2012-03-01,0.0
2012-04-01,0.0
2012-05-01,0.0
2012-06-01,0.0
2012-07-01,0.0
2012-08-01,0.0
2012-09-01,5.050480769230769
2012-10-01,0.0
2012-11-01,3.419596354166666
2012-12-01,0.0
2013-01-01,0.0
2013-02-01,0.0
2013-03-01,0.0
2013-04-01,0.0
2013-05-01,0.0
2013-06-01,0.0
2013-07-01,4.731981981981981
2013-08-01,0.0
2013-09-01,0.0
2013-10-01,0.0
2013-11-01,0.0
2013-12-01,0.0
2014-01-01,0.0
2014-02-01,0.0
2014-03-01,0.0
2014-04-01,0.0
2014-05-01,0.0
2014-06-01,0.0
2014-07-01,0.0
2014-08-01,0.0
2014-09-01,0.0
2014-10-01,3.4499178981937604
2014-11-01,0.0
2014-12-01,3.350877192982456
2015-01-01,0.0
2015-02-01,0.0
2015-03-01,0.0
2015-04-01,0.0
2015-05-01,0.0
2015-06-01,0.0
2015-07-01,0.0
2015-08-01,0.0
2015-09-01,0.0
2015-10-01,0.0
2015-11-01,0.0
2015-12-01,0.0
2016-01-01,0.0
2016-02-01,0.0
2016-03-01,3.4330065359477127
2016-04-01,5.647849462365591
2016-05-01,0.0
2016-06-01,0.0
2016-07-01,0.0
2016-08-01,0.0
2016-09-01,0.0
2016-10-01,0.0
2016-11-01,4.787434895833333
2016-12-01,4.18859649122807
2017-01-01,6.682569974554707
2017-02-01,0.0
2017-03-01,4.5773420479302835
2017-04-01,5.647849462365591
2017-05-01,3.3887096774193544
2017-06-01,0.0
2017-07-01,0.0
2017-08-01,0.0
2017-09-01,0.0
2017-10-01,0.0
2017-11-01,6.155273437499999
2017-12-01,0.0
2018-01-01,0.0
2018-02-01,4.1439842209072975
2018-03-01,4.5773420479302835
2018-04-01,8.471774193548386
2018-05-01,3.3887096774193544
2018-06-01,5.428940568475452
2018-07-01,0.0
2018-08-01,0.0
2018-09-01,5.050480769230769
2018-10-01,2.5874384236453203
2018-11-01,3.419596354166666
2018-12-01,0.0
2019-01-01,0.0
2019-02-01,4.1439842209072975
2019-03-01,4.5773420479302835
2019-04-01,7.530465949820788
2019-05-01,0.0
2019-06-01,0.0
2019-07-01,3.548986486486486
2019-08-01,0.0
2019-09-01,2.5252403846153846
2019-10-01,4.3123973727422005
2019-11-01,3.419596354166666
2019-12-01,0.0
2020-01-01,0.0
2020-02-01,6.215976331360946
2020-03-01,5.721677559912854
2020-04-01,7.530465949820788
2020-05-01,6.777419354838709
2020-06-01,6.786175710594316
2020-07-01,3.548986486486486
2020-08-01,3.4107142857142856
2020-09-01,6.733974358974359
2020-10-01,4.3123973727422005
2020-11-01,6.155273437499999
2020-12-01,2.513157894736842
2021-01-01,4.009541984732825
2021-02-01,9.32396449704142
2021-03-01,5.721677559912854
2021-04-01,7.530465949820788
2021-05-01,10.166129032258063
2021-06-01,13.572351421188632
2021-07-01,7.097972972972972
2021-08-01,7.958333333333333
2021-09-01,6.733974358974359
2021-10-01,16.387110016420362
2021-11-01,16.4140625
2021-12-01,10.052631578947368
2022-01-01,34.74936386768448
2022-02-01,30.043885601577905
2022-03-01,40.05174291938998
2022-04-01,30.12186379928315
2022-05-01,40.66451612903225
2022-06-01,48.86046511627907
2022-07-01,29.574887387387385
2022-08-01,29.55952380952381
2022-09-01,30.302884615384613
2022-10-01,33.63669950738917
2022-11-01,21.201497395833332
2022-12-01,20.105263157894736
2023-01-01,45.44147582697201
2023-02-01,39.36785009861933
2023-03-01,30.897058823529413
2023-04-01,24.47401433691756
2023-05-01,24.8505376344086
2023-06-01,25.7874677002584
2023-07-01,18.927927927927925
2023-08-01,23.875
2023-09-01,22.72716346153846
2023-10-01,27.599343185550083
2023-11-01,19.149739583333332
2023-12-01,30.157894736842103
2024-01-01,40.095419847328245
2024-02-01,36.259861932938854
2024-03-01,45.773420479302835
2024-04-01,42.35887096774193
2024-05-01,40.66451612903225
2024-06-01,39.35981912144703
2024-07-01,44.95382882882882
2024-08-01,56.845238095238095
2024-09-01,53.03004807692307
2024-10-01,32.774220032840724
2024-11-01,27.35677083333333
2024-12-01,20.94298245614035
2025-01-01,44.10496183206107
2025-02-01,45.58382642998027
2025-03-01,29.752723311546845
2025-04-01,35.76971326164874
2025-05-01,28.239247311827953
2025-06-01,35.28811369509044
2025-07-01,62.698761261261254
2025-08-01,53.43452380952381
2025-09-01,42.92908653846153
2025-10-01,44.848932676518885
2025-11-01,63.60449218749999
2025-12-01,83.7719298245614
