date,budgeting
2004-01-01,69.65238879736408
2004-02-01,74.94258212170166
2004-03-01,88.05732138005976
2004-04-01,73.18061811811812
2004-05-01,75.4686766431925
2004-06-01,88.42133204633204
2004-07-01,93.3820548799501
2004-08-01,79.99810785241247
2004-09-01,68.18536972848065
2004-10-01,73.81506849315069
2004-11-01,75.28311965811966
2004-12-01,78.22582529944492
2005-01-01,72.55457166392092
2005-02-01,78.73714324178783
2005-03-01,77.52872860635696
2005-04-01,77.58908908908909
2005-05-01,75.4686766431925
2005-06-01,75.951657014157
2005-07-01,73.60703149360774
2005-08-01,75.55376852727845
2005-09-01,71.23844598497978
2005-10-01,65.29794520547945
2005-11-01,65.8727297008547
2005-12-01,54.55222027461291
2006-01-01,62.88062877539813
2006-02-01,59.764337641357024
2006-03-01,60.30012224938875
2006-04-01,58.19181681681681
2006-05-01,63.06286678403757
2006-06-01,61.21476833976834
2006-07-01,65.91674462114125
2006-08-01,58.88749605802585
2006-09-01,58.00844887348354
2006-10-01,62.45890410958904
2006-11-01,55.52130074786325
2006-12-01,59.698656149576394
2007-01-01,64.81541735310269
2007-02-01,60.71297792137857
2007-03-01,59.342977451779404
2007-04-01,56.428428428428425
2007-05-01,62.029049295774655
2007-06-01,65.74919562419562
2007-07-01,60.42368256937948
2007-08-01,62.22075055187637
2007-09-01,59.02614095898325
2007-10-01,64.35159817351598
2007-11-01,60.22649572649573
2007-12-01,57.640081799591
2008-01-01,59.978445908841294
2008-02-01,54.07249596122779
2008-03-01,56.47154305895137
2008-04-01,56.428428428428425
2008-05-01,51.69087441314555
2008-06-01,58.94755469755469
2008-07-01,61.52229497973184
2008-08-01,57.77641122674235
2008-09-01,58.00844887348354
2008-10-01,59.619863013698634
2008-11-01,55.52130074786325
2008-12-01,55.5815074496056
2009-01-01,55.1414744645799
2009-02-01,56.91841680129241
2009-03-01,57.428687856560714
2009-04-01,53.783345845845844
2009-05-01,48.589421948356815
2009-06-01,57.81394787644788
2009-07-01,54.93062051761771
2009-08-01,54.44315673289183
2009-09-01,51.902296360485266
2009-10-01,51.1027397260274
2009-11-01,53.639222756410255
2009-12-01,49.40578439964943
2010-01-01,50.304503020318506
2010-02-01,51.226575121163165
2010-03-01,52.64296386851399
2010-04-01,51.13826326326326
2010-05-01,54.79232687793428
2010-06-01,53.27952059202059
2010-07-01,46.14172123479888
2010-08-01,49.9988174077578
2010-09-01,45.796143847487
2010-10-01,45.42465753424658
2010-11-01,45.169871794871796
2010-12-01,44.25934852468595
2011-01-01,52.239291598023065
2011-02-01,47.43201400107701
2011-03-01,46.900095082857916
2011-04-01,47.611486486486484
2011-05-01,48.589421948356815
2011-06-01,49.87870012870013
2011-07-01,50.536170876208296
2011-08-01,52.22098707032481
2011-09-01,46.81383593298671
2011-10-01,46.37100456621005
2011-11-01,43.28779380341881
2011-12-01,42.200774174700555
2012-01-01,41.597954420647994
2012-02-01,41.740172320947764
2012-03-01,41.157226297201845
2012-04-01,42.32132132132132
2012-05-01,47.5556044600939
2012-06-01,43.0770592020592
2012-07-01,42.845884003741816
2012-08-01,39.99905392620624
2012-09-01,42.74306759098787
2012-10-01,40.69292237442922
2012-11-01,41.40571581196581
2012-12-01,41.17148699970785
2013-01-01,42.56534870950028
2013-02-01,41.740172320947764
2013-03-01,41.157226297201845
2013-04-01,41.439627127127125
2013-05-01,43.42033450704226
2013-06-01,43.0770592020592
2013-07-01,41.74727159338946
2013-08-01,43.33230842005676
2013-09-01,41.72537550548816
2013-10-01,37.853881278538815
2013-11-01,40.46467681623932
2013-12-01,42.200774174700555
2014-01-01,40.63056013179572
2014-02-01,40.79153204092623
2014-03-01,40.2000814995925
2014-04-01,44.084709709709706
2014-05-01,48.589421948356815
2014-06-01,47.611486486486484
2014-07-01,48.338946055503584
2014-08-01,42.221223588773256
2014-09-01,42.74306759098787
2014-10-01,42.58561643835617
2014-11-01,42.34675480769231
2014-12-01,42.200774174700555
2015-01-01,40.63056013179572
2015-02-01,40.79153204092623
2015-03-01,44.985805487639226
2015-04-01,44.9664039039039
2015-05-01,43.42033450704226
2015-06-01,47.611486486486484
2015-07-01,43.94449641409417
2015-08-01,44.44339325134027
2015-09-01,42.74306759098787
2015-10-01,43.53196347031964
2015-11-01,49.87506677350427
2015-12-01,44.25934852468595
2016-01-01,36.7609829763866
2016-02-01,40.79153204092623
2016-03-01,43.071515892420535
2016-04-01,44.9664039039039
2016-05-01,41.35269953051644
2016-06-01,38.542631917631915
2016-07-01,39.55004677268475
2016-08-01,42.221223588773256
2016-09-01,38.67229924898902
2016-10-01,39.74657534246575
2016-11-01,42.34675480769231
2016-12-01,44.25934852468595
2017-01-01,45.46753157605711
2017-02-01,49.329294561120086
2017-03-01,45.94295028524857
2017-04-01,47.611486486486484
2017-05-01,46.52178697183099
2017-06-01,41.94345238095238
2017-07-01,41.74727159338946
2017-08-01,41.11013875748974
2017-09-01,42.74306759098787
2017-10-01,49.210045662100455
2017-11-01,47.992988782051285
2017-12-01,41.17148699970785
2018-01-01,43.53274299835255
2018-02-01,46.483373721055465
2018-03-01,48.81438467807661
2018-04-01,50.256569069069066
2018-05-01,47.5556044600939
2018-06-01,40.809845559845556
2018-07-01,41.74727159338946
2018-08-01,45.554478082623774
2018-09-01,45.796143847487
2018-10-01,48.263698630136986
2018-11-01,45.169871794871796
2018-12-01,45.28863569967864
2019-01-01,48.36971444261395
2019-02-01,44.586093161012386
2019-03-01,44.985805487639226
2019-04-01,48.49318068068068
2019-05-01,46.52178697183099
2019-06-01,46.47787966537967
2019-07-01,46.14172123479888
2019-08-01,44.44339325134027
2019-09-01,51.902296360485266
2019-10-01,47.317351598173516
2019-11-01,47.992988782051285
2019-12-01,48.37649722465673
2020-01-01,55.1414744645799
2020-02-01,50.27793484114162
2020-03-01,39.242936701983155
2020-04-01,42.32132132132132
2020-05-01,40.31888204225353
2020-06-01,38.542631917631915
2020-07-01,40.648659183037104
2020-08-01,41.11013875748974
2020-09-01,44.77845176198729
2020-10-01,42.58561643835617
2020-11-01,37.64155982905983
2020-12-01,40.142199824715156
2021-01-01,37.728377265238876
2021-02-01,35.099690360796984
2021-03-01,36.37150230915512
2021-04-01,37.91285035035035
2021-05-01,38.2512470657277
2021-06-01,36.275418275418275
2021-07-01,35.155597131275336
2021-08-01,35.55471460107221
2021-09-01,39.68999133448873
