date,clothing inflation
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,4.906862745098039
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,0.0
2010-04-01,0.0
2010-05-01,0.0
2010-06-01,0.0
2010-07-01,0.0
2010-08-01,0.0
2010-09-01,0.0
2010-10-01,0.0
2010-11-01,0.0
2010-12-01,0.0
2011-01-01,0.0
2011-02-01,0.0
2011-03-01,0.0
2011-04-01,0.0
2011-05-01,0.0
2011-06-01,0.0
2011-07-01,0.0
2011-08-01,0.0
2011-09-01,0.0
2011-10-01,0.0
2011-11-01,0.0
2011-12-01,0.0
2012-01-01,0.0
2012-02-01,6.426553672316384
2012-03-01,0.0
2012-04-01,0.0
2012-05-01,0.0
2012-06-01,0.0
2012-07-01,0.0
2012-08-01,0.0
2012-09-01,0.0
2012-10-01,0.0
2012-11-01,0.0
2012-12-01,0.0
2013-01-01,0.0
2013-02-01,0.0
2013-03-01,0.0
2013-04-01,0.0
2013-05-01,0.0
2013-06-01,0.0
2013-07-01,0.0
2013-08-01,0.0
2013-09-01,0.0
2013-10-01,0.0
2013-11-01,0.0
2013-12-01,0.0
2014-01-01,0.0
2014-02-01,0.0
2014-03-01,0.0
2014-04-01,0.0
2014-05-01,0.0
2014-06-01,0.0
2014-07-01,0.0
2014-08-01,0.0
2014-09-01,0.0
2014-10-01,0.0
2014-11-01,0.0
2014-12-01,0.0
2015-01-01,0.0
2015-02-01,0.0
2015-03-01,0.0
2015-04-01,0.0
2015-05-01,0.0
2015-06-01,7.844827586206897
2015-07-01,0.0
2015-08-01,0.0
2015-09-01,0.0
2015-10-01,0.0
2015-11-01,0.0
2015-12-01,0.0
2016-01-01,0.0
2016-02-01,0.0
2016-03-01,4.212962962962962
2016-04-01,0.0
2016-05-01,0.0
2016-06-01,0.0
2016-07-01,0.0
2016-08-01,0.0
2016-09-01,0.0
2016-10-01,0.0
2016-11-01,0.0
2016-12-01,0.0
2017-01-01,4.739583333333334
2017-02-01,0.0
2017-03-01,5.617283950617283
2017-04-01,5.7232704402515715
2017-05-01,0.0
2017-06-01,5.2298850574712645
2017-07-01,0.0
2017-08-01,0.0
2017-09-01,3.6111111111111107
2017-10-01,3.568627450980392
2017-11-01,0.0
2017-12-01,1.338235294117647
2018-01-01,0.0
2018-02-01,3.8559322033898304
2018-03-01,0.0
2018-04-01,4.292452830188679
2018-05-01,0.0
2018-06-01,0.0
2018-07-01,0.0
2018-08-01,3.4999999999999996
2018-09-01,3.6111111111111107
2018-10-01,0.0
2018-11-01,1.7913385826771653
2018-12-01,1.338235294117647
2019-01-01,4.739583333333334
2019-02-01,3.8559322033898304
2019-03-01,4.212962962962962
2019-04-01,4.292452830188679
2019-05-01,5.6875
2019-06-01,0.0
2019-07-01,0.0
2019-08-01,0.0
2019-09-01,1.8055555555555554
2019-10-01,2.676470588235294
2019-11-01,1.7913385826771653
2019-12-01,1.338235294117647
2020-01-01,6.319444444444445
2020-02-01,3.8559322033898304
2020-03-01,4.212962962962962
2020-04-01,0.0
2020-05-01,3.7916666666666665
2020-06-01,3.9224137931034484
2020-07-01,0.0
2020-08-01,0.0
2020-09-01,3.6111111111111107
2020-10-01,4.46078431372549
2020-11-01,0.0
2020-12-01,1.784313725490196
2021-01-01,4.739583333333334
2021-02-01,5.141242937853107
2021-03-01,4.212962962962962
2021-04-01,5.7232704402515715
2021-05-01,5.6875
2021-06-01,5.2298850574712645
2021-07-01,0.0
2021-08-01,0.0
2021-09-01,4.513888888888888
2021-10-01,3.568627450980392
2021-11-01,2.388451443569554
2021-12-01,2.230392156862745
2022-01-01,7.899305555555555
2022-02-01,8.997175141242938
2022-03-01,11.234567901234566
2022-04-01,10.015723270440251
2022-05-01,11.375
2022-06-01,13.074712643678161
2022-07-01,5.659203980099502
2022-08-01,10.499999999999998
2022-09-01,7.222222222222221
2022-10-01,8.029411764705882
2022-11-01,4.776902887139108
2022-12-01,3.568627450980392
2023-01-01,6.319444444444445
2023-02-01,11.567796610169491
2023-03-01,9.830246913580245
2023-04-01,11.446540880503143
2023-05-01,15.166666666666666
2023-06-01,7.844827586206897
2023-07-01,4.527363184079602
2023-08-01,9.333333333333332
2023-09-01,8.125
2023-10-01,9.813725490196077
2023-11-01,5.374015748031496
2023-12-01,2.676470588235294
2024-01-01,12.63888888888889
2024-02-01,10.282485875706215
2024-03-01,14.043209876543209
2024-04-01,15.738993710691823
2024-05-01,17.0625
2024-06-01,10.459770114942529
2024-07-01,9.054726368159203
2024-08-01,11.666666666666664
2024-09-01,14.444444444444443
2024-10-01,16.95098039215686
2024-11-01,16.12204724409449
2024-12-01,12.044117647058822
2025-01-01,28.4375
2025-02-01,21.850282485875706
2025-03-01,18.25617283950617
2025-04-01,18.600628930817606
2025-05-01,17.0625
2025-06-01,22.227011494252874
2025-07-01,56.59203980099502
2025-08-01,40.83333333333333
2025-09-01,28.888888888888886
2025-10-01,26.76470588235294
2025-11-01,43.58923884514436
2025-12-01,44.607843137254896
