date,housing costs
2004-01-01,38.73181169757489
2004-02-01,50.34177997527812
2004-03-01,57.19414575866188
2004-04-01,45.76011235955056
2004-05-01,50.04280155642023
2004-06-01,69.81374045801526
2004-07-01,51.43505477308293
2004-08-01,53.21949286846276
2004-09-01,67.78304821150856
2004-10-01,50.509572901325484
2004-11-01,43.528231797919766
2004-12-01,49.77167182662538
2005-01-01,60.13623395149786
2005-02-01,49.45859085290482
2005-03-01,40.12126642771804
2005-04-01,51.379775280898876
2005-05-01,56.52983138780804
2005-06-01,58.905343511450376
2005-07-01,53.67136150234741
2005-08-01,54.35182250396197
2005-09-01,50.00388802488336
2005-10-01,47.35272459499264
2005-11-01,44.58989598811293
2005-12-01,55.30185758513932
2006-01-01,50.96291012838802
2006-02-01,52.10815822002472
2006-03-01,44.389486260454
2006-04-01,40.943258426966295
2006-05-01,51.89623865110246
2006-06-01,49.08778625954198
2006-07-01,41.371674491392795
2006-08-01,48.69017432646593
2006-09-01,42.22550544323484
2006-10-01,48.40500736377025
2006-11-01,42.466567607726596
2006-12-01,33.18111455108359
2007-01-01,42.80884450784593
2007-02-01,37.97713226205192
2007-03-01,37.56033452807646
2007-04-01,34.52078651685393
2007-05-01,35.215304798962386
2007-06-01,35.99770992366412
2007-07-01,39.13536776212832
2007-08-01,40.76386687797147
2007-09-01,37.780715396578536
2007-10-01,36.829896907216494
2007-11-01,39.2815750371471
2007-12-01,32.0750773993808
2008-01-01,33.63552068473609
2008-02-01,29.14524103831891
2008-03-01,29.02389486260454
2008-04-01,28.901123595505616
2008-05-01,32.43514915693904
2008-06-01,32.725190839694655
2008-07-01,23.481220657276992
2008-08-01,27.175911251980985
2008-09-01,31.11353032659409
2008-10-01,34.72533136966127
2008-11-01,19.10995542347697
2008-12-01,24.332817337461297
2009-01-01,26.500713266761768
2009-02-01,27.378862793572313
2009-03-01,27.316606929510154
2009-04-01,25.689887640449438
2009-05-01,26.874837872892346
2009-06-01,26.18015267175572
2009-07-01,32.426447574334894
2009-08-01,23.77892234548336
2009-09-01,26.668740279937794
2009-10-01,27.35935198821797
2009-11-01,27.60326894502229
2009-12-01,24.332817337461297
2010-01-01,30.57774607703281
2010-02-01,26.49567367119901
2010-03-01,31.584826762246117
2010-04-01,28.098314606741575
2010-05-01,25.021400778210115
2010-06-01,26.18015267175572
2010-07-01,24.599374021909227
2010-08-01,23.77892234548336
2010-09-01,23.33514774494557
2010-10-01,19.99337260677467
2010-11-01,22.294947994056464
2010-12-01,23.22678018575851
2011-01-01,22.42368045649073
2011-02-01,26.49567367119901
2011-03-01,26.462962962962962
2011-04-01,24.887078651685393
2011-05-01,25.021400778210115
2011-06-01,25.089312977099233
2011-07-01,29.07198748043818
2011-08-01,27.175911251980985
2011-09-01,22.223950233281492
2011-10-01,24.202503681885126
2011-11-01,25.47994056463596
2011-12-01,24.332817337461297
2012-01-01,24.462196861626246
2012-02-01,25.612484548825712
2012-03-01,25.60931899641577
2012-04-01,27.29550561797753
2012-05-01,23.167963683527883
2012-06-01,25.089312977099233
2012-07-01,24.599374021909227
2012-08-01,23.77892234548336
2012-09-01,22.223950233281492
2012-10-01,23.15022091310751
2012-11-01,23.356612184249627
2012-12-01,22.120743034055725
2013-01-01,27.51997146932953
2013-02-01,24.72929542645241
2013-03-01,23.902031063321385
2013-04-01,25.689887640449438
2013-05-01,25.021400778210115
2013-06-01,22.907633587786258
2013-07-01,25.717527386541466
2013-08-01,27.175911251980985
2013-09-01,22.223950233281492
2013-10-01,25.254786450662742
2013-11-01,25.47994056463596
2013-12-01,22.120743034055725
2014-01-01,27.51997146932953
2014-02-01,26.49567367119901
2014-03-01,26.462962962962962
2014-04-01,25.689887640449438
2014-05-01,25.021400778210115
2014-06-01,23.998473282442745
2014-07-01,27.953834115805943
2014-08-01,27.175911251980985
2014-09-01,25.557542768273716
2014-10-01,24.202503681885126
2014-11-01,28.664933135215453
2014-12-01,24.332817337461297
2015-01-01,25.48145506419401
2015-02-01,26.49567367119901
2015-03-01,29.87753882915173
2015-04-01,28.098314606741575
