date,bread price
2004-01-01,7.061316287878788
2004-02-01,9.675295186194369
2004-03-01,13.694674012855831
2004-04-01,9.808931860036834
2004-05-01,8.92667597765363
2004-06-01,11.955667789001122
2004-07-01,0.0
2004-08-01,10.6525
2004-09-01,7.163064361191162
2004-10-01,6.885272391505079
2004-11-01,11.807996832937452
2004-12-01,7.737893462469734
2005-01-01,13.113873106060606
2005-02-01,5.80517711171662
2005-03-01,12.716483011937559
2005-04-01,10.789825046040518
2005-05-01,11.902234636871508
2005-06-01,10.76010101010101
2005-07-01,7.767447916666667
2005-08-01,9.46888888888889
2005-09-01,11.25624399615754
2005-10-01,8.852493074792244
2005-11-01,9.277711797307997
2005-12-01,7.737893462469734
2006-01-01,7.061316287878788
2006-02-01,6.7727066303360575
2006-03-01,8.803719008264464
2006-04-01,10.789825046040518
2006-05-01,10.91038175046555
2006-06-01,8.368967452300787
2006-07-01,7.767447916666667
2006-08-01,7.101666666666667
2006-09-01,7.163064361191162
2006-10-01,7.868882733148661
2006-11-01,7.590855106888361
2006-12-01,5.158595641646489
2007-01-01,10.087594696969697
2007-02-01,7.7402361489554945
2007-03-01,8.803719008264464
2007-04-01,11.7707182320442
2007-05-01,9.91852886405959
2007-06-01,7.173400673400674
2007-07-01,8.877083333333333
2007-08-01,7.101666666666667
2007-09-01,9.20965417867435
2007-10-01,10.81971375807941
2007-11-01,9.277711797307997
2007-12-01,8.59765940274415
2008-01-01,10.087594696969697
2008-02-01,12.577883742052679
2008-03-01,10.76010101010101
2008-04-01,12.751611418047883
2008-05-01,15.869646182495345
2008-06-01,13.151234567901236
2008-07-01,7.767447916666667
2008-08-01,8.285277777777779
2008-09-01,11.25624399615754
2008-10-01,12.786934441366574
2008-11-01,10.964568487727632
2008-12-01,9.457425343018564
2009-01-01,12.105113636363637
2009-02-01,11.61035422343324
2009-03-01,11.738292011019285
2009-04-01,10.789825046040518
2009-05-01,11.902234636871508
2009-06-01,9.564534231200899
2009-07-01,9.98671875
2009-08-01,9.46888888888889
2009-09-01,12.279538904899134
2009-10-01,9.836103416435826
2009-11-01,10.121140142517815
2009-12-01,8.59765940274415
2010-01-01,10.087594696969697
2010-02-01,10.642824704813805
2010-03-01,13.694674012855831
2010-04-01,11.7707182320442
2010-05-01,12.894087523277467
2010-06-01,10.76010101010101
2010-07-01,8.877083333333333
2010-08-01,9.46888888888889
2010-09-01,9.20965417867435
2010-10-01,10.81971375807941
2010-11-01,10.121140142517815
2010-12-01,9.457425343018564
2011-01-01,12.105113636363637
2011-02-01,13.545413260672115
2011-03-01,12.716483011937559
2011-04-01,13.732504604051567
2011-05-01,11.902234636871508
2011-06-01,11.955667789001122
2011-07-01,9.98671875
2011-08-01,11.836111111111112
2011-09-01,11.25624399615754
2011-10-01,11.803324099722992
2011-11-01,10.964568487727632
2011-12-01,10.317191283292978
2012-01-01,12.105113636363637
2012-02-01,12.577883742052679
2012-03-01,11.738292011019285
2012-04-01,13.732504604051567
2012-05-01,12.894087523277467
2012-06-01,11.955667789001122
2012-07-01,11.096354166666666
2012-08-01,11.836111111111112
2012-09-01,13.30283381364073
2012-10-01,12.786934441366574
2012-11-01,12.651425178147269
2012-12-01,11.176957223567394
2013-01-01,14.122632575757576
2013-02-01,13.545413260672115
2013-03-01,13.694674012855831
2013-04-01,13.732504604051567
2013-05-01,12.894087523277467
2013-06-01,13.151234567901236
2013-07-01,13.315625
2013-08-01,14.203333333333333
2013-09-01,13.30283381364073
2013-10-01,12.786934441366574
2013-11-01,12.651425178147269
2013-12-01,12.036723163841808
2014-01-01,14.122632575757576
2014-02-01,14.512942779291553
2014-03-01,12.716483011937559
2014-04-01,14.71339779005525
2014-05-01,13.885940409683426
2014-06-01,15.54236812570146
2014-07-01,13.315625
2014-08-01,14.203333333333333
2014-09-01,14.326128722382323
2014-10-01,14.754155124653739
2014-11-01,12.651425178147269
2014-12-01,12.036723163841808
2015-01-01,14.122632575757576
2015-02-01,13.545413260672115
2015-03-01,13.694674012855831
2015-04-01,15.694290976058934
2015-05-01,15.869646182495345
2015-06-01,15.54236812570146
2015-07-01,14.425260416666667
2015-08-01,14.203333333333333
2015-09-01,15.34942363112392
2015-10-01,15.737765466297322
2015-11-01,13.494853523357087
2015-12-01,14.616020984665052
2016-01-01,18.157670454545453
2016-02-01,18.3830608537693
2016-03-01,16.62924701561065
2016-04-01,17.6560773480663
2016-05-01,16.861499068901303
2016-06-01,16.737934904601573
2016-07-01,15.534895833333334
2016-08-01,15.386944444444445
2016-09-01,17.396013448607107
2016-10-01,17.70498614958449
2016-11-01,14.338281868566904
2016-12-01,13.756255044390638
2017-01-01,18.157670454545453
2017-02-01,19.350590372388737
2017-03-01,19.563820018365476
2017-04-01,19.617863720073668
2017-05-01,17.85335195530726
2017-06-01,17.933501683501685
2017-07-01,16.64453125
2017-08-01,18.93777777777778
2017-09-01,18.4193083573487
2017-10-01,17.70498614958449
2017-11-01,16.02513855898654
2017-12-01,19.77461662631154
2018-01-01,22.192708333333336
2018-02-01,20.318119891008173
2018-03-01,17.607438016528928
2018-04-01,17.6560773480663
2018-05-01,18.845204841713223
2018-06-01,17.933501683501685
2018-07-01,17.754166666666666
2018-08-01,18.93777777777778
2018-09-01,18.4193083573487
2018-10-01,18.68859649122807
2018-11-01,16.868566904196356
2018-12-01,16.335552865213884
2019-01-01,20.175189393939394
2019-02-01,20.318119891008173
2019-03-01,18.5856290174472
2019-04-01,16.675184162062617
2019-05-01,19.83705772811918
2019-06-01,19.129068462401797
2019-07-01,16.64453125
2019-08-01,16.570555555555558
2019-09-01,17.396013448607107
2019-10-01,18.68859649122807
2019-11-01,15.181710213776721
2019-12-01,13.756255044390638
2020-01-01,19.166429924242426
2020-02-01,19.350590372388737
2020-03-01,21.52020202020202
2020-04-01,20.59875690607735
2020-05-01,17.85335195530726
2020-06-01,17.933501683501685
2020-07-01,16.64453125
2020-08-01,18.93777777777778
2020-09-01,19.4426032660903
2020-10-01,16.721375807940905
2020-11-01,14.338281868566904
2020-12-01,13.756255044390638
2021-01-01,19.166429924242426
2021-02-01,18.3830608537693
2021-03-01,16.62924701561065
2021-04-01,16.675184162062617
2021-05-01,16.861499068901303
2021-06-01,19.129068462401797
2021-07-01,15.534895833333334
2021-08-01,16.570555555555558
2021-09-01,17.396013448607107
2021-10-01,17.70498614958449
2021-11-01,16.02513855898654
2021-12-01,14.616020984665052
2022-01-01,22.192708333333336
2022-02-01,23.22070844686648
2022-03-01,24.45477502295684
2022-04-01,23.5414364640884
2022-05-01,24.796322160148975
2022-06-01,23.911335578002245
2022-07-01,22.192708333333332
2022-08-01,22.488611111111112
2022-09-01,23.535782901056674
2022-10-01,22.6230378578024
2022-11-01,19.39885193982581
2022-12-01,18.055084745762713
2023-01-01,24.210227272727273
2023-02-01,26.123297002724794
2023-03-01,24.45477502295684
2023-04-01,21.579650092081035
2023-05-01,22.81261638733706
2023-06-01,22.715768799102133
2023-07-01,19.9734375
2023-08-01,22.488611111111112
2023-09-01,23.535782901056674
2023-10-01,23.606648199445985
2023-11-01,20.24228028503563
2023-12-01,19.77461662631154
2024-01-01,24.210227272727273
2024-02-01,27.09082652134423
2024-03-01,22.498393021120297
2024-04-01,23.5414364640884
2024-05-01,22.81261638733706
2024-06-01,26.302469135802472
2024-07-01,19.9734375
2024-08-01,26.039444444444445
2024-09-01,26.60566762728146
2024-10-01,24.590258541089565
2024-11-01,23.615993665874903
2024-12-01,22.353914447134787
2025-01-01,31.271543560606062
2025-02-01,29.993415077202542
2025-03-01,28.367539026629938
2025-04-01,27.465009208103133
2025-05-01,26.780027932960895
2025-06-01,33.47586980920315
2025-07-01,81.00338541666666
2025-08-01,50.89527777777778
2025-09-01,37.861911623439
2025-10-01,41.31163434903047
2025-11-01,67.47426761678543
2025-12-01,85.9765940274415
