date,consumer price index
2004-01-01,87.38292011019284
2004-02-01,72.05410923940786
2004-03-01,64.71609195402299
2004-04-01,79.43696027633852
2004-05-01,75.38022813688212
2004-06-01,79.3
2004-07-01,73.2190923317684
2004-08-01,79.4892601431981
2004-09-01,72.40650406504065
2004-10-01,65.96880415944541
2004-11-01,71.57962604771116
2004-12-01,74.39658848614073
2005-01-01,66.41101928374655
2005-02-01,71.2445125063808
2005-03-01,66.53908045977012
2005-04-01,66.65400115141048
2005-05-01,64.32446134347275
2005-06-01,66.65797101449274
2005-07-01,62.050078247261354
2005-08-01,71.91885441527447
2005-09-01,64.47154471544715
2005-10-01,59.555170421721556
2005-11-01,62.37653127014829
2005-12-01,64.25159914712154
2006-01-01,55.05123966942149
2006-02-01,46.95661051556917
2006-03-01,53.77816091954023
2006-04-01,51.13183649971215
2006-05-01,52.263624841571605
2006-06-01,59.76231884057971
2006-07-01,62.050078247261354
2006-08-01,58.03977724741448
2006-09-01,44.63414634146342
2006-10-01,47.64413633737724
2006-11-01,50.10573823339781
2006-12-01,49.597725657427155
2007-01-01,45.439118457300275
2007-02-01,37.241449719244514
2007-03-01,39.194252873563215
2007-04-01,37.43580886586068
2007-05-01,41.20785804816223
2007-06-01,43.67246376811594
2007-07-01,47.158059467918626
2007-08-01,42.89896579156722
2007-09-01,41.65853658536586
2007-10-01,42.14673599075679
2007-11-01,39.88007736943907
2007-12-01,39.452736318407965
2008-01-01,41.06997245179063
2008-02-01,36.43185298621746
2008-03-01,41.01724137931035
2008-04-01,38.34887737478412
2008-05-01,38.19264892268694
2008-06-01,40.22463768115942
2008-07-01,45.917057902973404
2008-08-01,40.37549721559268
2008-09-01,38.6829268292683
2008-10-01,38.48180242634316
2008-11-01,40.90264345583495
2008-12-01,37.198294243070364
2009-01-01,32.33168044077135
2009-02-01,31.57427258805513
2009-03-01,26.433333333333334
2009-04-01,26.478986758779506
2009-05-01,26.131812420785803
2009-06-01,28.731884057971012
2009-07-01,27.302034428794997
2009-08-01,30.281622911694512
2009-09-01,28.764227642276424
2009-10-01,27.487001733102254
2009-11-01,26.586718246292715
2009-12-01,27.053304904051174
2010-01-01,22.719559228650137
2010-02-01,22.668708524757527
2010-03-01,23.698850574712644
2010-04-01,19.17443868739206
2010-05-01,22.11153358681876
2010-06-01,21.83623188405797
2010-07-01,19.856025039123633
2010-08-01,22.711217183770884
2010-09-01,19.837398373983742
2010-10-01,19.24090121317158
2010-11-01,20.451321727917474
2010-12-01,20.28997867803838
2011-01-01,20.098071625344353
2011-02-01,21.859111791730474
2011-03-01,20.964367816091954
2011-04-01,20.08750719631549
2011-05-01,21.106463878326995
2011-06-01,20.68695652173913
2011-07-01,19.856025039123633
2011-08-01,18.92601431980907
2011-09-01,19.837398373983742
2011-10-01,19.24090121317158
2011-11-01,18.406189555125724
2011-12-01,16.908315565031984
2012-01-01,15.728925619834712
2012-02-01,16.191934660541094
2012-03-01,16.406896551724138
2012-04-01,15.522164651698331
2012-05-01,16.081115335868187
2012-06-01,14.940579710144927
2012-07-01,14.892018779342724
2012-08-01,15.140811455847256
2012-09-01,16.86178861788618
