date,college tuition
2004-01-01,33.306677658697446
2004-02-01,37.40833333333333
2004-03-01,33.896530612244895
2004-04-01,29.351153846153842
2004-05-01,34.406221821460775
2004-06-01,34.30458515283843
2004-07-01,33.5
2004-08-01,32.06428571428571
2004-09-01,37.34105215827338
2004-10-01,38.28141831238779
2004-11-01,38.1647518382353
2004-12-01,33.77645631067961
2005-01-01,32.38149216817807
2005-02-01,32.73229166666666
2005-03-01,32.98040816326531
2005-04-01,31.940961538461536
2005-05-01,31.370378719567174
2005-06-01,34.30458515283843
2005-07-01,32.38333333333333
2005-08-01,29.149350649350644
2005-09-01,31.28574640287769
2005-10-01,30.2221723518851
2005-11-01,27.84995404411765
2005-12-01,28.32864077669903
2006-01-01,32.38149216817807
2006-02-01,28.056249999999995
2006-03-01,32.06428571428572
2006-04-01,31.077692307692303
2006-05-01,32.382326420198375
2006-06-01,29.403930131004365
2006-07-01,30.150000000000002
2006-08-01,32.06428571428571
2006-09-01,29.267311151079134
2006-10-01,32.23698384201077
2006-11-01,29.912913602941178
2006-12-01,30.50776699029126
2007-01-01,33.306677658697446
2007-02-01,32.73229166666666
2007-03-01,31.148163265306124
2007-04-01,31.077692307692303
2007-05-01,30.358431018935978
2007-06-01,35.529748908296945
2007-07-01,32.38333333333333
2007-08-01,31.09264069264069
2007-09-01,31.28574640287769
2007-10-01,35.25920107719928
2007-11-01,35.0703125
2007-12-01,32.68689320388349
2008-01-01,36.082234130255564
2008-02-01,32.73229166666666
2008-03-01,36.64489795918367
2008-04-01,34.530769230769224
2008-05-01,32.382326420198375
2008-06-01,33.07942139737991
2008-07-01,34.61666666666667
2008-08-01,32.06428571428571
2008-09-01,34.31339928057554
2008-10-01,38.28141831238779
2008-11-01,39.19623161764706
2008-12-01,37.04514563106796
2009-01-01,37.932605111294315
2009-02-01,45.82520833333333
2009-03-01,42.14163265306122
2009-04-01,38.84711538461538
2009-05-01,40.47790802524797
2009-06-01,42.880731441048034
2009-07-01,42.43333333333334
2009-08-01,40.809090909090905
2009-09-01,43.39635791366906
2009-10-01,40.296229802513466
2009-11-01,42.290670955882355
2009-12-01,43.58252427184466
2010-01-01,45.3340890354493
2010-02-01,43.95479166666666
2010-03-01,44.89
2010-04-01,42.300192307692306
2010-05-01,41.48985572587917
2010-06-01,46.55622270742358
2010-07-01,40.2
2010-08-01,40.809090909090905
2010-09-01,43.39635791366906
2010-10-01,36.26660682226212
2010-11-01,39.19623161764706
2010-12-01,37.04514563106796
2011-01-01,43.48371805441055
2011-02-01,42.084374999999994
2011-03-01,48.554489795918364
2011-04-01,47.47980769230769
2011-05-01,45.53764652840396
2011-06-01,49.006550218340614
2011-07-01,50.25
2011-08-01,48.58225108225108
2011-09-01,46.4240107913669
2011-10-01,45.33325852782765
2011-11-01,47.448069852941174
2011-12-01,46.85121359223301
2012-01-01,51.810387469084915
2012-02-01,50.50124999999999
2012-03-01,46.722244897959186
2012-04-01,50.06961538461538
2012-05-01,50.59738503155996
2012-06-01,51.45687772925764
2012-07-01,50.25
2012-08-01,49.5538961038961
2012-09-01,53.488534172661865
2012-10-01,49.362881508079
2012-11-01,47.448069852941174
2012-12-01,45.76165048543689
2013-01-01,50.88520197856554
2013-02-01,50.50124999999999
2013-03-01,52.218979591836735
2013-04-01,50.93288461538461
2013-05-01,49.58543733092876
2013-06-01,53.907205240174676
2013-07-01,53.6
2013-08-01,53.44047619047618
2013-09-01,49.45166366906474
2013-10-01,53.392504488330346
2013-11-01,49.51102941176471
2013-12-01,51.209466019417476
2014-01-01,57.36150041220115
2014-02-01,54.242083333333326
2014-03-01,58.63183673469388
2014-04-01,56.975769230769224
2014-05-01,57.68101893597836
2014-06-01,63.70851528384279
2014-07-01,55.833333333333336
2014-08-01,54.41212121212121
2014-09-01,55.50696942446042
2014-10-01,58.429533213644525
2014-11-01,58.79434742647059
2014-12-01,58.83640776699029
2015-01-01,63.83779884583677
2015-02-01,60.78854166666666
2015-03-01,66.8769387755102
2015-04-01,68.19826923076923
2015-05-01,62.74075743913435
2015-06-01,61.258187772925766
2015-07-01,68.11666666666667
2015-08-01,72.87337662337661
2015-09-01,76.7005395683453
2015-10-01,73.54061938958708
2015-11-01,75.29802389705883
2015-12-01,74.09029126213592
2016-01-01,67.53854080791426
2016-02-01,73.88145833333333
2016-03-01,75.12204081632653
2016-04-01,73.3778846153846
2016-05-01,73.87218214607755
2016-06-01,72.2846615720524
2016-07-01,71.46666666666667
2016-08-01,68.0151515151515
2016-09-01,70.64523381294963
2016-10-01,70.51840215439856
2016-11-01,74.26654411764706
2016-12-01,67.55291262135923
2017-01-01,75.86521022258863
2017-02-01,72.94624999999999
2017-03-01,73.28979591836735
2017-04-01,86.32692307692307
2017-05-01,77.91997294860234
2017-06-01,75.96015283842794
2017-07-01,74.81666666666666
2017-08-01,70.93008658008657
2017-09-01,67.6175809352518
2017-10-01,74.54802513464992
2017-11-01,76.3295036764706
2017-12-01,74.09029126213592
2018-01-01,75.86521022258863
2018-02-01,71.07583333333332
