date,restaurant prices
2004-01-01,13.684431524547804
2004-02-01,15.220081727962638
2004-03-01,12.16044776119403
2004-04-01,13.52713920817369
2004-05-01,14.293859649122806
2004-06-01,10.922912858013406
2004-07-01,9.14421997755331
2004-08-01,9.966360856269112
2004-09-01,11.738375900458415
2004-10-01,16.94087069525666
2004-11-01,12.462715105162523
2004-12-01,9.495920745920746
2005-01-01,10.526485788113696
2005-02-01,12.366316403969643
2005-03-01,15.200559701492537
2005-04-01,18.729885057471265
2005-05-01,16.19970760233918
2005-06-01,10.922912858013406
2005-07-01,10.973063973063972
2005-08-01,10.962996941896023
2005-09-01,12.805500982318271
2005-10-01,11.646848602988953
2005-11-01,12.462715105162523
2005-12-01,12.344696969696969
2006-01-01,13.684431524547804
2006-02-01,15.220081727962638
2006-03-01,14.187189054726367
2006-04-01,11.446040868454661
2006-05-01,16.19970760233918
2006-06-01,10.922912858013406
2006-07-01,10.973063973063972
2006-08-01,10.962996941896023
2006-09-01,10.671250818598558
2006-10-01,13.764457439896036
2006-11-01,11.424155513065646
2006-12-01,9.495920745920746
2007-01-01,10.526485788113696
2007-02-01,11.415061295971979
2007-03-01,15.200559701492537
2007-04-01,14.567688378033205
2007-05-01,15.246783625730993
2007-06-01,14.89488117001828
2007-07-01,10.973063973063972
2007-08-01,12.956269113149846
2007-09-01,12.805500982318271
2007-10-01,14.823261858349577
2007-11-01,13.501274697259399
2007-12-01,14.243881118881118
2008-01-01,15.789728682170542
2008-02-01,14.268826619964972
2008-03-01,16.213930348258707
2008-04-01,18.729885057471265
2008-05-01,17.152631578947368
2008-06-01,14.89488117001828
2008-07-01,12.801907968574636
2008-08-01,12.956269113149846
2008-09-01,13.872626064178126
2008-10-01,15.882066276803119
2008-11-01,15.578393881453152
2008-12-01,15.193473193473192
2009-01-01,18.947674418604652
2009-02-01,20.927612375948627
2009-03-01,18.240671641791046
2009-04-01,18.729885057471265
2009-05-01,19.05847953216374
2009-06-01,20.852833638025594
2009-07-01,17.374017957351292
2009-08-01,19.932721712538225
2009-09-01,21.342501637197117
2009-10-01,21.176088369070825
2009-11-01,20.771191841937537
2009-12-01,18.99184149184149
2010-01-01,25.26356589147287
2010-02-01,23.781377699941622
2010-03-01,22.29415422885572
2010-04-01,22.892081736909322
2010-05-01,22.87017543859649
2010-06-01,22.83881779402803
2010-07-01,19.20286195286195
2010-08-01,17.9394495412844
2010-09-01,19.208251473477407
2010-10-01,16.94087069525666
2010-11-01,15.578393881453152
2010-12-01,18.042249417249415
2011-01-01,23.15826873385013
2011-02-01,22.830122591943958
2011-03-01,22.29415422885572
2011-04-01,21.85153256704981
2011-05-01,22.87017543859649
2011-06-01,19.859841560024375
2011-07-01,20.117283950617285
2011-08-01,20.929357798165135
2011-09-01,20.27537655533726
2011-10-01,22.234892787524366
2011-11-01,19.73263224984066
2011-12-01,18.99184149184149
2012-01-01,22.10562015503876
2012-02-01,20.927612375948627
2012-03-01,21.28078358208955
2012-04-01,20.81098339719029
2012-05-01,21.917251461988304
2012-06-01,21.845825716026813
2012-07-01,21.031705948372615
2012-08-01,21.925993883792046
2012-09-01,20.27537655533726
2012-10-01,17.9996751137102
2012-11-01,18.694072657743785
2012-12-01,17.09265734265734
2013-01-01,24.2109173126615
2013-02-01,21.87886748394629
2013-03-01,23.30752487562189
2013-04-01,22.892081736909322
2013-05-01,21.917251461988304
2013-06-01,21.845825716026813
2013-07-01,21.946127946127945
2013-08-01,23.919266055045867
2013-09-01,21.342501637197117
2013-10-01,22.234892787524366
2013-11-01,22.84831102613129
2013-12-01,19.941433566433563
2014-01-01,25.26356589147287
2014-02-01,23.781377699941622
2014-03-01,23.30752487562189
2014-04-01,24.973180076628353
2014-05-01,25.72894736842105
2014-06-01,24.824801950030466
2014-07-01,23.774971941638608
2014-08-01,23.919266055045867
2014-09-01,22.409626719056973
2014-10-01,24.352501624431447
2014-11-01,22.84831102613129
2014-12-01,22.790209790209786
2015-01-01,27.36886304909561
2015-02-01,24.732632807939286
2015-03-01,26.3476368159204
2015-04-01,27.05427841634738
2015-05-01,26.681871345029236
2015-06-01,26.810786106032904
2015-07-01,26.5182379349046
2015-08-01,28.902446483180423
2015-09-01,27.745252128356253
