date,yacht
2004-01-01,75.91643323996267
2004-02-01,74.45650183150184
2004-03-01,69.3150042625746
2004-04-01,73.97664720600501
2004-05-01,65.36330140014739
2004-06-01,70.16742179072276
2004-07-01,69.32239155920283
2004-08-01,65.43295081967214
2004-09-01,75.30052974735126
2004-10-01,77.29206885456885
2004-11-01,74.04963570127505
2004-12-01,73.62575595873355
2005-01-01,70.16518829754125
2005-02-01,67.68772893772895
2005-03-01,68.26477692526286
2005-04-01,70.8942869057548
2005-05-01,67.1789486612626
2005-06-01,71.76213592233009
2005-07-01,72.21082454083627
2005-08-01,73.51109289617487
2005-09-01,72.28850855745722
2005-10-01,72.53563384813384
2005-11-01,61.93242258652095
2005-12-01,64.42253646389186
2006-01-01,70.16518829754125
2006-02-01,68.81585775335776
2006-03-01,73.51591361182155
2006-04-01,69.86683347233806
2006-05-01,67.1789486612626
2006-06-01,66.18063646170442
2006-07-01,67.8781750683861
2006-08-01,68.66420765027324
2006-09-01,71.2845014941592
2006-10-01,70.15741634491634
2006-11-01,65.97149362477231
2006-12-01,63.107790821771616
2007-01-01,66.7144413320884
2007-02-01,57.534569597069606
2007-03-01,61.963412901392445
2007-04-01,63.70211287183765
2007-05-01,68.0867722918202
2007-06-01,63.78856526429342
2007-07-01,62.823417350527556
2007-08-01,61.39387978142077
2007-09-01,64.25645205107308
2007-10-01,63.02276383526383
2007-11-01,65.97149362477231
2007-12-01,60.47829953753113
2008-01-01,59.812947401182704
2008-02-01,63.17521367521368
2008-03-01,59.862958226768974
2008-04-01,62.67465943842091
2008-05-01,59.00853598624417
2008-06-01,55.81499460625674
2008-07-01,59.21287612348574
2008-08-01,55.73918032786886
2008-09-01,55.220388481390934
2008-10-01,54.69900257400257
2008-11-01,55.20063752276867
2008-12-01,52.589825684809675
2009-01-01,52.91145347027701
2009-02-01,55.27831196581197
2009-03-01,54.611821540210286
2009-04-01,55.482485404503755
2009-05-01,55.37724146401376
2009-06-01,57.40970873786408
2009-07-01,54.15811840562721
2009-08-01,55.73918032786886
2009-09-01,57.228402607986965
2009-10-01,58.266328828828826
2009-11-01,56.546994535519126
2009-12-01,64.42253646389186
2010-01-01,56.36220043572986
2010-02-01,56.40644078144079
2010-03-01,59.862958226768974
2010-04-01,55.482485404503755
2010-05-01,55.37724146401376
2010-06-01,56.612351672060406
