date,new boat
2004-01-01,65.59023548518067
2004-02-01,75.06305555555555
2004-03-01,64.80929866036249
2004-04-01,62.01877812391831
2004-05-01,64.20218579234972
2004-06-01,62.80648610121169
2004-07-01,61.55719170527244
2004-08-01,79.66503932736642
2004-09-01,73.29450651769086
2004-10-01,59.51013024602026
2004-11-01,56.454557935200434
2004-12-01,62.20695211786372
2005-01-01,73.93808363784002
2005-02-01,70.71157407407406
2005-03-01,57.865445232466506
2005-04-01,63.03547940463828
2005-05-01,54.06499856197871
2005-06-01,62.80648610121169
2005-07-01,58.96530994926097
2005-08-01,66.12198264171413
2005-09-01,64.54292364990688
2005-10-01,62.343945972021224
2005-11-01,50.002608456891814
2005-12-01,55.44532688766114
2006-01-01,58.434937068615504
2006-02-01,54.39351851851851
2006-03-01,46.292356185973205
2006-04-01,53.885167878158526
2006-05-01,51.53070175438596
2006-06-01,50.24518888096935
2006-07-01,53.13357599823516
2006-08-01,55.76552752915649
2006-09-01,45.94581005586592
2006-10-01,48.1748673420164
2006-11-01,43.55065897858319
2006-12-01,55.44532688766114
2007-01-01,57.242387332521304
2007-02-01,55.48138888888889
2007-03-01,47.44966509062253
2007-04-01,45.75155763239875
2007-05-01,54.06499856197871
2007-06-01,50.24518888096935
2007-07-01,54.429516876240896
2007-08-01,54.17222674260916
2007-09-01,54.6973929236499
2007-10-01,53.842498794018326
2007-11-01,48.38962108731466
2007-12-01,54.09300184162063
2008-01-01,59.6274868047097
2008-02-01,39.16333333333333
2008-03-01,50.921591804570525
2008-04-01,45.75155763239875
2008-05-01,49.841170549324126
2008-06-01,48.84948918983131
2008-07-01,47.30184204720935
2008-08-01,49.392324382967175
2008-09-01,38.28817504655493
2008-10-01,42.50723589001447
2008-11-01,43.55065897858319
2008-12-01,43.2744014732965
2009-01-01,39.3541412911084
2009-02-01,43.51481481481481
2009-03-01,46.292356185973205
2009-04-01,42.70145379023884
2009-05-01,44.77257693413862
2009-06-01,44.6623901164172
2009-07-01,44.06198985219501
2009-08-01,44.612422023325195
2009-09-01,43.75791433891992
2009-10-01,39.67342016401351
2009-11-01,45.16364634816035
2009-12-01,39.217426335174956
2010-01-01,46.509439707673565
2010-02-01,43.51481481481481
2010-03-01,41.663120567375884
2010-04-01,45.75155763239875
2010-05-01,42.23828012654587
2010-06-01,43.96454027084818
2010-07-01,42.766048974189275
2010-08-01,38.23921887713588
2010-09-01,36.10027932960894
2010-10-01,35.42269657501206
2010-11-01,37.09870950027457
2010-12-01,35.160451197053405
2011-01-01,41.739240763296785
2011-02-01,41.33907407407407
2011-03-01,42.82042947202521
2011-04-01,37.617947386638974
2011-05-01,38.8592177164222
2011-06-01,35.590342124019955
2011-07-01,34.34243326715199
2011-08-01,34.25596691076756
