date,spa treatment
2004-01-01,32.74433106575963
2004-02-01,37.76339446242359
2004-03-01,51.075944631500185
2004-04-01,42.81247629882442
2004-05-01,29.202641640597843
2004-06-01,39.157345264727816
2004-07-01,31.89673500379651
2004-08-01,42.4135145784082
2004-09-01,39.832032943216305
2004-10-01,37.12146529562982
2004-11-01,32.76590177133656
2004-12-01,54.078269824922764
2005-01-01,51.59712773998488
2005-02-01,33.04297015462064
2005-03-01,36.34249906472129
2005-04-01,32.85608646188851
2005-05-01,43.80396246089676
2005-06-01,55.79921700223714
2005-07-01,32.893507972665155
2005-08-01,41.37903861308117
2005-09-01,38.69397485912441
2005-10-01,44.99571550985433
2005-11-01,47.56340579710145
2005-12-01,49.571747339512534
2006-01-01,43.65910808767951
2006-02-01,44.37198849334772
2006-03-01,39.28918817807707
2006-04-01,42.81247629882442
2006-05-01,48.36687521724018
2006-06-01,47.96774794929158
2006-07-01,42.86123766135156
2006-08-01,36.20665878644602
2006-09-01,43.246207195491984
2006-10-01,46.120608397600684
2006-11-01,48.620370370370374
2006-12-01,42.36131136285616
2007-01-01,40.682350718065
2007-02-01,42.48381877022654
2007-03-01,40.27141788252899
2007-04-01,36.83864239666288
2007-05-01,41.06621480709072
2007-06-01,36.22054436987323
2007-07-01,42.86123766135156
2007-08-01,42.4135145784082
2007-09-01,44.38426527958388
2007-10-01,44.99571550985433
2007-11-01,40.164653784219006
2007-12-01,40.558702368692074
2008-01-01,47.6281179138322
2008-02-01,44.37198849334772
2008-03-01,38.306958473625144
2008-04-01,47.790671217292385
2008-05-01,60.23044838373305
2008-06-01,41.11521252796421
2008-07-01,41.86446469248292
2008-08-01,44.482466509062256
2008-09-01,38.69397485912441
2008-10-01,43.87082262210797
2008-11-01,40.164653784219006
2008-12-01,42.36131136285616
2009-01-01,35.72108843537415
2009-02-01,40.59564904710536
2009-03-01,42.23587729143285
2009-04-01,39.82555934774365
2009-05-01,38.32846715328467
2009-06-01,42.09414615958241
2009-07-01,38.874145785877
2009-08-01,39.31008668242711
2009-09-01,37.555916775032514
2009-10-01,37.12146529562982
2009-11-01,36.99376006441224
2009-12-01,37.854788877445934
2010-01-01,36.71334089191232
2010-02-01,38.70747932398418
2010-03-01,38.306958473625144
2010-04-01,42.81247629882442
2010-05-01,37.415884602015986
2010-06-01,39.157345264727816
2010-07-01,36.88059984813972
2010-08-01,38.27561071710008
2010-09-01,35.279800606848724
2010-10-01,35.99657240788346
2010-11-01,32.76590177133656
2010-12-01,34.24957088911775
2011-01-01,36.71334089191232
2011-02-01,44.37198849334772
2011-03-01,43.218106995884774
2011-04-01,44.803754266211605
2011-05-01,39.241049704553355
2011-06-01,41.11521252796421
2011-07-01,39.87091875474564
2011-08-01,38.27561071710008
2011-09-01,42.10814911140009
2011-10-01,34.87167952013711
2011-11-01,36.99376006441224
2011-12-01,35.1508753861998
2012-01-01,39.69009826152683
2012-02-01,38.70747932398418
2012-03-01,37.32472876917321
2012-04-01,37.834281380356465
2012-05-01,41.06621480709072
2012-06-01,38.178411633109626
2012-07-01,39.87091875474564
2012-08-01,38.27561071710008
2012-09-01,36.41785869094062
2012-10-01,32.62189374464439
2012-11-01,30.651972624798717
2012-12-01,27.94043940954343
2013-01-01,35.72108843537415
2013-02-01,34.93113987774182
2013-03-01,32.41358024691358
2013-04-01,33.851725445582105
2013-05-01,34.67813694820994
2013-06-01,34.26267710663684
2013-07-01,36.88059984813972
2013-08-01,33.103230890464935
2013-09-01,33.00368443866493
2013-10-01,31.49700085689803
2013-11-01,30.651972624798717
2013-12-01,30.644352900789567
2014-01-01,32.74433106575963
2014-02-01,31.154800431499464
2014-03-01,32.41358024691358
2014-04-01,32.85608646188851
2014-05-01,33.765554396941255
2014-06-01,33.283743475018646
2014-07-01,32.893507972665155
2014-08-01,31.034278959810877
2014-09-01,34.14174252275683
2014-10-01,31.49700085689803
2014-11-01,30.651972624798717
2014-12-01,29.74304840370752
2015-01-01,30.759826152683292
2015-02-01,30.210715569938873
2015-03-01,33.39580995136551
2015-04-01,31.86044747819492
2015-05-01,30.115224191866524
2015-06-01,29.368008948545864
2015-07-01,31.89673500379651
2015-08-01,33.103230890464935
2015-09-01,31.865626354573042
2015-10-01,30.37210796915167
2015-11-01,24.310185185185187
2015-12-01,27.039134912461382
2016-01-01,33.736583522297806
2016-02-01,37.76339446242359
2016-03-01,35.36026936026936
2016-04-01,36.83864239666288
2016-05-01,34.67813694820994
2016-06-01,33.283743475018646
2016-07-01,31.89673500379651
2016-08-01,32.06875492513791
2016-09-01,31.865626354573042
2016-10-01,31.49700085689803
2016-11-01,30.651972624798717
2016-12-01,33.348266392035704
2017-01-01,35.72108843537415
2017-02-01,33.98705501618123
2017-03-01,35.36026936026936
2017-04-01,43.80811528251802
